var_fecha,var_hora,Valor
19/02/2013,11:30:00,11.625
19/02/2013,11:45:00,11.43111111
19/02/2013,12:00:00,12.01277778
19/02/2013,12:02:00,NULL
19/02/2013,12:15:00,11.72222222
19/02/2013,12:30:00,11.91611111
19/02/2013,12:45:00,11.13888889
19/02/2013,13:00:00,11.72222222
19/02/2013,13:15:00,13.365
19/02/2013,13:30:00,14.03777778
19/02/2013,13:45:00,13.46111111
19/02/2013,14:00:00,13.65388889
19/02/2013,14:15:00,13.94222222
19/02/2013,14:30:00,13.17277778
19/02/2013,14:45:00,13.26888889
19/02/2013,15:00:00,13.365
19/02/2013,15:15:00,13.17277778
19/02/2013,15:30:00,12.98
19/02/2013,15:45:00,12.69
19/02/2013,16:00:00,12.88277778
19/02/2013,16:15:00,11.72222222
19/02/2013,16:30:00,11.43111111
19/02/2013,16:45:00,10.84611111
19/02/2013,17:00:00,10.55277778
19/02/2013,17:15:00,10.25888889
19/02/2013,17:30:00,9.866111111
19/02/2013,17:45:00,9.767777778
19/02/2013,18:00:00,9.767777778
19/02/2013,18:15:00,9.571111111
19/02/2013,18:30:00,9.372777778
19/02/2013,18:45:00,9.372777778
19/02/2013,19:00:00,9.275
19/02/2013,19:15:00,9.176111111
19/02/2013,19:30:00,9.077222222
19/02/2013,19:45:00,9.077222222
19/02/2013,20:00:00,9.077222222
19/02/2013,20:15:00,8.977777778
19/02/2013,20:30:00,8.878888889
19/02/2013,20:45:00,8.878888889
19/02/2013,21:00:00,8.878888889
19/02/2013,21:15:00,8.977777778
19/02/2013,21:30:00,8.977777778
19/02/2013,21:45:00,8.977777778
19/02/2013,22:00:00,8.977777778
19/02/2013,22:15:00,8.977777778
19/02/2013,22:30:00,8.977777778
19/02/2013,22:45:00,8.878888889
19/02/2013,23:00:00,8.878888889
19/02/2013,23:15:00,8.778888889
19/02/2013,23:30:00,8.778888889
19/02/2013,23:45:00,8.778888889
20/02/2013,0:00:00,8.68
20/02/2013,0:15:00,8.68
20/02/2013,0:30:00,8.68
20/02/2013,0:45:00,8.68
20/02/2013,1:00:00,8.581111111
20/02/2013,1:15:00,8.581111111
20/02/2013,1:30:00,8.581111111
20/02/2013,1:45:00,8.581111111
20/02/2013,2:00:00,8.68
20/02/2013,2:15:00,8.581111111
20/02/2013,2:30:00,8.481111111
20/02/2013,2:45:00,8.481111111
20/02/2013,3:00:00,8.481111111
20/02/2013,3:15:00,8.481111111
20/02/2013,3:30:00,8.481111111
20/02/2013,3:45:00,8.481111111
20/02/2013,4:00:00,8.481111111
20/02/2013,4:15:00,8.481111111
20/02/2013,4:30:00,8.481111111
20/02/2013,4:45:00,8.481111111
20/02/2013,5:00:00,8.481111111
20/02/2013,5:15:00,8.481111111
20/02/2013,5:30:00,8.481111111
20/02/2013,5:45:00,8.481111111
20/02/2013,5:51:13,NULL
20/02/2013,6:00:00,8.382222222
20/02/2013,6:15:00,8.382222222
20/02/2013,6:30:00,8.382222222
20/02/2013,6:31:23,NULL
20/02/2013,6:45:00,8.382222222
20/02/2013,7:00:00,8.382222222
20/02/2013,7:02:43,NULL
20/02/2013,7:15:00,8.382222222
20/02/2013,7:30:00,8.581111111
20/02/2013,7:45:00,8.778888889
20/02/2013,8:00:00,8.778888889
20/02/2013,8:11:12,NULL
20/02/2013,8:15:00,8.977777778
20/02/2013,8:30:00,9.176111111
20/02/2013,8:45:00,9.275
20/02/2013,9:00:00,9.472222222
20/02/2013,9:15:00,9.767777778
20/02/2013,9:30:00,9.571111111
