"Título de trazado: JTU-01_PT_22"
"N.º";"Fecha Tiempo, GMT-05:00";"Event, mm (LGR S/N: 10725305, SEN S/N: 10725305)";"Final de archivo (LGR S/N: 10725305)"
1;12/01/16 10:24:53;0.0;
2;16/01/16 17:25:24;0.1;
3;17/01/16 07:16:50;0.2;
4;19/01/16 07:17:58;0.3;
5;20/01/16 12:42:13;0.4;
6;20/01/16 15:46:07;0.5;
7;21/01/16 15:45:57;0.6;
8;21/01/16 15:48:26;0.7;
9;21/01/16 15:50:47;0.8;
10;21/01/16 15:53:17;0.9;
11;21/01/16 15:55:51;1.0;
12;21/01/16 15:57:55;1.1;
13;21/01/16 16:04:07;1.2;
14;23/01/16 04:34:55;1.3;
15;24/01/16 17:47:39;1.4;
16;24/01/16 17:52:01;1.5;
17;24/01/16 17:55:26;1.6;
18;24/01/16 17:59:25;1.7;
19;24/01/16 18:05:05;1.8;
20;24/01/16 18:11:16;1.9;
21;24/01/16 18:23:04;2.0;
22;24/01/16 18:55:00;2.1;
23;24/01/16 21:55:42;2.2;
24;24/01/16 22:05:14;2.3;
25;24/01/16 22:23:03;2.4;
26;25/01/16 00:44:33;2.5;
27;25/01/16 02:47:42;2.6;
28;25/01/16 03:23:04;2.7;
29;25/01/16 03:57:05;2.8;
30;25/01/16 04:04:23;2.9;
31;25/01/16 04:13:02;3.0;
32;25/01/16 04:23:08;3.1;
33;25/01/16 04:31:02;3.2;
34;25/01/16 04:42:04;3.3;
35;25/01/16 04:53:47;3.4;
36;25/01/16 05:00:42;3.5;
37;25/01/16 05:07:13;3.6;
38;25/01/16 05:12:11;3.7;
39;25/01/16 05:16:42;3.8;
40;25/01/16 05:19:56;3.9;
41;25/01/16 05:22:57;4.0;
42;25/01/16 05:26:11;4.1;
43;25/01/16 05:29:16;4.2;
44;25/01/16 05:31:34;4.3;
45;25/01/16 05:33:20;4.4;
46;25/01/16 05:34:47;4.5;
47;25/01/16 05:36:25;4.6;
48;25/01/16 05:37:48;4.7;
49;25/01/16 05:39:25;4.8;
50;25/01/16 05:40:52;4.9;
51;25/01/16 05:42:35;5.0;
52;25/01/16 05:43:57;5.1;
53;25/01/16 05:45:27;5.2;
54;25/01/16 05:46:55;5.3;
55;25/01/16 05:48:52;5.4;
56;25/01/16 05:50:27;5.5;
57;25/01/16 05:52:34;5.6;
58;25/01/16 05:54:48;5.7;
59;25/01/16 05:57:18;5.8;
