"Título de trazado: JTU_01_PT_83"
"N.º","Fecha Tiempo, GMT-05:00","Precipitacion, mm (LGR S/N: 2412759, SEN S/N: 2412759)","Final de archivo (LGR S/N: 2412759)"
164,30/10/17 15:14:19,16.3,
165,30/10/17 15:50:09,16.4,
166,30/10/17 15:53:58,16.5,
167,30/10/17 15:58:48,16.6,
168,30/10/17 16:08:02,16.7,
169,30/10/17 16:32:59,16.8,
170,30/10/17 17:04:49,16.9,
171,30/10/17 17:10:09,17.0,
172,30/10/17 17:14:08,17.1,
173,30/10/17 17:39:17,17.2,
174,30/10/17 17:53:12,17.3,
175,31/10/17 11:59:38,17.4,
176,31/10/17 12:00:47,17.5,
177,31/10/17 12:01:53,17.6,
178,31/10/17 12:02:26,17.7,
179,31/10/17 12:03:07,17.8,
180,31/10/17 12:04:01,17.9,
181,31/10/17 12:05:23,18.0,
182,31/10/17 12:06:13,18.1,
183,31/10/17 12:06:59,18.2,
184,31/10/17 12:07:40,18.3,
185,31/10/17 12:08:29,18.4,
186,31/10/17 12:09:12,18.5,
187,31/10/17 12:09:58,18.6,
188,31/10/17 12:10:37,18.7,
189,31/10/17 12:11:19,18.8,
190,31/10/17 12:11:55,18.9,
191,31/10/17 12:12:27,19.0,
192,31/10/17 12:13:04,19.1,
193,31/10/17 12:13:49,19.2,
194,31/10/17 12:14:25,19.3,
195,31/10/17 12:15:14,19.4,
196,31/10/17 12:16:01,19.5,
197,31/10/17 12:16:59,19.6,
198,31/10/17 12:18:03,19.7,
199,31/10/17 12:19:15,19.8,
200,31/10/17 12:21:03,19.9,
201,31/10/17 12:22:50,20.0,
202,31/10/17 12:27:11,20.1,
203,31/10/17 12:34:32,20.2,
204,31/10/17 13:01:09,20.3,
205,31/10/17 13:03:44,20.4,
206,31/10/17 13:05:29,20.5,
207,31/10/17 13:07:19,20.6,
208,31/10/17 13:08:18,20.7,
209,31/10/17 13:09:18,20.8,
210,31/10/17 13:46:41,20.9,
211,31/10/17 15:00:16,21.0,
212,31/10/17 15:01:36,21.1,
213,31/10/17 15:02:52,21.2,
214,31/10/17 15:04:10,21.3,
215,31/10/17 15:05:25,21.4,
216,31/10/17 15:06:43,21.5,
217,31/10/17 15:07:56,21.6,
218,31/10/17 15:09:13,21.7,
219,31/10/17 15:10:27,21.8,
220,31/10/17 15:11:50,21.9,
221,31/10/17 15:13:10,22.0,
222,31/10/17 15:14:35,22.1,
223,31/10/17 15:16:04,22.2,
224,31/10/17 15:17:41,22.3,
225,31/10/17 15:19:32,22.4,
226,31/10/17 15:21:32,22.5,
227,31/10/17 15:23:35,22.6,
228,31/10/17 15:26:01,22.7,
229,31/10/17 15:28:12,22.8,
230,31/10/17 15:30:07,22.9,
231,31/10/17 15:31:58,23.0,
232,31/10/17 15:34:06,23.1,
233,31/10/17 15:35:57,23.2,
234,31/10/17 15:37:52,23.3,
235,31/10/17 15:40:07,23.4,
236,31/10/17 15:42:22,23.5,
237,31/10/17 15:44:12,23.6,
238,31/10/17 15:46:01,23.7,
239,31/10/17 15:47:32,23.8,
240,31/10/17 15:49:01,23.9,
241,31/10/17 15:52:19,24.0,
242,31/10/17 15:53:48,24.1,
243,31/10/17 15:55:48,24.2,
244,31/10/17 15:57:45,24.3,
245,31/10/17 15:59:50,24.4,
246,31/10/17 16:01:51,24.5,
247,31/10/17 16:03:51,24.6,
248,31/10/17 16:06:13,24.7,
249,31/10/17 16:08:36,24.8,
250,31/10/17 16:10:44,24.9,
251,31/10/17 16:13:51,25.0,
252,31/10/17 16:16:01,25.1,
253,31/10/17 16:18:57,25.2,
254,31/10/17 16:21:31,25.3,
255,31/10/17 16:25:15,25.4,
256,31/10/17 16:28:52,25.5,
257,31/10/17 16:33:16,25.6,
258,31/10/17 16:37:12,25.7,
259,31/10/17 16:39:41,25.8,
260,31/10/17 16:43:39,25.9,
261,31/10/17 16:46:48,26.0,
262,31/10/17 16:50:53,26.1,
263,31/10/17 16:54:14,26.2,
264,31/10/17 16:58:11,26.3,
265,31/10/17 17:02:24,26.4,
266,31/10/17 17:06:35,26.5,
267,31/10/17 17:10:48,26.6,
268,31/10/17 17:14:37,26.7,
269,31/10/17 17:18:07,26.8,
270,31/10/17 17:21:34,26.9,
271,31/10/17 17:25:11,27.0,
272,31/10/17 17:29:03,27.1,
273,31/10/17 17:33:05,27.2,
274,31/10/17 17:37:48,27.3,
275,31/10/17 17:43:29,27.4,
276,31/10/17 17:50:38,27.5,
277,31/10/17 18:03:56,27.6,
278,31/10/17 18:10:16,27.7,
279,31/10/17 18:17:19,27.8,
280,31/10/17 18:27:32,27.9,
281,31/10/17 18:39:21,28.0,
282,31/10/17 18:54:04,28.1,
283,31/10/17 19:18:10,28.2,
284,31/10/17 19:40:33,28.3,
285,31/10/17 20:22:03,28.4,
286,01/11/17 00:26:25,28.5,
287,01/11/17 07:23:30,28.6,
288,01/11/17 07:40:54,28.7,
289,01/11/17 07:51:26,28.8,
290,01/11/17 08:02:48,28.9,
291,01/11/17 08:15:21,29.0,
292,01/11/17 08:22:04,29.1,
293,01/11/17 08:27:30,29.2,
294,01/11/17 08:31:38,29.3,
295,01/11/17 08:36:57,29.4,
296,01/11/17 08:40:17,29.5,
297,01/11/17 08:45:01,29.6,
298,01/11/17 08:51:40,29.7,
299,01/11/17 08:58:03,29.8,
300,01/11/17 09:03:32,29.9,
301,01/11/17 09:08:03,30.0,
302,01/11/17 09:12:59,30.1,
303,01/11/17 09:16:44,30.2,
304,01/11/17 09:18:35,30.3,
305,01/11/17 09:24:29,30.4,
306,01/11/17 09:29:01,30.5,
307,01/11/17 09:32:03,30.6,
308,01/11/17 09:35:42,30.7,
309,01/11/17 09:39:14,30.8,
310,01/11/17 09:42:50,30.9,
311,01/11/17 09:47:22,31.0,
312,01/11/17 18:33:59,31.1,
