"Título de trazado: JTU_01_PT_32"
"N.º";"Fecha Tiempo, GMT-05:00";"Event, mm (LGR S/N: 10390585, SEN S/N: 10390585)";"Final de archivo (LGR S/N: 10390585)"
1;13/12/17 09:53:09;0.0;
2;15/12/17 07:10:57;0.1;
3;16/12/17 06:54:50;0.2;
4;17/12/17 06:59:24;0.3;
5;18/12/17 06:42:59;0.4;
6;20/12/17 18:47:13;0.5;
7;21/12/17 13:34:36;0.6;
8;22/12/17 05:35:25;0.7;
9;25/12/17 03:08:59;0.8;
10;25/12/17 13:21:07;0.9;
11;25/12/17 13:22:46;1.0;
12;25/12/17 13:25:01;1.1;
13;25/12/17 13:27:23;1.2;
14;25/12/17 13:28:51;1.3;
15;25/12/17 13:30:10;1.4;
16;25/12/17 13:34:15;1.5;
17;25/12/17 13:38:07;1.6;
18;25/12/17 13:41:02;1.7;
19;25/12/17 13:43:53;1.8;
20;25/12/17 13:46:49;1.9;
21;25/12/17 13:49:40;2.0;
22;25/12/17 13:50:44;2.1;
23;25/12/17 13:51:23;2.2;
24;25/12/17 13:51:47;2.3;
25;25/12/17 13:52:08;2.4;
26;25/12/17 13:52:24;2.5;
27;25/12/17 13:52:36;2.6;
28;25/12/17 13:52:53;2.7;
29;25/12/17 13:53:54;2.8;
30;25/12/17 13:57:12;2.9;
31;25/12/17 13:59:25;3.0;
32;25/12/17 14:02:04;3.1;
33;25/12/17 14:03:16;3.2;
34;25/12/17 14:03:53;3.3;
35;25/12/17 14:04:10;3.4;
36;25/12/17 14:04:24;3.5;
37;25/12/17 14:04:40;3.6;
38;25/12/17 14:04:59;3.7;
39;25/12/17 14:05:27;3.8;
40;25/12/17 14:05:49;3.9;
41;25/12/17 14:06:12;4.0;
42;25/12/17 14:06:34;4.1;
43;25/12/17 14:06:52;4.2;
44;25/12/17 14:07:15;4.3;
45;25/12/17 14:07:42;4.4;
46;25/12/17 14:08:13;4.5;
47;25/12/17 14:08:36;4.6;
48;25/12/17 14:08:58;4.7;
49;25/12/17 14:09:16;4.8;
50;25/12/17 14:09:35;4.9;
51;25/12/17 14:09:51;5.0;
52;25/12/17 14:10:12;5.1;
53;25/12/17 14:11:01;5.2;
54;25/12/17 14:11:55;5.3;
55;25/12/17 14:13:44;5.4;
56;25/12/17 14:15:42;5.5;
57;25/12/17 14:16:44;5.6;
58;25/12/17 14:17:37;5.7;
59;25/12/17 14:19:01;5.8;
60;25/12/17 14:22:33;5.9;
61;25/12/17 14:30:33;6.0;
62;25/12/17 14:36:18;6.1;
63;25/12/17 14:41:41;6.2;
64;25/12/17 14:46:30;6.3;
65;25/12/17 14:47:56;6.4;
66;25/12/17 14:49:44;6.5;
67;25/12/17 14:51:31;6.6;
68;25/12/17 14:53:06;6.7;
69;25/12/17 14:54:42;6.8;
70;25/12/17 14:56:22;6.9;
71;25/12/17 14:58:01;7.0;
72;25/12/17 15:00:28;7.1;
73;25/12/17 15:01:51;7.2;
74;25/12/17 15:03:45;7.3;
75;25/12/17 15:06:18;7.4;
76;25/12/17 15:09:40;7.5;
77;25/12/17 15:12:41;7.6;
78;25/12/17 15:15:32;7.7;
79;25/12/17 15:18:46;7.8;
80;25/12/17 15:23:16;7.9;
81;25/12/17 15:27:50;8.0;
82;25/12/17 15:29:48;8.1;
83;25/12/17 15:31:00;8.2;
84;25/12/17 15:32:45;8.3;
85;25/12/17 15:34:16;8.4;
86;25/12/17 15:36:25;8.5;
87;25/12/17 15:38:30;8.6;
88;25/12/17 15:53:15;8.7;
89;25/12/17 16:05:03;8.8;
90;25/12/17 16:37:27;8.9;
91;25/12/17 16:48:53;9.0;
92;25/12/17 17:59:15;9.1;
93;25/12/17 22:30:16;9.2;
94;26/12/17 08:14:38;9.3;
95;26/12/17 16:49:23;9.4;
96;26/12/17 17:01:00;9.5;
97;26/12/17 17:31:07;9.6;
98;26/12/17 18:45:18;9.7;
99;26/12/17 21:30:26;9.8;
100;26/12/17 21:34:30;9.9;
101;26/12/17 21:39:10;10.0;
102;26/12/17 21:43:32;10.1;
103;26/12/17 21:49:16;10.2;
104;26/12/17 22:03:02;10.3;
105;26/12/17 22:07:36;10.4;
106;26/12/17 22:11:17;10.5;
107;26/12/17 22:15:40;10.6;
108;26/12/17 22:20:42;10.7;
109;26/12/17 22:30:12;10.8;
110;26/12/17 22:57:57;10.9;
111;26/12/17 23:13:04;11.0;
112;26/12/17 23:33:57;11.1;
113;26/12/17 23:57:10;11.2;
114;27/12/17 00:21:25;11.3;
115;27/12/17 00:36:44;11.4;
116;27/12/17 01:21:46;11.5;
117;27/12/17 01:54:47;11.6;
118;27/12/17 02:02:12;11.7;
119;27/12/17 02:08:59;11.8;
120;27/12/17 02:13:16;11.9;
121;27/12/17 02:17:58;12.0;
122;27/12/17 02:21:09;12.1;
123;27/12/17 02:24:13;12.2;
124;27/12/17 02:27:56;12.3;
125;27/12/17 02:32:45;12.4;
126;27/12/17 02:37:12;12.5;
127;27/12/17 02:40:01;12.6;
128;27/12/17 02:42:15;12.7;
129;27/12/17 02:44:08;12.8;
130;27/12/17 02:47:17;12.9;
131;27/12/17 02:49:44;13.0;
132;27/12/17 02:54:35;13.1;
133;27/12/17 03:12:34;13.2;
134;27/12/17 03:35:17;13.3;
135;27/12/17 03:41:51;13.4;
136;27/12/17 03:49:17;13.5;
137;27/12/17 03:54:06;13.6;
138;27/12/17 03:58:19;13.7;
139;27/12/17 04:00:18;13.8;
140;27/12/17 04:03:11;13.9;
141;27/12/17 04:06:01;14.0;
142;27/12/17 04:08:03;14.1;
143;27/12/17 04:09:44;14.2;
144;27/12/17 04:11:50;14.3;
145;27/12/17 04:15:12;14.4;
146;27/12/17 04:23:19;14.5;
147;27/12/17 04:31:20;14.6;
148;27/12/17 04:42:43;14.7;
149;27/12/17 04:48:07;14.8;
150;27/12/17 05:44:53;14.9;
151;27/12/17 05:56:10;15.0;
152;27/12/17 06:00:30;15.1;
153;27/12/17 06:03:09;15.2;
154;27/12/17 06:05:41;15.3;
155;27/12/17 06:07:38;15.4;
156;27/12/17 06:09:45;15.5;
157;27/12/17 06:11:42;15.6;
158;27/12/17 06:15:07;15.7;
159;27/12/17 06:17:58;15.8;
160;27/12/17 06:21:10;15.9;
161;27/12/17 06:23:26;16.0;
162;27/12/17 06:26:17;16.1;
163;27/12/17 06:28:56;16.2;
164;27/12/17 06:31:56;16.3;
165;27/12/17 06:34:24;16.4;
166;27/12/17 06:39:32;16.5;
167;27/12/17 07:23:19;16.6;
168;27/12/17 07:24:42;16.7;
169;27/12/17 07:25:54;16.8;
170;27/12/17 07:27:11;16.9;
171;27/12/17 07:28:16;17.0;
172;27/12/17 07:29:29;17.1;
173;27/12/17 07:30:30;17.2;
174;27/12/17 07:31:48;17.3;
175;27/12/17 07:33:13;17.4;
176;27/12/17 07:35:27;17.5;
177;27/12/17 07:36:50;17.6;
178;27/12/17 07:38:08;17.7;
179;27/12/17 07:39:13;17.8;
180;27/12/17 07:40:29;17.9;
181;27/12/17 07:41:40;18.0;
182;27/12/17 07:42:51;18.1;
183;27/12/17 07:44:07;18.2;
184;27/12/17 07:45:48;18.3;
185;27/12/17 07:47:27;18.4;
186;27/12/17 07:49:54;18.5;
187;27/12/17 07:51:51;18.6;
188;27/12/17 07:55:22;18.7;
189;27/12/17 07:57:43;18.8;
190;27/12/17 08:02:57;18.9;
191;27/12/17 08:05:49;19.0;
192;27/12/17 08:08:54;19.1;
193;27/12/17 08:12:43;19.2;
194;27/12/17 08:18:36;19.3;
195;28/12/17 12:07:06;19.4;
196;29/12/17 01:53:57;19.5;
197;29/12/17 02:08:45;19.6;
198;29/12/17 03:04:33;19.7;
199;29/12/17 15:33:41;19.8;
200;29/12/17 15:36:52;19.9;
201;29/12/17 15:38:38;20.0;
202;29/12/17 15:39:56;20.1;
203;29/12/17 15:40:54;20.2;
204;29/12/17 15:43:06;20.3;
205;29/12/17 15:44:22;20.4;
206;29/12/17 15:45:44;20.5;
207;29/12/17 15:48:08;20.6;
208;29/12/17 16:08:53;20.7;
209;29/12/17 16:38:16;20.8;
210;29/12/17 16:57:47;20.9;
211;29/12/17 17:04:40;21.0;
212;29/12/17 17:10:49;21.1;
213;29/12/17 17:13:32;21.2;
214;29/12/17 17:16:56;21.3;
215;29/12/17 17:21:41;21.4;
216;29/12/17 19:46:12;21.5;
217;29/12/17 21:09:35;21.6;
218;29/12/17 21:12:58;21.7;
219;29/12/17 21:21:50;21.8;
220;29/12/17 21:30:02;21.9;
221;29/12/17 22:03:56;22.0;
222;30/12/17 06:01:05;22.1;
223;30/12/17 11:58:47;22.2;
224;30/12/17 12:02:19;22.3;
225;30/12/17 12:03:34;22.4;
226;30/12/17 12:18:12;22.5;
227;30/12/17 12:22:51;22.6;
228;30/12/17 12:42:09;22.7;
229;30/12/17 12:43:04;22.8;
230;30/12/17 12:43:41;22.9;
231;30/12/17 12:44:09;23.0;
232;30/12/17 12:44:45;23.1;
233;30/12/17 12:45:24;23.2;
234;30/12/17 12:46:14;23.3;
235;30/12/17 12:47:06;23.4;
236;30/12/17 12:48:14;23.5;
237;30/12/17 12:49:55;23.6;
238;30/12/17 12:52:53;23.7;
239;30/12/17 12:57:58;23.8;
240;30/12/17 13:07:20;23.9;
241;30/12/17 13:08:54;24.0;
242;30/12/17 13:10:24;24.1;
243;30/12/17 13:11:23;24.2;
244;30/12/17 13:13:04;24.3;
245;30/12/17 13:15:18;24.4;
246;30/12/17 13:16:57;24.5;
247;30/12/17 13:18:27;24.6;
248;30/12/17 13:36:56;24.7;
249;30/12/17 13:37:22;24.8;
250;30/12/17 13:38:04;24.9;
251;30/12/17 13:38:40;25.0;
252;30/12/17 13:39:35;25.1;
253;30/12/17 13:40:13;25.2;
254;30/12/17 13:40:52;25.3;
255;30/12/17 13:41:38;25.4;
256;30/12/17 13:42:35;25.5;
257;30/12/17 13:43:24;25.6;
258;30/12/17 13:44:26;25.7;
259;30/12/17 13:45:34;25.8;
260;30/12/17 13:46:49;25.9;
