"Título de trazado: JTU_01_PT_22"
"N.º";"Fecha Tiempo, GMT-05:00";"Event, units (LGR S/N: 10390585, SEN S/N: 10390585)";"Final de archivo (LGR S/N: 10390585)"
143;23/02/15 13:54:51;14.2;
144;23/02/15 13:55:23;14.3;
145;23/02/15 13:56:04;14.4;
146;23/02/15 13:56:29;14.5;
147;23/02/15 13:56:46;14.6;
148;23/02/15 13:57:04;14.7;
149;23/02/15 13:57:27;14.8;
150;23/02/15 13:58:04;14.9;
151;23/02/15 13:58:41;15.0;
152;23/02/15 13:59:55;15.1;
153;23/02/15 14:02:16;15.2;
154;23/02/15 14:03:41;15.3;
155;23/02/15 14:04:16;15.4;
156;23/02/15 14:04:48;15.5;
157;23/02/15 14:05:05;15.6;
158;23/02/15 14:05:28;15.7;
159;23/02/15 14:05:44;15.8;
160;23/02/15 14:06:02;15.9;
161;23/02/15 14:06:18;16.0;
162;23/02/15 14:06:36;16.1;
163;23/02/15 14:06:55;16.2;
164;23/02/15 14:07:16;16.3;
165;23/02/15 14:07:39;16.4;
166;23/02/15 14:08:14;16.5;
167;23/02/15 14:08:55;16.6;
168;23/02/15 14:10:00;16.7;
169;23/02/15 14:11:23;16.8;
170;23/02/15 14:14:47;16.9;
171;23/02/15 14:19:20;17.0;
172;23/02/15 14:20:34;17.1;
173;23/02/15 14:21:04;17.2;
174;23/02/15 14:22:26;17.3;
175;23/02/15 14:23:40;17.4;
176;23/02/15 14:24:51;17.5;
177;23/02/15 14:28:16;17.6;
178;23/02/15 14:29:59;17.7;
179;23/02/15 14:30:56;17.8;
180;23/02/15 14:31:45;17.9;
181;23/02/15 14:32:33;18.0;
182;23/02/15 14:33:31;18.1;
183;23/02/15 14:34:11;18.2;
184;23/02/15 14:34:57;18.3;
185;23/02/15 14:35:48;18.4;
186;23/02/15 14:36:45;18.5;
187;23/02/15 14:37:35;18.6;
188;23/02/15 14:46:50;18.7;
189;23/02/15 14:53:14;18.8;
190;23/02/15 14:55:28;18.9;
191;23/02/15 14:57:26;19.0;
192;24/02/15 15:20:02;19.1;
193;24/02/15 15:23:01;19.2;
194;24/02/15 15:23:57;19.3;
