"Título de trazado: JTU_01_PT_22"
"N.º";"Fecha Tiempo, GMT-05:00";"Event, units (LGR S/N: 10390585, SEN S/N: 10390585)";"Final de archivo (LGR S/N: 10390585)"
1;14/04/15 13:05:28;0.0;
2;14/04/15 15:14:05;0.1;
3;14/04/15 15:31:11;0.2;
4;14/04/15 15:33:49;0.3;
5;14/04/15 15:35:32;0.4;
6;14/04/15 15:37:15;0.5;
7;14/04/15 15:42:16;0.6;
8;14/04/15 15:50:45;0.7;
9;14/04/15 15:52:43;0.8;
10;14/04/15 15:54:38;0.9;
11;14/04/15 15:59:45;1.0;
12;16/04/15 08:26:14;1.1;
13;16/04/15 08:43:25;1.2;
14;16/04/15 09:03:25;1.3;
15;16/04/15 11:11:18;1.4;
16;16/04/15 11:17:49;1.5;
17;16/04/15 16:10:21;1.6;
18;16/04/15 16:11:23;1.7;
19;16/04/15 16:12:23;1.8;
20;16/04/15 16:13:14;1.9;
21;16/04/15 16:14:56;2.0;
22;16/04/15 16:17:10;2.1;
23;16/04/15 16:21:31;2.2;
24;16/04/15 16:25:40;2.3;
25;16/04/15 16:29:46;2.4;
26;16/04/15 16:35:11;2.5;
27;16/04/15 17:37:59;2.6;
28;16/04/15 17:42:13;2.7;
29;16/04/15 17:46:58;2.8;
30;16/04/15 17:58:35;2.9;
31;17/04/15 11:07:28;3.0;
32;17/04/15 11:09:09;3.1;
33;17/04/15 11:09:57;3.2;
34;17/04/15 11:10:21;3.3;
35;17/04/15 11:10:47;3.4;
36;17/04/15 11:11:07;3.5;
37;17/04/15 11:11:32;3.6;
38;17/04/15 11:11:50;3.7;
39;17/04/15 11:12:15;3.8;
40;17/04/15 11:12:35;3.9;
41;17/04/15 11:13:05;4.0;
42;17/04/15 11:13:24;4.1;
43;17/04/15 11:13:56;4.2;
44;17/04/15 11:14:42;4.3;
45;17/04/15 11:15:12;4.4;
46;17/04/15 11:15:42;4.5;
47;17/04/15 11:16:23;4.6;
48;17/04/15 11:16:44;4.7;
49;17/04/15 11:17:13;4.8;
50;17/04/15 11:17:41;4.9;
51;17/04/15 11:18:21;5.0;
52;17/04/15 11:19:02;5.1;
53;17/04/15 11:20:09;5.2;
54;17/04/15 11:21:09;5.3;
55;17/04/15 11:22:01;5.4;
56;17/04/15 11:22:36;5.5;
57;17/04/15 11:22:56;5.6;
58;17/04/15 11:23:09;5.7;
59;17/04/15 11:23:25;5.8;
60;17/04/15 11:23:41;5.9;
61;17/04/15 11:24:08;6.0;
62;17/04/15 11:24:31;6.1;
63;17/04/15 11:25:03;6.2;
64;17/04/15 11:25:32;6.3;
65;17/04/15 11:26:03;6.4;
66;17/04/15 11:26:35;6.5;
67;17/04/15 11:27:43;6.6;
68;17/04/15 11:29:14;6.7;
69;17/04/15 11:31:43;6.8;
70;17/04/15 11:32:14;6.9;
71;17/04/15 11:32:50;7.0;
72;17/04/15 11:33:16;7.1;
73;17/04/15 11:33:46;7.2;
74;17/04/15 11:34:09;7.3;
75;17/04/15 11:34:43;7.4;
76;17/04/15 11:35:12;7.5;
77;17/04/15 11:35:49;7.6;
78;17/04/15 11:36:13;7.7;
79;17/04/15 11:36:41;7.8;
80;17/04/15 11:37:05;7.9;
81;17/04/15 11:37:35;8.0;
82;17/04/15 11:37:57;8.1;
83;17/04/15 11:38:22;8.2;
84;17/04/15 11:38:43;8.3;
85;17/04/15 11:39:08;8.4;
86;17/04/15 11:39:28;8.5;
87;17/04/15 11:39:54;8.6;
88;17/04/15 11:40:19;8.7;
89;17/04/15 11:40:52;8.8;
90;17/04/15 11:41:18;8.9;
91;17/04/15 11:41:52;9.0;
92;17/04/15 11:42:24;9.1;
93;17/04/15 11:43:04;9.2;
94;17/04/15 11:43:37;9.3;
95;17/04/15 11:44:17;9.4;
96;17/04/15 11:44:50;9.5;
97;17/04/15 11:45:32;9.6;
98;17/04/15 11:46:08;9.7;
99;17/04/15 11:46:48;9.8;
100;17/04/15 11:47:21;9.9;
101;17/04/15 11:48:01;10.0;
102;17/04/15 11:48:32;10.1;
103;17/04/15 11:49:06;10.2;
104;17/04/15 11:49:31;10.3;
105;17/04/15 11:50:00;10.4;
106;17/04/15 11:50:22;10.5;
107;17/04/15 11:50:48;10.6;
108;17/04/15 11:51:06;10.7;
109;17/04/15 11:51:23;10.8;
110;17/04/15 11:51:35;10.9;
111;17/04/15 11:51:50;11.0;
112;17/04/15 11:52:05;11.1;
113;17/04/15 11:52:27;11.2;
114;17/04/15 11:52:54;11.3;
115;17/04/15 11:53:17;11.4;
116;17/04/15 11:53:39;11.5;
117;17/04/15 11:54:09;11.6;
118;17/04/15 11:54:33;11.7;
119;17/04/15 11:55:06;11.8;
120;17/04/15 11:55:35;11.9;
121;17/04/15 11:56:04;12.0;
122;17/04/15 11:56:28;12.1;
123;17/04/15 11:56:58;12.2;
124;17/04/15 11:57:27;12.3;
125;17/04/15 11:58:09;12.4;
126;17/04/15 11:58:43;12.5;
127;17/04/15 11:59:21;12.6;
128;17/04/15 11:59:57;12.7;
129;17/04/15 12:00:28;12.8;
130;17/04/15 12:00:48;12.9;
