"Título de trazado: JTU-01_PT22"
"N.º";"Fecha Tiempo, GMT-05:00";"Event, mm (LGR S/N: 10725305, SEN S/N: 10725305)";"Final de archivo (LGR S/N: 10725305)"
164;26/11/15 17:53:33;16.3;
165;26/11/15 17:58:58;16.4;
166;26/11/15 18:08:55;16.5;
167;26/11/15 21:39:44;16.6;
168;27/11/15 06:47:33;16.7;
169;28/11/15 12:33:04;16.8;
170;28/11/15 12:33:45;16.9;
171;28/11/15 12:34:32;17.0;
172;28/11/15 12:35:09;17.1;
173;28/11/15 12:35:43;17.2;
174;28/11/15 12:36:19;17.3;
175;28/11/15 12:36:39;17.4;
176;28/11/15 12:36:55;17.5;
177;28/11/15 12:37:09;17.6;
178;28/11/15 12:37:25;17.7;
179;28/11/15 12:37:39;17.8;
180;28/11/15 12:37:54;17.9;
181;28/11/15 12:38:09;18.0;
182;28/11/15 12:38:25;18.1;
183;28/11/15 12:38:36;18.2;
184;28/11/15 12:38:51;18.3;
185;28/11/15 12:39:03;18.4;
186;28/11/15 12:39:20;18.5;
187;28/11/15 12:39:36;18.6;
188;28/11/15 12:40:16;18.7;
189;28/11/15 12:41:23;18.8;
190;28/11/15 12:42:54;18.9;
191;28/11/15 12:44:12;19.0;
192;28/11/15 12:45:41;19.1;
193;28/11/15 12:47:13;19.2;
194;28/11/15 12:49:45;19.3;
195;28/11/15 12:50:20;19.4;
196;28/11/15 12:50:54;19.5;
197;28/11/15 12:51:24;19.6;
198;28/11/15 12:51:58;19.7;
199;28/11/15 12:52:31;19.8;
200;28/11/15 12:53:04;19.9;
201;28/11/15 12:53:26;20.0;
202;28/11/15 12:53:50;20.1;
203;28/11/15 12:54:13;20.2;
204;28/11/15 12:54:48;20.3;
205;28/11/15 12:55:19;20.4;
206;28/11/15 12:55:55;20.5;
207;28/11/15 12:56:40;20.6;
208;28/11/15 12:58:01;20.7;
209;28/11/15 13:00:12;20.8;
210;28/11/15 13:02:00;20.9;
211;28/11/15 13:02:52;21.0;
212;28/11/15 13:03:55;21.1;
213;28/11/15 13:04:40;21.2;
214;28/11/15 13:05:26;21.3;
215;28/11/15 13:06:12;21.4;
216;28/11/15 13:07:12;21.5;
217;28/11/15 13:12:27;21.6;
218;28/11/15 13:19:08;21.7;
219;28/11/15 13:32:08;21.8;
220;28/11/15 14:58:13;21.9;
221;28/11/15 14:58:58;22.0;
