"Título de trazado: JTU_01_PP_11"
"N.º";"Fecha Tiempo, GMT-07:00";"Lluvia, mm (LGR S/N: 10390583, SEN S/N: 10390583)";"Final de archivo (LGR S/N: 10390583)"
1;11/08/14 07:43:26;0,0;
2;11/08/14 22:27:08;0,1;
3;11/08/14 23:34:57;0,2;
4;11/08/14 23:53:41;0,3;
5;12/08/14 00:47:11;0,4;
6;12/08/14 02:28:05;0,5;
7;12/08/14 08:57:25;0,6;
8;12/08/14 09:40:06;0,7;
9;12/08/14 09:46:16;0,8;
10;12/08/14 09:50:44;0,9;
11;12/08/14 09:54:44;1,0;
12;12/08/14 09:57:25;1,1;
13;12/08/14 10:03:52;1,2;
14;12/08/14 10:05:57;1,3;
15;12/08/14 10:08:08;1,4;
16;12/08/14 10:09:53;1,5;
17;12/08/14 10:11:18;1,6;
18;12/08/14 10:12:24;1,7;
19;12/08/14 10:13:31;1,8;
20;12/08/14 10:15:04;1,9;
21;12/08/14 10:16:40;2,0;
22;12/08/14 10:18:03;2,1;
23;12/08/14 10:23:23;2,2;
24;12/08/14 10:37:53;2,3;
25;12/08/14 11:35:17;2,4;
26;12/08/14 14:23:40;2,5;
27;12/08/14 14:29:36;2,6;
28;12/08/14 14:34:16;2,7;
29;12/08/14 14:38:04;2,8;
30;12/08/14 14:42:18;2,9;
31;12/08/14 15:39:04;3,0;
32;12/08/14 15:59:16;3,1;
33;12/08/14 16:10:47;3,2;
34;12/08/14 16:25:50;3,3;
35;12/08/14 17:20:53;3,4;
36;12/08/14 17:25:24;3,5;
37;12/08/14 17:29:12;3,6;
38;12/08/14 17:31:47;3,7;
39;12/08/14 17:34:10;3,8;
40;12/08/14 17:35:52;3,9;
41;12/08/14 17:37:42;4,0;
42;12/08/14 17:39:30;4,1;
43;12/08/14 17:41:12;4,2;
44;12/08/14 17:42:19;4,3;
45;12/08/14 17:43:36;4,4;
46;12/08/14 17:44:52;4,5;
47;12/08/14 17:46:07;4,6;
48;12/08/14 17:47:06;4,7;
49;12/08/14 17:48:16;4,8;
50;12/08/14 17:49:16;4,9;
51;12/08/14 17:50:26;5,0;
52;12/08/14 17:51:31;5,1;
53;12/08/14 17:52:44;5,2;
54;12/08/14 17:53:48;5,3;
55;12/08/14 17:55:06;5,4;
56;12/08/14 17:56:06;5,5;
57;12/08/14 17:57:15;5,6;
58;12/08/14 17:58:10;5,7;
59;12/08/14 17:59:22;5,8;
60;12/08/14 18:00:28;5,9;
61;12/08/14 18:01:49;6,0;
62;12/08/14 18:02:59;6,1;
63;12/08/14 18:04:28;6,2;
64;12/08/14 18:06:13;6,3;
65;12/08/14 18:08:47;6,4;
66;12/08/14 18:10:45;6,5;
67;12/08/14 18:12:24;6,6;
68;12/08/14 18:14:15;6,7;
69;12/08/14 18:22:47;6,8;
70;12/08/14 18:32:34;6,9;
71;12/08/14 18:37:57;7,0;
72;12/08/14 18:44:49;7,1;
73;12/08/14 18:51:24;7,2;
74;12/08/14 18:58:08;7,3;
75;12/08/14 19:05:15;7,4;
76;12/08/14 19:12:25;7,5;
77;12/08/14 19:21:01;7,6;
78;12/08/14 19:28:27;7,7;
79;12/08/14 19:37:04;7,8;
80;12/08/14 19:44:58;7,9;
81;12/08/14 19:56:12;8,0;
82;12/08/14 20:17:43;8,1;
83;12/08/14 22:06:02;8,2;
84;12/08/14 23:13:29;8,3;
85;12/08/14 23:57:20;8,4;
86;13/08/14 00:46:03;8,5;
87;13/08/14 01:49:14;8,6;
88;13/08/14 02:16:59;8,7;
89;13/08/14 02:21:33;8,8;
90;13/08/14 02:24:29;8,9;
91;13/08/14 02:28:24;9,0;
92;13/08/14 02:31:04;9,1;
93;13/08/14 02:34:52;9,2;
94;13/08/14 02:36:58;9,3;
95;13/08/14 02:38:58;9,4;
96;13/08/14 02:41:06;9,5;
97;13/08/14 02:44:04;9,6;
98;13/08/14 02:49:59;9,7;
99;13/08/14 02:53:44;9,8;
100;13/08/14 02:56:25;9,9;
101;13/08/14 03:17:44;10,0;
102;13/08/14 05:20:59;10,1;
103;13/08/14 05:24:12;10,2;
104;13/08/14 05:34:54;10,3;
105;13/08/14 05:38:19;10,4;
106;13/08/14 05:40:15;10,5;
107;13/08/14 05:42:38;10,6;
108;13/08/14 05:46:22;10,7;
109;13/08/14 06:00:58;10,8;
110;13/08/14 06:27:27;10,9;
111;13/08/14 06:34:16;11,0;
112;13/08/14 06:41:19;11,1;
113;13/08/14 06:48:23;11,2;
114;13/08/14 08:44:09;11,3;
115;13/08/14 08:48:18;11,4;
116;13/08/14 08:50:07;11,5;
117;13/08/14 08:53:32;11,6;
118;13/08/14 08:54:21;11,7;
119;13/08/14 09:07:51;11,8;
120;13/08/14 09:47:02;11,9;
121;13/08/14 09:48:49;12,0;
122;13/08/14 09:50:42;12,1;
123;13/08/14 09:53:57;12,2;
124;13/08/14 09:56:22;12,3;
125;13/08/14 09:58:12;12,4;
126;13/08/14 10:00:12;12,5;
127;13/08/14 10:03:01;12,6;
128;13/08/14 10:06:18;12,7;
129;13/08/14 10:08:20;12,8;
130;13/08/14 10:10:28;12,9;
131;13/08/14 10:13:02;13,0;
132;13/08/14 10:15:18;13,1;
133;13/08/14 10:16:56;13,2;
134;13/08/14 10:18:45;13,3;
135;13/08/14 10:24:26;13,4;
136;13/08/14 10:26:42;13,5;
137;13/08/14 10:29:11;13,6;
138;13/08/14 10:31:53;13,7;
139;13/08/14 10:35:05;13,8;
140;13/08/14 10:38:54;13,9;
141;13/08/14 10:45:50;14,0;
142;13/08/14 11:54:01;14,1;
143;13/08/14 11:55:20;14,2;
144;13/08/14 11:58:45;14,3;
145;13/08/14 12:02:25;14,4;
146;13/08/14 12:06:54;14,5;
147;13/08/14 12:19:51;14,6;
148;13/08/14 12:27:00;14,7;
149;13/08/14 12:30:30;14,8;
150;13/08/14 12:32:42;14,9;
151;13/08/14 12:35:13;15,0;
152;13/08/14 12:38:08;15,1;
153;13/08/14 12:40:32;15,2;
154;13/08/14 12:42:35;15,3;
155;13/08/14 12:46:50;15,4;
156;13/08/14 12:49:45;15,5;
157;13/08/14 12:52:31;15,6;
158;13/08/14 12:55:37;15,7;
159;13/08/14 12:59:26;15,8;
160;13/08/14 13:05:40;15,9;
161;13/08/14 13:10:57;16,0;
162;13/08/14 13:16:07;16,1;
163;13/08/14 13:21:42;16,2;
164;13/08/14 13:26:29;16,3;
165;13/08/14 13:40:22;16,4;
166;13/08/14 13:45:32;16,5;
167;13/08/14 13:53:18;16,6;
168;13/08/14 14:42:39;16,7;
169;14/08/14 09:09:38;16,8;
170;15/08/14 02:45:27;16,9;
171;15/08/14 04:50:06;17,0;
172;15/08/14 11:35:14;17,1;
173;15/08/14 11:51:27;17,2;
174;16/08/14 01:21:36;17,3;
175;16/08/14 02:45:20;17,4;
176;16/08/14 03:10:53;17,5;
177;16/08/14 06:31:28;17,6;
178;16/08/14 06:33:47;17,7;
179;16/08/14 06:39:10;17,8;
180;16/08/14 06:42:41;17,9;
181;16/08/14 06:46:06;18,0;
182;16/08/14 06:51:19;18,1;
183;16/08/14 10:16:40;18,2;
184;16/08/14 10:28:25;18,3;
185;16/08/14 10:42:18;18,4;
186;16/08/14 20:59:22;18,5;
187;16/08/14 22:13:07;18,6;
188;16/08/14 22:33:35;18,7;
189;16/08/14 23:36:23;18,8;
190;16/08/14 23:44:53;18,9;
191;16/08/14 23:49:09;19,0;
192;16/08/14 23:55:03;19,1;
193;17/08/14 00:04:56;19,2;
194;17/08/14 00:21:28;19,3;
195;17/08/14 01:05:36;19,4;
196;17/08/14 01:13:29;19,5;
197;17/08/14 01:53:19;19,6;
198;17/08/14 02:48:57;19,7;
199;17/08/14 03:06:11;19,8;
200;17/08/14 03:38:50;19,9;
201;17/08/14 06:20:56;20,0;
202;17/08/14 06:21:47;20,1;
203;17/08/14 06:23:37;20,2;
204;17/08/14 06:25:01;20,3;
205;17/08/14 06:28:41;20,4;
206;17/08/14 06:29:55;20,5;
207;17/08/14 07:08:58;20,6;
208;17/08/14 20:39:39;20,7;
209;17/08/14 21:03:35;20,8;
210;17/08/14 21:08:35;20,9;
211;17/08/14 21:11:49;21,0;
212;17/08/14 21:14:47;21,1;
213;17/08/14 21:28:46;21,2;
214;18/08/14 01:28:49;21,3;
215;18/08/14 02:01:04;21,4;
216;18/08/14 02:27:01;21,5;
217;18/08/14 02:32:09;21,6;
218;18/08/14 02:36:58;21,7;
219;18/08/14 02:45:43;21,8;
220;18/08/14 02:53:09;21,9;
221;18/08/14 03:11:55;22,0;
222;18/08/14 03:25:20;22,1;
223;18/08/14 03:44:43;22,2;
224;18/08/14 03:56:08;22,3;
225;18/08/14 04:13:56;22,4;
226;18/08/14 04:35:19;22,5;
227;18/08/14 04:53:04;22,6;
228;18/08/14 05:11:13;22,7;
229;18/08/14 05:21:14;22,8;
230;18/08/14 06:03:51;22,9;
231;18/08/14 08:18:24;23,0;
232;18/08/14 09:24:18;23,1;
233;18/08/14 09:57:52;23,2;
234;18/08/14 10:21:29;23,3;
235;18/08/14 10:40:32;23,4;
236;18/08/14 11:03:15;23,5;
237;18/08/14 11:22:07;23,6;
238;18/08/14 13:23:24;23,7;
239;18/08/14 13:41:10;23,8;
240;18/08/14 15:53:54;23,9;
241;18/08/14 16:26:12;24,0;
242;18/08/14 17:06:02;24,1;
243;18/08/14 17:41:19;24,2;
244;18/08/14 17:45:28;24,3;
245;18/08/14 18:13:59;24,4;
246;18/08/14 18:37:39;24,5;
247;18/08/14 19:42:38;24,6;
248;18/08/14 20:54:16;24,7;
249;18/08/14 21:22:33;24,8;
250;18/08/14 22:11:37;24,9;
251;18/08/14 23:10:39;25,0;
252;19/08/14 02:10:46;25,1;
253;19/08/14 22:52:16;25,2;
254;19/08/14 23:00:50;25,3;
255;20/08/14 05:39:21;25,4;
256;20/08/14 06:00:18;25,5;
257;20/08/14 06:19:52;25,6;
258;23/08/14 13:52:21;25,7;
259;23/08/14 13:53:55;25,8;
260;23/08/14 14:58:08;25,9;
261;23/08/14 15:04:43;26,0;
262;23/08/14 15:09:03;26,1;
263;23/08/14 15:12:59;26,2;
264;23/08/14 15:16:17;26,3;
265;23/08/14 15:41:30;26,4;
266;25/08/14 12:40:10;26,5;
267;25/08/14 20:29:15;26,6;
268;25/08/14 20:43:16;26,7;
269;25/08/14 20:52:18;26,8;
270;25/08/14 20:58:09;26,9;
271;25/08/14 21:03:22;27,0;
272;25/08/14 21:09:29;27,1;
273;25/08/14 21:15:43;27,2;
274;25/08/14 21:23:46;27,3;
275;25/08/14 21:32:02;27,4;
276;25/08/14 21:51:33;27,5;
277;25/08/14 23:27:52;27,6;
278;26/08/14 00:44:17;27,7;
279;26/08/14 14:23:32;27,8;
280;26/08/14 14:27:53;27,9;
281;26/08/14 14:33:56;28,0;
282;26/08/14 14:38:26;28,1;
283;26/08/14 14:43:12;28,2;
284;26/08/14 14:47:54;28,3;
285;26/08/14 14:51:48;28,4;
286;26/08/14 14:55:08;28,5;
287;26/08/14 14:59:11;28,6;
288;26/08/14 15:01:43;28,7;
289;26/08/14 15:03:57;28,8;
290;26/08/14 15:05:49;28,9;
291;26/08/14 15:08:04;29,0;
292;26/08/14 15:10:05;29,1;
293;26/08/14 15:13:58;29,2;
294;26/08/14 15:16:36;29,3;
295;26/08/14 15:19:32;29,4;
296;26/08/14 15:21:11;29,5;
297;26/08/14 15:23:10;29,6;
298;26/08/14 15:24:59;29,7;
299;26/08/14 15:27:19;29,8;
300;26/08/14 15:30:53;29,9;
301;26/08/14 15:34:08;30,0;
302;26/08/14 15:37:05;30,1;
303;26/08/14 15:41:24;30,2;
304;26/08/14 15:45:29;30,3;
305;26/08/14 15:51:44;30,4;
306;26/08/14 15:59:18;30,5;
307;26/08/14 16:06:14;30,6;
308;26/08/14 16:11:46;30,7;
309;26/08/14 19:19:50;30,8;
310;27/08/14 13:28:13;30,9;
311;27/08/14 13:34:31;31,0;
312;27/08/14 13:41:04;31,1;
313;27/08/14 13:44:11;31,2;
314;27/08/14 13:46:26;31,3;
315;27/08/14 13:50:59;31,4;
316;27/08/14 16:25:04;31,5;
317;27/08/14 16:38:55;31,6;
318;28/08/14 19:42:35;31,7;
319;28/08/14 19:50:32;31,8;
320;28/08/14 19:53:54;31,9;
321;28/08/14 20:01:11;32,0;
322;28/08/14 20:11:09;32,1;
323;29/08/14 08:40:25;32,2;
324;29/08/14 08:47:32;32,3;
325;29/08/14 09:18:44;32,4;
326;29/08/14 09:50:47;32,5;
327;29/08/14 13:11:25;32,6;
328;29/08/14 18:38:55;32,7;
329;02/09/14 12:41:41;32,8;
330;02/09/14 17:40:10;32,9;
331;02/09/14 18:03:09;33,0;
332;02/09/14 18:12:31;33,1;
333;02/09/14 18:40:38;33,2;
334;02/09/14 18:52:39;33,3;
335;02/09/14 18:57:36;33,4;
336;02/09/14 19:01:04;33,5;
337;02/09/14 19:04:10;33,6;
338;02/09/14 19:06:41;33,7;
339;02/09/14 19:08:41;33,8;
340;02/09/14 19:12:44;33,9;
341;02/09/14 19:18:34;34,0;
342;02/09/14 19:31:52;34,1;
343;02/09/14 20:13:53;34,2;
344;02/09/14 22:03:30;34,3;
345;07/09/14 04:06:54;34,4;
346;08/09/14 01:12:28;34,5;
347;08/09/14 02:07:42;34,6;
348;08/09/14 02:48:49;34,7;
349;08/09/14 04:02:07;34,8;
350;08/09/14 04:42:26;34,9;
351;08/09/14 05:23:40;35,0;
352;08/09/14 06:32:29;35,1;
353;08/09/14 07:01:32;35,2;
354;08/09/14 08:12:35;35,3;
355;08/09/14 08:19:24;35,4;
356;08/09/14 10:00:36;35,5;
357;08/09/14 10:52:53;35,6;
358;08/09/14 10:59:51;35,7;
359;08/09/14 11:10:51;35,8;
360;08/09/14 11:14:30;35,9;
361;08/09/14 11:27:34;36,0;
362;08/09/14 11:51:49;36,1;
363;08/09/14 12:14:13;36,2;
364;08/09/14 12:19:21;36,3;
365;08/09/14 12:54:23;36,4;
366;09/09/14 03:10:26;36,5;
367;09/09/14 04:15:36;36,6;
368;09/09/14 06:45:33;36,7;
369;09/09/14 06:50:28;36,7;Registrado
