"Título de trazado: JTU_01_PP_11"
"N.º";"Fecha Tiempo, GMT-05:00";"Lluvia, mm (LGR S/N: 10390583, SEN S/N: 10390583)";"Final de archivo (LGR S/N: 10390583)"
1;10/11/14 11:06:59;0,0;
2;10/11/14 11:19:15;0,1;
3;10/11/14 11:27:58;0,2;
4;10/11/14 13:36:21;0,3;
5;10/11/14 13:37:04;0,4;
6;10/11/14 13:37:44;0,5;
7;10/11/14 13:38:50;0,6;
8;10/11/14 13:39:29;0,7;
9;10/11/14 13:40:08;0,8;
10;10/11/14 13:40:55;0,9;
11;10/11/14 13:42:01;1,0;
12;10/11/14 13:44:42;1,1;
13;10/11/14 13:46:29;1,2;
14;10/11/14 13:48:30;1,3;
15;10/11/14 13:54:18;1,4;
16;10/11/14 14:54:37;1,5;
17;10/11/14 14:57:55;1,6;
18;10/11/14 14:58:20;1,7;
19;10/11/14 14:58:41;1,8;
20;10/11/14 14:58:54;1,9;
21;10/11/14 14:59:07;2,0;
22;10/11/14 14:59:21;2,1;
23;10/11/14 14:59:40;2,2;
24;10/11/14 14:59:58;2,3;
25;10/11/14 15:00:19;2,4;
26;10/11/14 15:00:35;2,5;
27;10/11/14 15:01:06;2,6;
28;10/11/14 15:01:37;2,7;
29;10/11/14 15:02:30;2,8;
30;10/11/14 15:03:17;2,9;
31;10/11/14 15:03:57;3,0;
32;10/11/14 15:04:24;3,1;
33;10/11/14 15:05:03;3,2;
34;10/11/14 15:05:34;3,3;
35;10/11/14 15:06:03;3,4;
36;10/11/14 15:06:24;3,5;
37;10/11/14 15:06:49;3,6;
38;10/11/14 15:07:17;3,7;
39;10/11/14 15:08:04;3,8;
40;10/11/14 15:08:47;3,9;
41;10/11/14 15:10:26;4,0;
42;10/11/14 15:11:17;4,1;
43;10/11/14 15:12:19;4,2;
44;10/11/14 15:13:51;4,3;
45;10/11/14 15:15:39;4,4;
46;10/11/14 15:17:13;4,5;
47;10/11/14 15:18:29;4,6;
48;10/11/14 15:19:18;4,7;
49;10/11/14 15:19:58;4,8;
50;10/11/14 15:20:38;4,9;
51;10/11/14 15:21:42;5,0;
52;10/11/14 15:22:44;5,1;
53;10/11/14 15:24:00;5,2;
54;10/11/14 15:25:20;5,3;
55;10/11/14 15:27:21;5,4;
56;10/11/14 15:28:24;5,5;
57;10/11/14 15:29:46;5,6;
58;10/11/14 15:30:57;5,7;
59;10/11/14 15:32:23;5,8;
60;10/11/14 15:33:42;5,9;
61;10/11/14 15:35:15;6,0;
62;10/11/14 15:36:53;6,1;
63;10/11/14 15:38:43;6,2;
64;10/11/14 15:40:20;6,3;
65;10/11/14 15:41:59;6,4;
66;10/11/14 15:43:26;6,5;
67;10/11/14 15:46:27;6,6;
68;10/11/14 16:10:20;6,7;
69;11/11/14 12:45:08;6,8;
70;11/11/14 12:46:01;6,9;
71;11/11/14 12:46:54;7,0;
72;11/11/14 12:47:23;7,1;
73;11/11/14 12:47:48;7,2;
74;11/11/14 12:48:10;7,3;
75;11/11/14 12:48:37;7,4;
76;11/11/14 12:49:02;7,5;
77;11/11/14 12:49:24;7,6;
78;11/11/14 12:49:43;7,7;
79;11/11/14 12:50:00;7,8;
80;11/11/14 12:50:20;7,9;
81;11/11/14 12:50:35;8,0;
82;11/11/14 12:50:51;8,1;
83;11/11/14 12:51:09;8,2;
84;11/11/14 12:51:27;8,3;
85;11/11/14 12:51:48;8,4;
86;11/11/14 12:52:07;8,5;
87;11/11/14 12:52:24;8,6;
88;11/11/14 12:52:38;8,7;
89;11/11/14 12:53:06;8,8;
90;11/11/14 12:53:38;8,9;
91;11/11/14 12:54:11;9,0;
92;11/11/14 12:54:34;9,1;
93;11/11/14 12:55:05;9,2;
94;11/11/14 12:55:34;9,3;
95;11/11/14 12:56:04;9,4;
96;11/11/14 12:56:46;9,5;
97;11/11/14 12:57:27;9,6;
98;11/11/14 12:57:58;9,7;
99;11/11/14 12:58:28;9,8;
100;11/11/14 12:58:58;9,9;
101;11/11/14 12:59:37;10,0;
102;11/11/14 13:00:03;10,1;
103;11/11/14 13:00:32;10,2;
104;11/11/14 13:01:04;10,3;
105;11/11/14 13:01:39;10,4;
106;11/11/14 13:02:06;10,5;
107;11/11/14 13:02:43;10,6;
108;11/11/14 13:03:20;10,7;
109;11/11/14 13:04:59;10,8;
110;11/11/14 13:05:54;10,9;
111;11/11/14 13:07:00;11,0;
112;11/11/14 13:08:30;11,1;
113;11/11/14 13:10:23;11,2;
114;11/11/14 13:11:40;11,3;
115;11/11/14 13:12:36;11,4;
116;11/11/14 13:13:29;11,5;
117;11/11/14 13:14:28;11,6;
118;11/11/14 13:15:21;11,7;
119;11/11/14 13:16:27;11,8;
120;11/11/14 13:17:48;11,9;
121;11/11/14 13:18:59;12,0;
122;11/11/14 13:20:03;12,1;
123;11/11/14 13:21:13;12,2;
124;11/11/14 13:22:25;12,3;
125;11/11/14 13:23:38;12,4;
126;11/11/14 13:25:09;12,5;
127;11/11/14 13:27:05;12,6;
128;11/11/14 13:28:40;12,7;
129;11/11/14 13:30:10;12,8;
130;11/11/14 13:31:09;12,9;
131;11/11/14 13:32:14;13,0;
132;11/11/14 13:33:17;13,1;
133;11/11/14 13:34:31;13,2;
134;11/11/14 13:35:41;13,3;
135;11/11/14 13:37:24;13,4;
136;11/11/14 13:38:28;13,5;
137;11/11/14 13:39:25;13,6;
138;11/11/14 13:40:19;13,7;
139;11/11/14 13:41:13;13,8;
140;11/11/14 13:41:59;13,9;
141;11/11/14 13:43:09;14,0;
142;11/11/14 13:44:01;14,1;
143;11/11/14 13:44:53;14,2;
144;11/11/14 13:45:49;14,3;
145;11/11/14 13:46:51;14,4;
146;11/11/14 13:48:05;14,5;
147;11/11/14 13:49:22;14,6;
148;11/11/14 13:50:19;14,7;
149;11/11/14 13:51:13;14,8;
150;11/11/14 13:52:05;14,9;
151;11/11/14 13:53:11;15,0;
152;11/11/14 13:54:08;15,1;
153;11/11/14 13:55:16;15,2;
154;11/11/14 13:56:14;15,3;
155;11/11/14 13:57:26;15,4;
156;11/11/14 13:58:42;15,5;
157;11/11/14 14:00:04;15,6;
158;11/11/14 14:00:42;15,7;
159;11/11/14 14:01:25;15,8;
160;11/11/14 14:02:12;15,9;
161;11/11/14 14:03:02;16,0;
162;11/11/14 14:03:54;16,1;
163;11/11/14 14:05:06;16,2;
164;11/11/14 14:06:33;16,3;
165;11/11/14 14:07:43;16,4;
166;11/11/14 14:08:37;16,5;
167;11/11/14 14:09:22;16,6;
168;11/11/14 14:10:10;16,7;
169;11/11/14 14:11:10;16,8;
170;11/11/14 14:12:09;16,9;
171;11/11/14 14:13:21;17,0;
172;11/11/14 14:14:41;17,1;
173;11/11/14 14:16:07;17,2;
174;11/11/14 14:17:12;17,3;
175;11/11/14 14:18:20;17,4;
176;11/11/14 14:19:08;17,5;
177;11/11/14 14:19:59;17,6;
178;11/11/14 14:20:55;17,7;
179;11/11/14 14:22:25;17,8;
180;11/11/14 14:24:57;17,9;
181;11/11/14 14:28:36;18,0;
182;11/11/14 14:31:37;18,1;
183;11/11/14 14:33:36;18,2;
184;11/11/14 14:35:12;18,3;
185;11/11/14 14:37:51;18,4;
186;11/11/14 14:41:38;18,5;
187;11/11/14 14:46:04;18,6;
188;11/11/14 14:53:17;18,7;
189;11/11/14 14:57:49;18,8;
190;11/11/14 14:59:29;18,9;
191;11/11/14 15:01:13;19,0;
192;11/11/14 15:03:16;19,1;
193;11/11/14 15:04:47;19,2;
194;11/11/14 15:05:47;19,3;
195;11/11/14 15:06:38;19,4;
196;11/11/14 15:07:21;19,5;
197;11/11/14 15:08:05;19,6;
198;11/11/14 15:08:38;19,7;
199;11/11/14 15:09:16;19,8;
200;11/11/14 15:09:51;19,9;
201;11/11/14 15:10:46;20,0;
202;11/11/14 15:11:37;20,1;
203;11/11/14 15:12:44;20,2;
204;11/11/14 15:14:41;20,3;
205;11/11/14 15:17:58;20,4;
206;11/11/14 15:20:05;20,5;
207;11/11/14 15:22:53;20,6;
208;11/11/14 15:25:10;20,7;
209;11/11/14 15:27:39;20,8;
210;11/11/14 15:29:25;20,9;
211;11/11/14 15:30:37;21,0;
212;11/11/14 15:31:41;21,1;
213;11/11/14 15:33:03;21,2;
214;11/11/14 15:34:14;21,3;
215;11/11/14 15:35:29;21,4;
216;11/11/14 15:36:58;21,5;
217;11/11/14 15:38:55;21,6;
218;11/11/14 15:40:37;21,7;
219;11/11/14 15:42:25;21,8;
220;11/11/14 15:46:50;21,9;
221;11/11/14 16:13:52;22,0;
222;11/11/14 17:00:30;22,1;
223;11/11/14 17:19:17;22,2;
224;11/11/14 17:27:08;22,3;
225;11/11/14 17:31:33;22,4;
226;11/11/14 17:36:40;22,5;
227;11/11/14 17:39:49;22,6;
228;11/11/14 17:42:30;22,7;
229;11/11/14 17:44:42;22,8;
230;11/11/14 17:48:32;22,9;
231;11/11/14 17:58:11;23,0;
232;11/11/14 17:59:42;23,1;
233;11/11/14 18:02:10;23,2;
234;11/11/14 18:06:05;23,3;
235;11/11/14 18:17:03;23,4;
236;11/11/14 18:29:38;23,5;
237;12/11/14 04:54:11;23,6;
238;12/11/14 06:50:42;23,7;
239;12/11/14 16:37:03;23,8;
240;12/11/14 16:39:07;23,9;
241;12/11/14 16:41:09;24,0;
242;12/11/14 16:43:36;24,1;
243;12/11/14 16:45:41;24,2;
244;12/11/14 16:47:14;24,3;
245;12/11/14 16:50:36;24,4;
246;12/11/14 16:53:27;24,5;
247;12/11/14 17:06:57;24,6;
248;12/11/14 17:15:03;24,7;
249;12/11/14 18:45:06;24,8;
250;12/11/14 18:49:31;24,9;
251;12/11/14 18:53:30;25,0;
252;12/11/14 19:23:45;25,1;
253;12/11/14 19:32:25;25,2;
254;12/11/14 19:34:23;25,3;
255;12/11/14 19:55:02;25,4;
256;13/11/14 16:35:39;25,5;
257;16/11/14 02:09:12;25,6;
258;16/11/14 02:19:04;25,7;
259;16/11/14 03:16:19;25,8;
260;16/11/14 11:13:05;25,9;
261;16/11/14 11:22:44;26,0;
262;16/11/14 11:24:51;26,1;
263;16/11/14 14:16:51;26,2;
264;16/11/14 14:19:37;26,3;
265;16/11/14 14:22:36;26,4;
266;16/11/14 14:30:54;26,5;
267;16/11/14 15:08:14;26,6;
268;18/11/14 14:42:33;26,7;
269;18/11/14 14:45:38;26,8;
270;18/11/14 14:47:52;26,9;
271;18/11/14 14:50:29;27,0;
272;18/11/14 14:55:49;27,1;
273;18/11/14 15:01:03;27,2;
274;18/11/14 15:02:44;27,3;
275;18/11/14 15:03:36;27,4;
276;18/11/14 15:04:19;27,5;
277;18/11/14 15:05:17;27,6;
278;18/11/14 15:05:57;27,7;
279;18/11/14 15:07:38;27,8;
280;18/11/14 15:09:39;27,9;
281;18/11/14 15:12:34;28,0;
282;18/11/14 15:14:09;28,1;
283;18/11/14 15:18:10;28,2;
284;18/11/14 15:20:29;28,3;
285;18/11/14 15:22:23;28,4;
286;18/11/14 15:24:53;28,5;
287;18/11/14 15:26:23;28,6;
288;18/11/14 15:27:01;28,7;
289;18/11/14 15:28:07;28,8;
290;18/11/14 15:28:43;28,9;
291;18/11/14 15:29:15;29,0;
292;18/11/14 15:29:50;29,1;
293;18/11/14 15:30:31;29,2;
294;18/11/14 15:30:51;29,3;
295;18/11/14 15:31:10;29,4;
