"Título de trazado: JTU_01_PT_63 D 2013-12-01"
"N.º","Fecha Tiempo, GMT-05:00","Evento, mm (LGR S/N: 10390582, SEN S/N: 10390582)","Final de archivo (LGR S/N: 10390582)"
163,02/12/13 15:30:34,16.2,
164,02/12/13 15:32:36,16.3,
165,02/12/13 15:38:58,16.4,
166,02/12/13 15:45:53,16.5,
167,02/12/13 15:52:32,16.6,
168,02/12/13 16:08:32,16.7,
169,02/12/13 16:18:39,16.8,
170,02/12/13 16:21:42,16.9,
171,02/12/13 16:25:15,17.0,
172,02/12/13 16:28:41,17.1,
173,02/12/13 16:30:55,17.2,
174,02/12/13 16:35:50,17.3,
175,03/12/13 04:20:10,17.4,
176,03/12/13 04:36:21,17.5,
177,03/12/13 04:59:35,17.6,
178,03/12/13 05:09:27,17.7,
179,03/12/13 05:15:21,17.8,
180,03/12/13 05:27:16,17.9,
181,03/12/13 05:38:41,18.0,
182,03/12/13 05:48:29,18.1,
183,03/12/13 06:05:03,18.2,
184,03/12/13 06:12:20,18.3,
185,03/12/13 06:18:20,18.4,
186,03/12/13 06:21:09,18.5,
187,03/12/13 06:23:02,18.6,
188,03/12/13 06:24:31,18.7,
189,03/12/13 06:25:40,18.8,
190,03/12/13 06:27:32,18.9,
191,03/12/13 06:29:20,19.0,
192,03/12/13 06:31:49,19.1,
193,03/12/13 06:35:34,19.2,
194,03/12/13 06:42:02,19.3,
195,03/12/13 06:45:12,19.4,
196,03/12/13 06:48:50,19.5,
197,03/12/13 09:21:00,19.6,
198,03/12/13 09:38:23,19.7,
199,03/12/13 09:56:20,19.8,
200,03/12/13 10:04:50,19.9,
201,03/12/13 10:10:15,20.0,
202,03/12/13 10:27:03,20.1,
203,04/12/13 01:00:07,20.2,
204,04/12/13 01:04:21,20.3,
205,04/12/13 01:09:19,20.4,
206,04/12/13 01:11:34,20.5,
207,04/12/13 01:13:20,20.6,
208,04/12/13 01:15:38,20.7,
209,04/12/13 01:18:58,20.8,
210,04/12/13 01:26:02,20.9,
211,04/12/13 01:44:34,21.0,
212,04/12/13 02:14:34,21.1,
213,04/12/13 06:31:17,21.2,
214,04/12/13 07:44:45,21.3,
215,04/12/13 07:52:32,21.4,
216,04/12/13 08:06:57,21.5,
217,04/12/13 08:24:18,21.6,
218,04/12/13 09:11:09,21.7,
219,04/12/13 20:07:12,21.8,
220,05/12/13 00:05:57,21.9,
221,05/12/13 00:35:35,22.0,
222,05/12/13 01:31:39,22.1,
223,05/12/13 12:52:10,22.2,
224,05/12/13 12:56:59,22.3,
225,05/12/13 12:57:41,22.4,
226,05/12/13 12:58:57,22.5,
227,05/12/13 12:59:33,22.6,
228,05/12/13 13:00:17,22.7,
229,05/12/13 13:01:21,22.8,
230,05/12/13 13:40:59,22.9,
231,05/12/13 14:26:23,23.0,
232,05/12/13 15:04:39,23.1,
233,05/12/13 15:13:32,23.2,
234,05/12/13 15:24:38,23.3,
235,05/12/13 15:27:12,23.4,
236,05/12/13 15:28:48,23.5,
237,05/12/13 15:30:09,23.6,
238,05/12/13 15:31:21,23.7,
239,05/12/13 15:32:23,23.8,
240,05/12/13 15:33:18,23.9,
241,05/12/13 15:33:58,24.0,
242,05/12/13 15:34:52,24.1,
243,05/12/13 15:35:28,24.2,
244,05/12/13 15:36:04,24.3,
245,05/12/13 15:36:45,24.4,
246,05/12/13 15:37:23,24.5,
247,05/12/13 15:38:16,24.6,
248,05/12/13 15:39:10,24.7,
249,05/12/13 15:40:20,24.8,
250,05/12/13 15:41:13,24.9,
251,05/12/13 15:42:10,25.0,
252,05/12/13 15:42:56,25.1,
253,05/12/13 15:44:19,25.2,
254,05/12/13 15:45:15,25.3,
255,05/12/13 15:45:48,25.4,
256,05/12/13 15:46:27,25.5,
257,05/12/13 15:46:52,25.6,
258,05/12/13 15:47:15,25.7,
259,05/12/13 15:47:33,25.8,
260,05/12/13 15:47:51,25.9,
261,05/12/13 15:48:09,26.0,
262,05/12/13 15:48:27,26.1,
263,05/12/13 15:48:54,26.2,
264,05/12/13 15:49:23,26.3,
265,05/12/13 15:49:53,26.4,
266,05/12/13 15:50:21,26.5,
267,05/12/13 15:50:53,26.6,
268,05/12/13 15:51:22,26.7,
269,05/12/13 15:51:49,26.8,
270,05/12/13 15:52:14,26.9,
271,05/12/13 15:52:43,27.0,
272,05/12/13 15:53:13,27.1,
273,05/12/13 15:53:45,27.2,
274,05/12/13 15:54:19,27.3,
275,05/12/13 15:55:00,27.4,
276,05/12/13 15:55:44,27.5,
277,05/12/13 15:56:27,27.6,
278,05/12/13 15:57:15,27.7,
279,05/12/13 15:57:41,27.8,
280,05/12/13 15:58:05,27.9,
281,05/12/13 15:58:31,28.0,
282,05/12/13 15:59:12,28.1,
283,05/12/13 15:59:53,28.2,
284,05/12/13 16:00:28,28.3,
285,05/12/13 16:01:20,28.4,
286,05/12/13 16:02:49,28.5,
