"Título de trazado: JTU_01_PT_83"
"N.º","Fecha Tiempo, GMT-05:00","Ext. Line Event, mm (LGR S/N: 2412759, SEN S/N: 2412759)","Final de archivo (LGR S/N: 2412759)"
1,10/02/15 08:56:40,0.0,
2,10/02/15 14:55:06,0.1,
3,10/02/15 14:58:11,0.2,
4,10/02/15 14:58:51,0.3,
5,10/02/15 14:59:13,0.4,
6,10/02/15 14:59:37,0.5,
7,10/02/15 14:59:59,0.6,
8,10/02/15 15:00:38,0.7,
9,10/02/15 15:01:19,0.8,
10,10/02/15 15:01:56,0.9,
11,10/02/15 15:02:41,1.0,
12,10/02/15 15:03:07,1.1,
13,10/02/15 15:03:42,1.2,
14,10/02/15 15:04:12,1.3,
15,10/02/15 15:05:31,1.4,
16,10/02/15 15:07:21,1.5,
17,10/02/15 15:08:45,1.6,
18,10/02/15 15:10:21,1.7,
19,10/02/15 15:11:41,1.8,
20,10/02/15 15:12:43,1.9,
21,10/02/15 15:13:39,2.0,
22,10/02/15 15:14:38,2.1,
23,10/02/15 15:15:57,2.2,
24,10/02/15 15:17:06,2.3,
25,10/02/15 15:18:08,2.4,
26,10/02/15 15:19:29,2.5,
27,10/02/15 15:21:27,2.6,
28,10/02/15 15:23:51,2.7,
29,10/02/15 15:26:22,2.8,
30,10/02/15 21:00:41,2.9,
31,10/02/15 21:14:48,3.0,
32,10/02/15 21:19:19,3.1,
33,10/02/15 21:34:46,3.2,
34,11/02/15 06:47:20,3.3,
35,13/02/15 06:11:03,3.4,
36,13/02/15 15:32:12,3.5,
37,13/02/15 16:28:27,3.6,
38,13/02/15 17:15:48,3.7,
39,13/02/15 18:26:40,3.8,
40,13/02/15 20:30:04,3.9,
41,13/02/15 22:20:57,4.0,
42,14/02/15 14:11:14,4.1,
43,14/02/15 14:12:28,4.2,
44,14/02/15 14:14:41,4.3,
45,14/02/15 14:15:31,4.4,
46,14/02/15 14:16:07,4.5,
47,14/02/15 14:16:39,4.6,
48,14/02/15 14:17:12,4.7,
49,14/02/15 14:18:21,4.8,
50,14/02/15 14:19:27,4.9,
51,14/02/15 14:21:37,5.0,
52,14/02/15 14:24:19,5.1,
53,14/02/15 14:26:59,5.2,
54,14/02/15 14:32:11,5.3,
55,14/02/15 14:34:19,5.4,
56,14/02/15 14:36:46,5.5,
57,14/02/15 14:38:31,5.6,
58,14/02/15 14:40:18,5.7,
59,14/02/15 14:43:11,5.8,
60,14/02/15 14:44:21,5.9,
61,14/02/15 14:46:10,6.0,
62,14/02/15 14:47:37,6.1,
63,14/02/15 14:48:39,6.2,
64,14/02/15 14:49:26,6.3,
65,14/02/15 14:50:11,6.4,
66,14/02/15 14:51:43,6.5,
67,14/02/15 14:53:45,6.6,
68,14/02/15 14:55:38,6.7,
69,14/02/15 14:58:27,6.8,
70,14/02/15 15:00:02,6.9,
71,14/02/15 15:01:34,7.0,
72,14/02/15 15:02:55,7.1,
73,14/02/15 15:04:33,7.2,
74,14/02/15 15:06:36,7.3,
75,14/02/15 15:09:57,7.4,
76,15/02/15 09:27:49,7.5,
77,16/02/15 01:12:52,7.6,
78,16/02/15 01:16:39,7.7,
79,16/02/15 01:20:02,7.8,
80,16/02/15 01:23:39,7.9,
81,16/02/15 01:25:57,8.0,
82,16/02/15 01:28:04,8.1,
83,16/02/15 01:32:20,8.2,
84,16/02/15 01:35:22,8.3,
85,16/02/15 01:40:05,8.4,
86,18/02/15 03:02:52,8.5,
87,19/02/15 05:29:43,8.6,
88,19/02/15 12:32:27,8.7,
89,19/02/15 12:36:20,8.8,
90,19/02/15 12:43:52,8.9,
91,19/02/15 13:04:11,9.0,
92,19/02/15 13:11:13,9.1,
93,19/02/15 13:17:35,9.2,
94,19/02/15 20:04:00,9.3,
95,19/02/15 20:56:13,9.4,
96,20/02/15 05:06:23,9.5,
97,20/02/15 05:23:12,9.6,
98,20/02/15 05:26:29,9.7,
99,20/02/15 05:34:38,9.8,
100,20/02/15 06:06:48,9.9,
101,23/02/15 16:24:00,10.0,
102,23/02/15 16:26:52,10.1,
103,23/02/15 16:31:53,10.2,
104,24/02/15 16:59:50,10.3,
105,24/02/15 17:01:34,10.4,
106,24/02/15 17:02:07,10.5,
107,24/02/15 17:03:00,10.6,
108,24/02/15 17:04:13,10.7,
109,24/02/15 17:05:44,10.8,
110,24/02/15 17:06:48,10.9,
111,24/02/15 17:07:47,11.0,
112,24/02/15 17:09:01,11.1,
113,24/02/15 17:11:23,11.2,
114,24/02/15 17:12:28,11.3,
115,24/02/15 17:13:32,11.4,
116,24/02/15 17:14:19,11.5,
117,24/02/15 17:15:18,11.6,
118,24/02/15 17:16:33,11.7,
119,24/02/15 17:17:58,11.8,
120,24/02/15 17:18:55,11.9,
121,24/02/15 17:20:17,12.0,
122,24/02/15 17:21:25,12.1,
123,24/02/15 17:22:47,12.2,
124,24/02/15 17:23:39,12.3,
125,24/02/15 17:25:13,12.4,
126,24/02/15 17:26:27,12.5,
127,24/02/15 17:28:06,12.6,
128,24/02/15 17:29:17,12.7,
129,24/02/15 17:30:13,12.8,
130,24/02/15 17:31:33,12.9,
131,24/02/15 17:32:37,13.0,
132,24/02/15 17:33:52,13.1,
133,24/02/15 17:34:57,13.2,
134,24/02/15 17:35:57,13.3,
135,24/02/15 17:37:02,13.4,
136,24/02/15 17:37:57,13.5,
137,24/02/15 17:39:07,13.6,
138,24/02/15 17:40:21,13.7,
139,24/02/15 17:42:56,13.8,
140,24/02/15 17:43:38,13.9,
141,24/02/15 17:44:42,14.0,
142,24/02/15 17:45:43,14.1,
143,24/02/15 17:47:03,14.2,
144,24/02/15 17:48:23,14.3,
145,24/02/15 17:49:12,14.4,
146,24/02/15 17:50:05,14.5,
147,24/02/15 17:50:57,14.6,
148,24/02/15 17:52:23,14.7,
149,24/02/15 17:53:56,14.8,
150,24/02/15 17:55:55,14.9,
151,24/02/15 17:58:29,15.0,
152,24/02/15 18:01:36,15.1,
153,24/02/15 18:13:21,15.2,
154,24/02/15 21:05:42,15.3,
155,25/02/15 07:04:26,15.4,
156,27/02/15 14:25:00,15.5,
157,27/02/15 14:29:02,15.6,
158,27/02/15 14:32:11,15.7,
159,27/02/15 14:34:26,15.8,
160,27/02/15 14:35:54,15.9,
161,27/02/15 14:38:14,16.0,
162,27/02/15 14:40:32,16.1,
163,27/02/15 14:41:09,16.2,
164,27/02/15 14:41:36,16.3,
165,27/02/15 14:43:01,16.4,
166,27/02/15 14:44:47,16.5,
167,27/02/15 14:45:53,16.6,
168,27/02/15 14:47:03,16.7,
169,28/02/15 04:09:00,16.8,
170,28/02/15 05:24:57,16.9,
171,28/02/15 06:06:31,17.0,
172,28/02/15 06:19:53,17.1,
173,28/02/15 11:40:47,17.2,
174,02/03/15 07:29:23,17.3,
175,02/03/15 13:35:32,17.4,
176,02/03/15 13:38:22,17.5,
177,02/03/15 13:41:20,17.6,
178,02/03/15 13:45:44,17.7,
179,02/03/15 14:36:52,17.8,
180,02/03/15 14:37:51,17.9,
181,02/03/15 14:39:14,18.0,
182,02/03/15 14:44:02,18.1,
183,02/03/15 14:48:55,18.2,
184,02/03/15 15:05:12,18.3,
185,02/03/15 15:24:02,18.4,
186,02/03/15 15:24:18,18.5,
187,02/03/15 15:24:30,18.6,
188,02/03/15 15:24:41,18.7,
189,02/03/15 15:24:52,18.8,
190,02/03/15 15:25:06,18.9,
191,02/03/15 15:25:17,19.0,
192,02/03/15 15:25:27,19.1,
193,02/03/15 15:25:36,19.2,
194,02/03/15 15:25:47,19.3,
195,02/03/15 15:26:00,19.4,
196,02/03/15 15:26:13,19.5,
197,02/03/15 15:26:30,19.6,
198,02/03/15 15:26:45,19.7,
199,02/03/15 15:27:03,19.8,
200,02/03/15 15:27:19,19.9,
201,02/03/15 15:27:38,20.0,
202,02/03/15 15:27:54,20.1,
203,02/03/15 15:28:12,20.2,
204,02/03/15 15:28:28,20.3,
205,02/03/15 15:28:47,20.4,
206,02/03/15 15:29:10,20.5,
207,02/03/15 15:29:31,20.6,
208,02/03/15 15:30:06,20.7,
209,02/03/15 15:30:53,20.8,
210,02/03/15 15:31:43,20.9,
211,02/03/15 15:32:40,21.0,
212,02/03/15 15:33:14,21.1,
213,02/03/15 15:33:46,21.2,
214,02/03/15 15:34:25,21.3,
215,02/03/15 15:35:22,21.4,
216,02/03/15 15:36:51,21.5,
217,02/03/15 15:37:55,21.6,
218,02/03/15 15:38:12,21.7,
219,02/03/15 15:38:43,21.8,
220,02/03/15 15:39:53,21.9,
221,02/03/15 15:40:24,22.0,
222,02/03/15 15:40:40,22.1,
223,02/03/15 15:41:07,22.2,
224,02/03/15 15:41:33,22.3,
225,02/03/15 15:41:52,22.4,
226,02/03/15 15:42:05,22.5,
227,02/03/15 15:42:20,22.6,
228,02/03/15 15:42:43,22.7,
229,02/03/15 15:43:18,22.8,
230,02/03/15 15:43:43,22.9,
231,02/03/15 15:43:58,23.0,
232,02/03/15 15:44:17,23.1,
233,02/03/15 15:44:35,23.2,
234,02/03/15 15:45:02,23.3,
235,02/03/15 15:50:43,23.4,
236,02/03/15 16:07:14,23.5,
237,02/03/15 16:23:14,23.6,
238,02/03/15 16:33:05,23.7,
239,02/03/15 16:34:59,23.8,
240,02/03/15 16:42:53,23.9,
241,02/03/15 16:50:50,24.0,
242,03/03/15 05:39:52,24.1,
243,04/03/15 16:30:09,24.2,
244,04/03/15 16:42:41,24.3,
245,05/03/15 01:30:21,24.4,
246,05/03/15 06:04:27,24.5,
247,06/03/15 01:50:55,24.6,
248,06/03/15 18:55:29,24.7,
249,06/03/15 20:39:48,24.8,
250,07/03/15 00:58:17,24.9,
251,07/03/15 03:00:07,25.0,
252,08/03/15 05:19:40,25.1,
253,08/03/15 06:53:13,25.2,
254,08/03/15 10:56:49,25.3,
255,08/03/15 23:12:57,25.4,
256,09/03/15 11:28:40,25.5,
257,10/03/15 03:56:49,25.6,
258,11/03/15 06:47:38,25.7,
259,11/03/15 09:55:29,25.7,Registrado
