"Título de trazado: JTU_01_PT_11"
"N.º","Fecha Tiempo, GMT-05:00","Ext. Line Event, mm (LGR S/N: 2412760, SEN S/N: 2412760)","Final de archivo (LGR S/N: 2412760)"
1,10/11/15 14:57:38,0.0,
2,12/11/15 22:47:46,0.1,
3,13/11/15 15:26:27,0.2,
4,13/11/15 15:28:07,0.3,
5,13/11/15 15:30:18,0.4,
6,13/11/15 15:32:13,0.5,
7,13/11/15 15:33:55,0.6,
8,13/11/15 15:36:18,0.7,
9,13/11/15 15:37:57,0.8,
10,13/11/15 15:42:43,0.9,
11,13/11/15 15:47:05,1.0,
12,13/11/15 15:52:26,1.1,
13,13/11/15 15:55:19,1.2,
14,13/11/15 16:11:27,1.3,
15,13/11/15 16:23:48,1.4,
16,14/11/15 17:10:28,1.5,
17,14/11/15 17:16:31,1.6,
18,14/11/15 18:03:29,1.7,
19,14/11/15 22:08:48,1.8,
20,15/11/15 01:15:13,1.9,
21,15/11/15 02:40:09,2.0,
22,15/11/15 11:46:08,2.1,
23,15/11/15 11:51:52,2.2,
24,15/11/15 11:57:26,2.3,
25,15/11/15 12:00:32,2.4,
26,15/11/15 12:02:57,2.5,
27,15/11/15 12:05:50,2.6,
28,15/11/15 12:11:43,2.7,
29,15/11/15 13:47:29,2.8,
30,16/11/15 14:34:14,2.9,
31,16/11/15 14:35:18,3.0,
32,16/11/15 14:36:00,3.1,
33,16/11/15 14:36:34,3.2,
34,16/11/15 14:37:29,3.3,
35,16/11/15 14:38:16,3.4,
36,16/11/15 14:39:23,3.5,
37,16/11/15 14:40:17,3.6,
38,16/11/15 14:41:25,3.7,
39,16/11/15 14:42:42,3.8,
40,16/11/15 14:44:53,3.9,
41,16/11/15 14:46:28,4.0,
42,16/11/15 14:48:49,4.1,
43,16/11/15 15:09:53,4.2,
44,16/11/15 15:38:10,4.3,
45,16/11/15 15:45:15,4.4,
46,16/11/15 15:51:43,4.5,
47,16/11/15 15:53:09,4.6,
48,16/11/15 15:57:11,4.7,
49,16/11/15 16:01:49,4.8,
50,16/11/15 16:04:39,4.9,
51,16/11/15 16:06:26,5.0,
52,16/11/15 16:16:55,5.1,
53,16/11/15 16:25:54,5.2,
54,17/11/15 09:39:27,5.3,
55,17/11/15 09:40:28,5.4,
56,17/11/15 09:42:14,5.5,
57,17/11/15 09:43:22,5.6,
58,17/11/15 09:44:45,5.7,
59,17/11/15 09:45:49,5.8,
60,17/11/15 09:46:59,5.9,
61,17/11/15 09:47:45,6.0,
62,17/11/15 09:48:46,6.1,
63,17/11/15 09:49:34,6.2,
64,17/11/15 09:50:30,6.3,
65,17/11/15 09:51:23,6.4,
66,17/11/15 09:52:22,6.5,
67,17/11/15 09:53:01,6.6,
68,17/11/15 09:53:41,6.7,
69,17/11/15 09:54:11,6.8,
70,17/11/15 09:54:48,6.9,
71,17/11/15 09:55:24,7.0,
72,17/11/15 09:55:58,7.1,
73,17/11/15 09:56:23,7.2,
74,17/11/15 09:56:58,7.3,
75,17/11/15 09:57:35,7.4,
76,17/11/15 09:58:08,7.5,
77,17/11/15 09:58:46,7.6,
78,17/11/15 09:59:39,7.7,
79,17/11/15 10:00:20,7.8,
80,17/11/15 10:01:02,7.9,
81,17/11/15 10:01:43,8.0,
82,17/11/15 10:02:26,8.1,
83,17/11/15 10:03:01,8.2,
84,17/11/15 10:03:41,8.3,
85,17/11/15 10:04:23,8.4,
86,17/11/15 10:05:20,8.5,
87,17/11/15 10:06:16,8.6,
88,17/11/15 10:07:04,8.7,
89,17/11/15 10:07:57,8.8,
90,17/11/15 10:08:53,8.9,
91,17/11/15 10:09:43,9.0,
92,17/11/15 10:10:45,9.1,
93,17/11/15 10:11:57,9.2,
94,17/11/15 10:13:17,9.3,
95,17/11/15 10:14:33,9.4,
96,17/11/15 10:15:46,9.5,
97,17/11/15 10:16:53,9.6,
98,17/11/15 10:19:26,9.7,
99,17/11/15 10:20:51,9.8,
100,17/11/15 10:21:45,9.9,
101,17/11/15 10:22:31,10.0,
102,17/11/15 10:23:39,10.1,
103,17/11/15 10:24:52,10.2,
104,17/11/15 10:26:08,10.3,
105,17/11/15 10:28:32,10.4,
106,17/11/15 10:29:51,10.5,
107,17/11/15 10:30:37,10.6,
108,17/11/15 10:31:53,10.7,
109,17/11/15 10:33:02,10.8,
110,17/11/15 10:34:41,10.9,
111,17/11/15 10:35:46,11.0,
112,17/11/15 10:37:04,11.1,
113,17/11/15 10:38:45,11.2,
114,17/11/15 10:42:28,11.3,
115,17/11/15 10:46:34,11.4,
116,17/11/15 13:18:52,11.5,
117,17/11/15 13:24:56,11.6,
118,17/11/15 14:05:22,11.7,
119,17/11/15 14:20:12,11.8,
120,17/11/15 14:23:26,11.9,
121,17/11/15 15:36:32,12.0,
122,17/11/15 15:39:28,12.1,
123,17/11/15 15:40:39,12.2,
124,17/11/15 15:42:18,12.3,
125,17/11/15 15:44:09,12.4,
126,17/11/15 15:46:28,12.5,
127,17/11/15 15:48:35,12.6,
128,17/11/15 15:51:37,12.7,
129,17/11/15 16:06:31,12.8,
130,17/11/15 23:17:31,12.9,
131,17/11/15 23:21:27,13.0,
132,17/11/15 23:35:08,13.1,
133,17/11/15 23:36:48,13.2,
134,17/11/15 23:38:36,13.3,
135,17/11/15 23:41:31,13.4,
136,18/11/15 00:28:00,13.5,
137,21/11/15 15:28:02,13.6,
138,21/11/15 15:29:57,13.7,
139,21/11/15 15:32:12,13.8,
140,21/11/15 15:35:12,13.9,
141,21/11/15 15:42:54,14.0,
142,21/11/15 23:24:50,14.1,
143,21/11/15 23:26:40,14.2,
144,21/11/15 23:28:12,14.3,
145,21/11/15 23:29:39,14.4,
146,21/11/15 23:30:45,14.5,
147,21/11/15 23:31:42,14.6,
148,21/11/15 23:33:37,14.7,
149,21/11/15 23:40:28,14.8,
150,22/11/15 00:18:29,14.9,
