"Título de trazado: JTU_01_PP_11"
"N.º","Fecha Tiempo, GMT-05:00","Lluvia, mm (LGR S/N: 10390583, SEN S/N: 10390583)","Final de archivo (LGR S/N: 10390583)"
1,10/02/15 10:40:11,0.0,
2,10/02/15 14:29:32,0.1,
3,10/02/15 14:30:01,0.2,
4,10/02/15 14:30:19,0.3,
5,10/02/15 14:30:32,0.4,
6,10/02/15 14:30:42,0.5,
7,10/02/15 14:30:51,0.6,
8,10/02/15 14:30:57,0.7,
9,10/02/15 14:31:05,0.8,
10,10/02/15 14:31:13,0.9,
11,10/02/15 14:31:22,1.0,
12,10/02/15 14:31:31,1.1,
13,10/02/15 14:31:43,1.2,
14,10/02/15 14:31:54,1.3,
15,10/02/15 14:32:06,1.4,
16,10/02/15 14:32:18,1.5,
17,10/02/15 14:32:30,1.6,
18,10/02/15 14:32:38,1.7,
19,10/02/15 14:32:47,1.8,
20,10/02/15 14:32:55,1.9,
21,10/02/15 14:33:07,2.0,
22,10/02/15 14:33:33,2.1,
23,10/02/15 14:34:21,2.2,
24,10/02/15 14:34:45,2.3,
25,10/02/15 14:35:14,2.4,
26,10/02/15 14:35:46,2.5,
27,10/02/15 14:36:42,2.6,
28,10/02/15 14:38:56,2.7,
29,10/02/15 14:42:04,2.8,
30,10/02/15 14:43:45,2.9,
31,10/02/15 14:44:29,3.0,
32,10/02/15 14:45:03,3.1,
33,10/02/15 14:45:40,3.2,
34,10/02/15 14:46:11,3.3,
35,10/02/15 14:46:45,3.4,
36,10/02/15 14:47:12,3.5,
37,10/02/15 14:47:52,3.6,
38,10/02/15 14:48:26,3.7,
39,10/02/15 14:49:16,3.8,
40,10/02/15 14:50:00,3.9,
41,10/02/15 14:51:23,4.0,
42,10/02/15 14:53:36,4.1,
43,10/02/15 14:57:01,4.2,
44,10/02/15 15:00:51,4.3,
45,10/02/15 15:06:32,4.4,
46,10/02/15 15:20:30,4.5,
47,10/02/15 19:24:29,4.6,
48,10/02/15 19:27:08,4.7,
49,10/02/15 19:29:54,4.8,
50,10/02/15 19:46:42,4.9,
51,14/02/15 14:34:47,5.0,
52,14/02/15 14:36:59,5.1,
53,14/02/15 14:39:12,5.2,
54,14/02/15 14:41:34,5.3,
55,14/02/15 14:44:50,5.4,
56,14/02/15 14:52:59,5.5,
57,14/02/15 15:09:05,5.6,
58,14/02/15 15:15:41,5.7,
59,14/02/15 15:16:27,5.8,
60,14/02/15 15:17:16,5.9,
61,14/02/15 15:18:57,6.0,
62,15/02/15 13:14:57,6.1,
63,15/02/15 13:17:36,6.2,
64,15/02/15 13:18:41,6.3,
65,15/02/15 13:20:47,6.4,
66,15/02/15 13:21:41,6.5,
67,16/02/15 01:15:26,6.6,
68,16/02/15 01:19:35,6.7,
69,16/02/15 01:30:27,6.8,
70,16/02/15 01:39:48,6.9,
71,19/02/15 19:24:00,7.0,
72,19/02/15 19:26:39,7.1,
73,19/02/15 19:30:18,7.2,
74,19/02/15 21:44:17,7.3,
75,19/02/15 22:01:19,7.4,
76,19/02/15 23:29:22,7.5,
77,20/02/15 04:57:37,7.6,
78,20/02/15 05:36:57,7.7,
79,23/02/15 14:02:07,7.8,
80,23/02/15 14:03:11,7.9,
81,23/02/15 14:04:30,8.0,
82,23/02/15 14:06:08,8.1,
83,23/02/15 14:09:11,8.2,
84,23/02/15 14:12:08,8.3,
85,23/02/15 14:16:43,8.4,
86,23/02/15 14:17:37,8.5,
87,23/02/15 14:18:39,8.6,
88,23/02/15 14:19:25,8.7,
89,23/02/15 14:20:15,8.8,
90,23/02/15 14:21:28,8.9,
91,23/02/15 14:46:55,9.0,
92,23/02/15 14:47:52,9.1,
93,23/02/15 14:48:46,9.2,
94,23/02/15 14:49:20,9.3,
95,23/02/15 14:50:07,9.4,
96,23/02/15 14:51:04,9.5,
