"Título de trazado: JTU_01_PT_22"
"N.º";"Fecha Tiempo, GMT-05:00";"Event, mm (LGR S/N: 10390585, SEN S/N: 10390585)";"Final de archivo (LGR S/N: 10390585)"
1;13/08/15 14:58:09;0.0;
2;14/08/15 02:29:33;0.1;
3;14/08/15 02:36:42;0.2;
4;14/08/15 02:43:41;0.3;
5;14/08/15 02:51:47;0.4;
6;14/08/15 03:06:20;0.5;
7;14/08/15 03:15:38;0.6;
8;14/08/15 03:40:20;0.7;
9;14/08/15 04:11:15;0.8;
10;14/08/15 04:20:04;0.9;
11;14/08/15 04:28:11;1.0;
12;14/08/15 04:41:55;1.1;
13;14/08/15 04:53:16;1.2;
14;14/08/15 05:02:39;1.3;
15;14/08/15 05:07:49;1.4;
16;14/08/15 05:13:53;1.5;
17;14/08/15 05:17:57;1.6;
18;14/08/15 05:22:34;1.7;
19;14/08/15 05:23:58;1.8;
20;14/08/15 05:25:31;1.9;
21;14/08/15 05:27:01;2.0;
22;14/08/15 05:28:43;2.1;
23;14/08/15 05:29:51;2.2;
24;14/08/15 05:31:20;2.3;
25;14/08/15 05:32:13;2.4;
26;14/08/15 05:33:25;2.5;
27;14/08/15 05:34:34;2.6;
28;14/08/15 05:35:58;2.7;
29;14/08/15 05:37:16;2.8;
30;14/08/15 05:38:31;2.9;
31;14/08/15 05:39:36;3.0;
32;14/08/15 05:41:24;3.1;
33;14/08/15 05:49:45;3.2;
34;14/08/15 05:58:56;3.3;
35;14/08/15 06:03:45;3.4;
36;14/08/15 06:07:15;3.5;
37;14/08/15 06:13:47;3.6;
38;14/08/15 06:18:12;3.7;
39;14/08/15 06:20:34;3.8;
40;14/08/15 06:23:00;3.9;
41;14/08/15 06:26:11;4.0;
42;14/08/15 06:29:04;4.1;
43;14/08/15 06:34:14;4.2;
44;14/08/15 06:41:11;4.3;
45;14/08/15 06:45:44;4.4;
46;14/08/15 06:47:59;4.5;
47;14/08/15 06:50:49;4.6;
48;14/08/15 06:54:20;4.7;
49;14/08/15 07:05:05;4.8;
50;14/08/15 07:28:48;4.9;
51;14/08/15 07:34:40;5.0;
52;14/08/15 07:37:07;5.1;
53;14/08/15 07:39:03;5.2;
54;14/08/15 07:41:08;5.3;
55;14/08/15 07:43:23;5.4;
56;14/08/15 07:46:31;5.5;
57;14/08/15 07:49:13;5.6;
58;14/08/15 08:02:47;5.7;
59;14/08/15 08:35:06;5.8;
60;14/08/15 09:01:28;5.9;
61;14/08/15 09:12:01;6.0;
62;14/08/15 09:54:46;6.1;
63;14/08/15 10:13:42;6.2;
64;14/08/15 10:49:21;6.3;
65;14/08/15 11:09:17;6.4;
66;14/08/15 11:21:48;6.5;
67;14/08/15 11:50:11;6.6;
68;14/08/15 11:54:49;6.7;
69;14/08/15 11:59:38;6.8;
70;14/08/15 13:25:40;6.9;
71;14/08/15 14:24:14;7.0;
72;14/08/15 15:56:57;7.1;
73;14/08/15 16:25:08;7.2;
74;14/08/15 16:52:43;7.3;
75;14/08/15 16:56:18;7.4;
76;14/08/15 17:15:04;7.5;
77;14/08/15 17:58:38;7.6;
78;14/08/15 19:27:06;7.7;
79;14/08/15 20:11:20;7.8;
80;14/08/15 21:06:47;7.9;
81;15/08/15 00:41:12;8.0;
82;15/08/15 07:08:06;8.1;
83;15/08/15 07:28:56;8.2;
84;15/08/15 08:03:12;8.3;
85;15/08/15 08:16:09;8.4;
86;15/08/15 08:20:50;8.5;
87;15/08/15 08:32:06;8.6;
88;15/08/15 08:38:30;8.7;
89;15/08/15 08:42:55;8.8;
90;15/08/15 08:50:01;8.9;
91;15/08/15 09:08:34;9.0;
92;15/08/15 17:16:12;9.1;
93;15/08/15 20:59:03;9.2;
94;16/08/15 00:42:35;9.3;
95;16/08/15 02:37:59;9.4;
96;16/08/15 13:33:21;9.5;
97;16/08/15 13:50:41;9.6;
98;16/08/15 14:00:54;9.7;
99;16/08/15 14:04:49;9.8;
100;16/08/15 14:19:38;9.9;
101;16/08/15 14:23:18;10.0;
102;16/08/15 14:26:51;10.1;
103;16/08/15 14:30:00;10.2;
104;16/08/15 14:36:47;10.3;
105;16/08/15 14:41:58;10.4;
106;16/08/15 14:56:04;10.5;
107;16/08/15 15:01:21;10.6;
108;16/08/15 15:03:36;10.7;
109;16/08/15 15:05:12;10.8;
110;16/08/15 15:07:59;10.9;
111;16/08/15 15:09:35;11.0;
112;16/08/15 15:11:07;11.1;
113;16/08/15 15:13:07;11.2;
114;16/08/15 15:24:48;11.3;
115;16/08/15 15:26:49;11.4;
116;16/08/15 15:28:36;11.5;
117;16/08/15 15:31:18;11.6;
118;16/08/15 15:34:09;11.7;
119;16/08/15 15:38:59;11.8;
120;16/08/15 15:46:47;11.9;
121;16/08/15 15:56:35;12.0;
122;16/08/15 16:42:27;12.1;
123;16/08/15 17:03:01;12.2;
124;16/08/15 17:28:48;12.3;
125;16/08/15 23:08:38;12.4;
126;17/08/15 00:43:13;12.5;
127;17/08/15 01:11:06;12.6;
128;17/08/15 01:15:42;12.7;
129;17/08/15 01:18:10;12.8;
130;17/08/15 01:22:52;12.9;
131;17/08/15 01:27:33;13.0;
132;17/08/15 01:32:00;13.1;
133;17/08/15 01:37:46;13.2;
134;17/08/15 01:49:07;13.3;
135;17/08/15 02:00:00;13.4;
136;17/08/15 02:12:58;13.5;
137;17/08/15 02:29:40;13.6;
138;17/08/15 02:41:03;13.7;
139;17/08/15 02:53:25;13.8;
140;17/08/15 03:01:20;13.9;
141;17/08/15 03:05:19;14.0;
142;17/08/15 03:13:57;14.1;
143;17/08/15 03:19:40;14.2;
144;17/08/15 03:26:29;14.3;
145;17/08/15 03:28:54;14.4;
