med_fecha;med_hora;med_valor 
22/09/2010;16:44:12;7.945
22/09/2010;16:59:12;7.97
22/09/2010;17:14:12;7.594
22/09/2010;17:29:12;7.268
22/09/2010;17:44:12;7.015
22/09/2010;17:59:12;6.864
22/09/2010;18:14:12;6.661
22/09/2010;18:29:12;6.889
22/09/2010;18:44:12;6.99
22/09/2010;18:59:12;6.914
22/09/2010;19:14:12;6.737
22/09/2010;19:29:12;6.839
22/09/2010;19:44:12;7.368
22/09/2010;19:59:12;6.712
22/09/2010;20:14:12;6.763
22/09/2010;20:29:12;7.091
22/09/2010;20:44:12;6.737
22/09/2010;20:59:12;6.661
22/09/2010;21:14:12;6.408
22/09/2010;21:29:12;6.636
22/09/2010;21:44:12;6.788
22/09/2010;21:59:12;6.484
22/09/2010;22:14:12;6.611
22/09/2010;22:29:12;7.041
22/09/2010;22:44:12;7.142
22/09/2010;22:59:12;6.712
22/09/2010;23:14:12;6.636
22/09/2010;23:29:12;6
22/09/2010;23:44:12;5.796
22/09/2010;23:59:12;6.077
23/09/2010;0:14:12;6.026
23/09/2010;0:29:12;6.102
23/09/2010;0:44:12;5.77
23/09/2010;0:59:12;5.693
23/09/2010;1:14:12;5.128
23/09/2010;1:29:12;5.616
23/09/2010;1:44:12;5.796
23/09/2010;1:59:12;5.385
23/09/2010;2:14:12;5.693
23/09/2010;2:29:12;5.898
23/09/2010;2:44:12;6.281
23/09/2010;2:59:12;6.331
23/09/2010;3:14:12;6.56
23/09/2010;3:29:12;6.585
23/09/2010;3:44:12;6.788
23/09/2010;3:59:12;6.636
23/09/2010;4:14:12;6.281
23/09/2010;4:29:12;6.281
23/09/2010;4:44:12;5.949
23/09/2010;4:59:12;5.898
23/09/2010;5:14:12;5.437
23/09/2010;5:29:12;5.796
23/09/2010;5:44:12;5.539
23/09/2010;5:59:12;5.591
23/09/2010;6:14:12;5.205
23/09/2010;6:29:12;5.257
23/09/2010;6:44:12;5.949
23/09/2010;6:59:12;6.331
23/09/2010;7:14:12;6.611
23/09/2010;7:29:12;6.94
23/09/2010;7:44:12;7.519
23/09/2010;7:59:12;8.369
23/09/2010;8:14:12;8.444
23/09/2010;8:29:12;8.742
23/09/2010;8:44:12;8.866
23/09/2010;8:59:12;9.485
23/09/2010;9:14:12;10.712
23/09/2010;9:29:12;11.029
23/09/2010;9:44:12;11.029
23/09/2010;9:59:12;11.54
23/09/2010;10:14:12;11.151
23/09/2010;10:29:12;11.151
23/09/2010;10:44:12;10.98
23/09/2010;10:59:12;11.807
23/09/2010;11:14:12;10.687
23/09/2010;11:29:12;10.001
23/09/2010;11:44:12;10.638
