"Título de trazado: JTU_01_PT_83"
"N.º","Fecha Tiempo, GMT-05:00","Ext. Line Event, mm (LGR S/N: 2412759, SEN S/N: 2412759)","Final de archivo (LGR S/N: 2412759)"
143,18/03/15 14:01:22,14.2,
144,18/03/15 14:02:35,14.3,
145,18/03/15 14:03:57,14.4,
146,18/03/15 14:05:14,14.5,
147,18/03/15 14:06:37,14.6,
148,18/03/15 14:07:36,14.7,
149,18/03/15 14:09:32,14.8,
150,18/03/15 14:11:34,14.9,
151,18/03/15 14:13:20,15.0,
152,18/03/15 14:17:17,15.1,
153,18/03/15 14:22:44,15.2,
154,18/03/15 14:26:33,15.3,
155,18/03/15 14:30:44,15.4,
156,18/03/15 14:39:52,15.5,
157,18/03/15 14:44:11,15.6,
158,18/03/15 14:47:32,15.7,
159,18/03/15 14:50:48,15.8,
160,18/03/15 14:55:37,15.9,
161,18/03/15 14:58:40,16.0,
162,18/03/15 15:01:16,16.1,
163,18/03/15 15:03:18,16.2,
164,18/03/15 15:05:48,16.3,
165,18/03/15 15:08:34,16.4,
166,18/03/15 15:11:10,16.5,
167,18/03/15 15:14:28,16.6,
168,18/03/15 15:19:24,16.7,
169,18/03/15 15:29:32,16.8,
170,18/03/15 15:37:30,16.9,
171,18/03/15 15:43:39,17.0,
172,18/03/15 15:59:00,17.1,
173,18/03/15 16:04:44,17.2,
174,18/03/15 22:07:33,17.3,
175,19/03/15 01:48:35,17.4,
176,19/03/15 02:35:52,17.5,
177,19/03/15 03:52:06,17.6,
178,19/03/15 11:19:33,17.7,
179,19/03/15 11:27:55,17.8,
180,19/03/15 11:32:47,17.9,
181,19/03/15 11:33:34,18.0,
182,19/03/15 11:34:21,18.1,
183,19/03/15 11:34:54,18.2,
184,19/03/15 11:35:20,18.3,
185,19/03/15 11:35:45,18.4,
186,19/03/15 11:36:15,18.5,
187,19/03/15 11:36:49,18.6,
188,19/03/15 11:37:21,18.7,
189,19/03/15 11:37:49,18.8,
190,19/03/15 11:38:28,18.9,
191,19/03/15 11:39:33,19.0,
192,19/03/15 11:42:10,19.1,
193,19/03/15 11:44:33,19.2,
194,19/03/15 11:46:18,19.3,
195,19/03/15 11:48:15,19.4,
196,19/03/15 11:52:00,19.5,
197,19/03/15 11:55:12,19.6,
198,19/03/15 11:58:47,19.7,
199,19/03/15 12:00:09,19.8,
200,19/03/15 12:01:07,19.9,
201,19/03/15 12:04:00,20.0,
202,19/03/15 12:06:00,20.1,
203,19/03/15 12:08:22,20.2,
204,19/03/15 12:10:24,20.3,
205,19/03/15 12:12:46,20.4,
206,19/03/15 12:17:07,20.5,
207,19/03/15 12:20:00,20.6,
208,19/03/15 12:23:43,20.7,
209,19/03/15 12:28:11,20.8,
210,19/03/15 12:30:18,20.9,
211,19/03/15 12:32:26,21.0,
212,19/03/15 12:34:18,21.1,
213,19/03/15 12:36:23,21.2,
214,19/03/15 12:39:12,21.3,
215,19/03/15 12:42:02,21.4,
216,19/03/15 12:44:27,21.5,
217,19/03/15 12:46:50,21.6,
218,19/03/15 12:48:03,21.7,
219,19/03/15 12:49:01,21.8,
220,19/03/15 12:50:05,21.9,
221,19/03/15 12:52:14,22.0,
222,19/03/15 12:54:46,22.1,
223,19/03/15 13:00:33,22.2,
224,19/03/15 13:05:28,22.3,
225,19/03/15 13:41:33,22.4,
226,19/03/15 13:47:43,22.5,
227,19/03/15 13:49:39,22.6,
228,19/03/15 13:51:39,22.7,
229,19/03/15 13:53:25,22.8,
230,19/03/15 13:54:25,22.9,
231,19/03/15 13:55:43,23.0,
232,19/03/15 13:57:14,23.1,
233,19/03/15 13:58:55,23.2,
234,19/03/15 14:00:43,23.3,
235,19/03/15 14:02:20,23.4,
236,19/03/15 14:04:07,23.5,
237,19/03/15 14:05:39,23.6,
238,19/03/15 14:07:40,23.7,
239,19/03/15 14:09:34,23.8,
240,19/03/15 14:10:55,23.9,
241,19/03/15 14:12:51,24.0,
242,19/03/15 14:14:19,24.1,
243,19/03/15 14:15:52,24.2,
244,19/03/15 14:16:52,24.3,
245,19/03/15 14:17:54,24.4,
246,19/03/15 14:18:55,24.5,
247,19/03/15 14:20:15,24.6,
248,19/03/15 14:21:28,24.7,
249,19/03/15 14:23:07,24.8,
250,19/03/15 14:25:30,24.9,
251,19/03/15 14:27:30,25.0,
252,19/03/15 14:30:21,25.1,
253,19/03/15 14:34:26,25.2,
254,19/03/15 14:37:40,25.3,
255,19/03/15 14:41:35,25.4,
256,19/03/15 14:45:40,25.5,
257,19/03/15 14:54:08,25.6,
258,19/03/15 22:35:34,25.7,
259,19/03/15 22:41:51,25.8,
260,19/03/15 22:47:39,25.9,
261,19/03/15 23:04:26,26.0,
262,19/03/15 23:34:28,26.1,
263,19/03/15 23:42:02,26.2,
264,19/03/15 23:45:58,26.3,
265,19/03/15 23:49:57,26.4,
266,19/03/15 23:55:11,26.5,
267,20/03/15 00:01:55,26.6,
268,20/03/15 00:07:11,26.7,
269,20/03/15 00:10:38,26.8,
270,20/03/15 00:14:08,26.9,
271,20/03/15 00:19:46,27.0,
272,20/03/15 00:25:42,27.1,
273,20/03/15 00:31:03,27.2,
274,20/03/15 00:34:55,27.3,
275,20/03/15 00:39:05,27.4,
276,20/03/15 00:42:27,27.5,
277,20/03/15 00:45:12,27.6,
278,20/03/15 00:49:19,27.7,
279,20/03/15 00:54:35,27.8,
280,20/03/15 00:59:36,27.9,
281,20/03/15 01:05:00,28.0,
282,20/03/15 01:09:13,28.1,
283,20/03/15 01:13:01,28.2,
284,20/03/15 01:15:32,28.3,
285,20/03/15 01:17:27,28.4,
286,20/03/15 01:19:08,28.5,
287,20/03/15 01:20:40,28.6,
288,20/03/15 01:22:18,28.7,
289,20/03/15 01:24:11,28.8,
290,20/03/15 01:26:21,28.9,
291,20/03/15 01:29:02,29.0,
292,20/03/15 01:31:39,29.1,
293,20/03/15 02:06:44,29.2,
294,20/03/15 02:09:08,29.3,
295,20/03/15 02:11:34,29.4,
296,20/03/15 02:14:13,29.5,
297,20/03/15 02:16:26,29.6,
298,20/03/15 02:19:01,29.7,
299,20/03/15 02:21:49,29.8,
300,20/03/15 02:25:27,29.9,
301,20/03/15 02:29:01,30.0,
302,20/03/15 02:33:34,30.1,
303,20/03/15 02:40:38,30.2,
304,20/03/15 02:47:03,30.3,
305,20/03/15 02:56:23,30.4,
306,20/03/15 08:05:24,30.5,
307,20/03/15 08:07:25,30.6,
308,20/03/15 08:09:59,30.7,
309,20/03/15 08:12:25,30.8,
310,20/03/15 08:15:16,30.9,
311,20/03/15 08:18:01,31.0,
312,20/03/15 08:20:41,31.1,
313,20/03/15 08:23:07,31.2,
314,20/03/15 08:25:43,31.3,
315,20/03/15 08:28:23,31.4,
316,20/03/15 08:30:58,31.5,
317,20/03/15 08:33:30,31.6,
318,20/03/15 08:35:57,31.7,
319,20/03/15 08:38:35,31.8,
320,20/03/15 08:41:10,31.9,
321,20/03/15 08:43:37,32.0,
322,20/03/15 08:46:11,32.1,
323,20/03/15 08:48:26,32.2,
324,20/03/15 08:50:49,32.3,
325,20/03/15 08:52:58,32.4,
326,20/03/15 08:55:13,32.5,
327,20/03/15 08:57:08,32.6,
328,20/03/15 08:58:54,32.7,
329,20/03/15 09:00:36,32.8,
330,20/03/15 09:02:25,32.9,
331,20/03/15 09:04:03,33.0,
