Plot Title: Papayacta ,,,,,,,,
#,"Time, GMT-05:00","Temp, °C","Batt, V",Ext. Line Event,Coupler Attached,Coupler Detached,Host Connected,End Of File
1,08/08/2011 13:00,17.855,2.95,0,,,,
2,08/08/2011 13:15,18.711,2.97,,,,,
3,08/08/2011 13:16,,,0.1,,,,
4,08/08/2011 13:30,18.711,2.97,,,,,
5,08/08/2011 13:43,,,0.2,,,,
6,08/08/2011 13:45,20.234,2.95,,,,,
7,08/08/2011 14:00,18.996,2.97,,,,,
8,08/08/2011 14:15,20.901,2.95,,,,,
9,08/08/2011 14:18,,,0.3,,,,
10,08/08/2011 14:30,22.333,2.95,,,,,
11,08/08/2011 14:45,22.142,2.95,,,,,
12,08/08/2011 15:00,23.581,2.97,,,,,
13,08/08/2011 15:15,24.738,2.97,,,,,
14,08/08/2011 15:28,,,0.4,,,,
15,08/08/2011 15:30,15.569,2.95,,,,,
16,08/08/2011 15:45,12.594,2.97,,,,,
17,08/08/2011 16:00,12.497,2.97,,,,,
18,08/08/2011 16:15,12.013,2.95,,,,,
19,08/08/2011 16:30,13.846,2.97,,,,,
20,08/08/2011 16:45,13.365,2.97,,,,,
21,08/08/2011 17:00,12.013,2.95,,,,,
22,08/08/2011 17:15,10.944,2.95,,,,,
23,08/08/2011 17:17,,,0.5,,,,
24,08/08/2011 17:30,9.866,2.95,,,,,
25,08/08/2011 17:45,9.373,2.97,,,,,
26,08/08/2011 18:00,8.978,2.97,,,,,
27,08/08/2011 18:15,9.077,2.97,,,,,
28,08/08/2011 18:30,8.581,2.97,,,,,
29,08/08/2011 18:45,8.481,2.97,,,,,
30,08/08/2011 19:00,8.68,2.97,,,,,
31,08/08/2011 19:15,8.68,2.97,,,,,
32,08/08/2011 19:30,8.481,2.97,,,,,
33,08/08/2011 19:45,8.382,2.97,,,,,
34,08/08/2011 20:00,8.182,2.97,,,,,
35,08/08/2011 20:13,,,0.6,,,,
36,08/08/2011 20:15,8.082,2.97,,,,,
37,08/08/2011 20:30,8.082,2.97,,,,,
38,08/08/2011 20:45,7.882,2.97,,,,,
39,08/08/2011 21:00,7.582,2.95,,,,,
40,08/08/2011 21:15,7.582,2.95,,,,,
41,08/08/2011 21:30,7.782,2.95,,,,,
42,08/08/2011 21:45,7.682,2.95,,,,,
43,08/08/2011 22:00,7.682,2.95,,,,,
44,08/08/2011 22:15,7.682,2.95,,,,,
45,08/08/2011 22:30,7.882,2.97,,,,,
46,08/08/2011 22:45,7.582,2.95,,,,,
47,08/08/2011 23:00,7.582,2.95,,,,,
48,08/08/2011 23:15,7.782,2.97,,,,,
