"Título de trazado: JTU_01_PT_22"
"N.º";"Fecha Tiempo, GMT-05:00";"Event, units (LGR S/N: 10390585, SEN S/N: 10390585)";"Final de archivo (LGR S/N: 10390585)"
1;02/10/15 11:43:56 AM;0.0;
2;02/10/15 02:29:29 PM;0.1;
3;02/10/15 02:30:05 PM;0.2;
4;02/10/15 02:30:46 PM;0.3;
5;02/10/15 02:31:19 PM;0.4;
6;02/10/15 02:32:25 PM;0.5;
7;02/10/15 02:33:19 PM;0.6;
8;02/10/15 02:34:10 PM;0.7;
9;02/10/15 02:34:58 PM;0.8;
10;02/10/15 02:35:41 PM;0.9;
11;02/10/15 02:36:28 PM;1.0;
12;02/10/15 02:38:23 PM;1.1;
13;02/10/15 02:38:54 PM;1.2;
14;02/10/15 02:39:11 PM;1.3;
15;02/10/15 02:40:05 PM;1.4;
16;02/10/15 02:40:50 PM;1.5;
17;02/10/15 02:41:17 PM;1.6;
18;02/10/15 02:41:34 PM;1.7;
19;02/10/15 02:41:44 PM;1.8;
20;02/10/15 02:41:57 PM;1.9;
21;02/10/15 02:42:13 PM;2.0;
22;02/10/15 02:42:29 PM;2.1;
23;02/10/15 02:42:40 PM;2.2;
24;02/10/15 02:42:50 PM;2.3;
25;02/10/15 02:42:59 PM;2.4;
26;02/10/15 02:43:15 PM;2.5;
27;02/10/15 02:43:33 PM;2.6;
28;02/10/15 02:43:56 PM;2.7;
29;02/10/15 02:44:16 PM;2.8;
30;02/10/15 02:44:35 PM;2.9;
31;02/10/15 02:44:51 PM;3.0;
32;02/10/15 02:45:07 PM;3.1;
33;02/10/15 02:45:21 PM;3.2;
34;02/10/15 02:45:35 PM;3.3;
35;02/10/15 02:45:49 PM;3.4;
36;02/10/15 02:46:06 PM;3.5;
37;02/10/15 02:46:23 PM;3.6;
38;02/10/15 02:46:40 PM;3.7;
39;02/10/15 02:46:54 PM;3.8;
40;02/10/15 02:47:08 PM;3.9;
41;02/10/15 02:47:20 PM;4.0;
