"Título de trazado: JTU_01_PT_22"
"N.º";"Fecha Tiempo, GMT-05:00";"Event, units (LGR S/N: 10390585, SEN S/N: 10390585)";"Final de archivo (LGR S/N: 10390585)"
164;20/12/14 15:11:12;16.3;
165;20/12/14 15:11:25;16.4;
166;20/12/14 15:11:37;16.5;
167;20/12/14 15:11:47;16.6;
168;20/12/14 15:11:59;16.7;
169;20/12/14 15:12:08;16.8;
170;20/12/14 15:12:19;16.9;
171;20/12/14 15:12:28;17.0;
172;20/12/14 15:12:39;17.1;
173;20/12/14 15:12:49;17.2;
174;20/12/14 15:13:02;17.3;
175;20/12/14 15:13:15;17.4;
176;20/12/14 15:13:32;17.5;
177;20/12/14 15:13:47;17.6;
178;20/12/14 15:14:06;17.7;
179;20/12/14 15:14:20;17.8;
180;20/12/14 15:14:36;17.9;
181;20/12/14 15:14:51;18.0;
182;20/12/14 15:15:07;18.1;
183;20/12/14 15:15:27;18.2;
184;20/12/14 15:15:50;18.3;
185;20/12/14 15:16:08;18.4;
186;20/12/14 15:16:27;18.5;
187;20/12/14 15:16:40;18.6;
188;20/12/14 15:16:56;18.7;
189;20/12/14 15:17:09;18.8;
190;20/12/14 15:17:24;18.9;
191;20/12/14 15:17:38;19.0;
192;20/12/14 15:17:52;19.1;
193;20/12/14 15:18:04;19.2;
194;20/12/14 15:18:17;19.3;
195;20/12/14 15:18:29;19.4;
196;20/12/14 15:18:44;19.5;
197;20/12/14 15:19:00;19.6;
198;20/12/14 15:19:20;19.7;
199;20/12/14 15:19:37;19.8;
200;20/12/14 15:19:57;19.9;
201;20/12/14 15:20:13;20.0;
202;20/12/14 15:20:33;20.1;
203;20/12/14 15:20:50;20.2;
204;20/12/14 15:21:13;20.3;
205;20/12/14 15:21:37;20.4;
206;20/12/14 15:21:59;20.5;
207;20/12/14 15:22:19;20.6;
208;20/12/14 15:22:42;20.7;
209;20/12/14 15:23:07;20.8;
210;20/12/14 15:23:42;20.9;
211;20/12/14 15:24:21;21.0;
212;20/12/14 15:25:13;21.1;
213;20/12/14 15:25:50;21.2;
214;20/12/14 15:26:34;21.3;
215;20/12/14 15:27:07;21.4;
216;20/12/14 15:27:49;21.5;
217;20/12/14 15:28:20;21.6;
218;20/12/14 15:28:57;21.7;
219;20/12/14 15:29:31;21.8;
220;20/12/14 15:30:08;21.9;
221;20/12/14 15:30:44;22.0;
222;20/12/14 15:31:22;22.1;
223;20/12/14 15:32:00;22.2;
224;20/12/14 15:32:42;22.3;
225;20/12/14 15:33:15;22.4;
226;20/12/14 15:33:56;22.5;
227;20/12/14 15:34:44;22.6;
228;20/12/14 15:35:48;22.7;
229;20/12/14 15:37:48;22.8;
230;20/12/14 15:44:29;22.9;
231;20/12/14 16:56:36;23.0;
232;20/12/14 17:01:38;23.1;
233;20/12/14 17:05:17;23.2;
234;20/12/14 17:09:41;23.3;
235;20/12/14 21:54:22;23.4;
236;21/12/14 15:24:45;23.5;
237;21/12/14 15:28:10;23.6;
238;21/12/14 15:35:56;23.7;
239;21/12/14 15:36:50;23.8;
240;21/12/14 15:37:53;23.9;
241;21/12/14 15:38:36;24.0;
242;21/12/14 15:39:32;24.1;
243;21/12/14 15:40:13;24.2;
244;21/12/14 15:41:12;24.3;
245;21/12/14 15:42:05;24.4;
246;21/12/14 15:43:23;24.5;
247;21/12/14 15:45:23;24.6;
248;21/12/14 16:02:48;24.7;
249;21/12/14 16:37:55;24.8;
250;27/12/14 19:29:55;24.9;
251;27/12/14 20:18:43;25.0;
252;27/12/14 20:21:51;25.1;
253;27/12/14 20:26:48;25.2;
254;27/12/14 22:51:25;25.3;
255;28/12/14 00:12:54;25.4;
256;28/12/14 01:49:12;25.5;
257;28/12/14 01:55:55;25.6;
258;28/12/14 02:00:00;25.7;
259;28/12/14 02:48:29;25.8;
260;28/12/14 03:42:32;25.9;
261;28/12/14 06:12:27;26.0;
262;28/12/14 06:24:22;26.1;
263;28/12/14 07:08:26;26.2;
264;30/12/14 15:37:33;26.3;
265;30/12/14 15:48:25;26.4;
266;31/12/14 06:15:54;26.5;
267;31/12/14 06:41:25;26.6;
268;31/12/14 06:54:31;26.7;
269;31/12/14 07:04:20;26.8;
270;31/12/14 07:10:57;26.9;
271;31/12/14 07:13:50;27.0;
272;31/12/14 07:16:42;27.1;
273;31/12/14 07:28:52;27.2;
274;31/12/14 09:12:54;27.3;
275;31/12/14 15:30:21;27.4;
276;31/12/14 15:36:55;27.5;
277;31/12/14 16:13:56;27.6;
278;08/01/15 20:55:20;27.7;
279;08/01/15 23:20:07;27.8;
280;09/01/15 00:33:52;27.9;
281;09/01/15 03:15:04;28.0;
282;10/01/15 02:05:55;28.1;
283;10/01/15 03:51:28;28.2;
284;10/01/15 07:46:45;28.3;
285;14/01/15 08:56:19;28.3;Registrado
