"Título de trazado: JTU_01_PT_11"
"N.º";"Fecha Tiempo, GMT-05:00";"Event, mm (LGR S/N: 2412760, SEN S/N: 2412760)";"Final de archivo (LGR S/N: 2412760)"
143;18/05/16 08:15:20;14,2;
144;18/05/16 08:27:23;14,3;
145;18/05/16 08:34:50;14,4;
146;18/05/16 08:44:09;14,5;
147;18/05/16 09:00:31;14,6;
148;19/05/16 03:29:20;14,7;
149;20/05/16 06:55:42;14,8;
150;24/05/16 06:36:47;14,9;
151;24/05/16 07:04:46;15,0;
152;24/05/16 07:25:09;15,1;
153;24/05/16 07:50:41;15,2;
154;24/05/16 08:08:15;15,3;
155;24/05/16 08:19:15;15,4;
156;24/05/16 08:28:34;15,5;
157;24/05/16 08:34:13;15,6;
158;24/05/16 08:40:41;15,7;
159;24/05/16 08:52:24;15,8;
160;24/05/16 09:52:07;15,9;
161;24/05/16 13:51:30;16,0;
162;24/05/16 14:17:49;16,1;
163;24/05/16 14:45:37;16,2;
164;24/05/16 14:51:03;16,3;
165;24/05/16 15:00:50;16,4;
166;24/05/16 19:36:46;16,5;
167;24/05/16 20:40:26;16,6;
168;26/05/16 06:35:47;16,7;
169;28/05/16 07:48:47;16,8;
170;28/05/16 08:38:57;16,9;
171;28/05/16 08:44:41;17,0;
172;28/05/16 08:50:03;17,1;
173;28/05/16 08:59:18;17,2;
174;28/05/16 09:06:42;17,3;
175;28/05/16 09:10:05;17,4;
176;28/05/16 09:12:24;17,5;
177;28/05/16 09:15:09;17,6;
178;28/05/16 09:17:23;17,7;
179;28/05/16 09:19:08;17,8;
180;28/05/16 09:20:12;17,9;
181;28/05/16 09:21:50;18,0;
182;28/05/16 09:23:24;18,1;
183;28/05/16 09:25:03;18,2;
184;28/05/16 09:25:43;18,3;
185;28/05/16 09:26:37;18,4;
186;28/05/16 09:28:22;18,5;
187;28/05/16 09:29:57;18,6;
188;28/05/16 09:31:39;18,7;
189;28/05/16 09:33:58;18,8;
190;28/05/16 09:35:42;18,9;
191;28/05/16 09:36:38;19,0;
192;28/05/16 09:37:07;19,1;
193;28/05/16 09:37:41;19,2;
194;28/05/16 09:38:22;19,3;
195;28/05/16 09:39:02;19,4;
196;28/05/16 09:39:48;19,5;
197;28/05/16 09:40:56;19,6;
198;28/05/16 09:41:53;19,7;
199;28/05/16 09:42:54;19,8;
200;28/05/16 09:43:48;19,9;
201;28/05/16 09:45:09;20,0;
202;28/05/16 09:46:25;20,1;
203;28/05/16 09:47:32;20,2;
204;28/05/16 09:48:40;20,3;
205;28/05/16 09:49:47;20,4;
206;28/05/16 09:50:32;20,5;
207;28/05/16 09:51:19;20,6;
208;28/05/16 09:52:15;20,7;
209;28/05/16 09:53:04;20,8;
210;28/05/16 09:53:44;20,9;
211;28/05/16 09:54:31;21,0;
212;28/05/16 09:55:29;21,1;
213;28/05/16 09:56:39;21,2;
214;28/05/16 09:57:56;21,3;
215;28/05/16 09:59:29;21,4;
216;28/05/16 10:01:15;21,5;
217;28/05/16 10:07:23;21,6;
218;28/05/16 10:10:25;21,7;
219;28/05/16 10:11:35;21,8;
220;28/05/16 10:12:32;21,9;
221;28/05/16 10:13:27;22,0;
222;28/05/16 10:14:23;22,1;
223;28/05/16 10:15:32;22,2;
224;28/05/16 10:16:32;22,3;
225;28/05/16 10:17:26;22,4;
226;28/05/16 10:18:03;22,5;
227;28/05/16 10:18:47;22,6;
228;28/05/16 10:19:27;22,7;
229;28/05/16 10:20:11;22,8;
230;28/05/16 10:21:06;22,9;
231;28/05/16 10:21:50;23,0;
232;28/05/16 10:22:35;23,1;
233;28/05/16 10:23:17;23,2;
234;28/05/16 10:23:58;23,3;
235;28/05/16 10:24:37;23,4;
236;28/05/16 10:25:24;23,5;
237;28/05/16 10:26:25;23,6;
238;28/05/16 10:27:31;23,7;
239;28/05/16 10:29:27;23,8;
240;28/05/16 10:32:16;23,9;
241;28/05/16 10:34:44;24,0;
242;28/05/16 10:35:58;24,1;
243;28/05/16 10:38:03;24,2;
244;28/05/16 10:40:07;24,3;
245;28/05/16 10:51:30;24,4;
246;28/05/16 10:54:27;24,5;
247;28/05/16 10:57:04;24,6;
248;28/05/16 11:00:35;24,7;
249;28/05/16 11:01:56;24,8;
250;28/05/16 11:03:29;24,9;
251;28/05/16 11:05:55;25,0;
252;28/05/16 11:07:51;25,1;
253;28/05/16 11:09:42;25,2;
254;28/05/16 11:11:37;25,3;
255;28/05/16 11:13:07;25,4;
256;28/05/16 11:14:20;25,5;
257;28/05/16 11:15:35;25,6;
258;28/05/16 11:16:25;25,7;
259;28/05/16 11:17:13;25,8;
260;28/05/16 11:17:52;25,9;
261;28/05/16 11:18:33;26,0;
262;28/05/16 11:19:20;26,1;
263;28/05/16 11:20:33;26,2;
264;28/05/16 11:21:35;26,3;
265;28/05/16 11:22:56;26,4;
266;28/05/16 11:24:12;26,5;
267;28/05/16 11:25:14;26,6;
268;28/05/16 11:26:25;26,7;
269;28/05/16 11:27:42;26,8;
270;28/05/16 11:29:08;26,9;
271;28/05/16 11:30:27;27,0;
272;28/05/16 11:32:02;27,1;
273;28/05/16 11:35:26;27,2;
274;28/05/16 11:40:17;27,3;
275;28/05/16 11:51:13;27,4;
276;28/05/16 11:53:17;27,5;
277;28/05/16 12:21:31;27,6;
278;28/05/16 12:26:13;27,7;
279;28/05/16 12:32:38;27,8;
280;28/05/16 12:37:22;27,9;
