"Título de trazado: JTU_01_PT_11"
"N.º";"Fecha Tiempo, GMT-05:00";"Event, mm (LGR S/N: 2412760, SEN S/N: 2412760)";"Final de archivo (LGR S/N: 2412760)"
1;11/04/16 12:14:02;0,0;
2;11/04/16 21:25:43;0,1;
3;11/04/16 21:40:06;0,2;
4;12/04/16 01:04:24;0,3;
5;12/04/16 01:11:06;0,4;
6;12/04/16 01:15:14;0,5;
7;12/04/16 01:19:52;0,6;
8;12/04/16 01:49:38;0,7;
9;12/04/16 13:00:26;0,8;
10;12/04/16 13:03:27;0,9;
11;12/04/16 13:05:14;1,0;
12;12/04/16 13:06:05;1,1;
13;12/04/16 13:07:06;1,2;
14;12/04/16 13:08:14;1,3;
15;12/04/16 13:09:22;1,4;
16;12/04/16 13:10:17;1,5;
17;12/04/16 13:11:10;1,6;
18;12/04/16 13:12:26;1,7;
19;12/04/16 13:13:55;1,8;
20;12/04/16 13:15:50;1,9;
21;12/04/16 13:17:29;2,0;
22;12/04/16 13:19:03;2,1;
23;12/04/16 13:20:46;2,2;
24;12/04/16 13:23:25;2,3;
25;12/04/16 13:25:57;2,4;
26;12/04/16 13:27:46;2,5;
27;12/04/16 13:28:55;2,6;
28;12/04/16 13:30:39;2,7;
29;12/04/16 13:32:34;2,8;
30;12/04/16 13:34:43;2,9;
31;12/04/16 13:36:21;3,0;
32;12/04/16 13:39:09;3,1;
33;12/04/16 13:48:59;3,2;
34;12/04/16 20:25:54;3,3;
35;12/04/16 20:26:29;3,4;
36;12/04/16 20:28:12;3,5;
37;12/04/16 20:29:56;3,6;
38;12/04/16 20:32:42;3,7;
39;12/04/16 20:39:59;3,8;
40;12/04/16 21:28:35;3,9;
41;12/04/16 21:44:54;4,0;
42;12/04/16 21:48:50;4,1;
43;12/04/16 21:49:40;4,2;
44;12/04/16 21:50:34;4,3;
45;12/04/16 21:51:18;4,4;
46;12/04/16 21:52:43;4,5;
47;12/04/16 21:54:04;4,6;
48;12/04/16 21:55:16;4,7;
49;12/04/16 21:56:16;4,8;
50;12/04/16 21:57:46;4,9;
51;12/04/16 21:59:14;5,0;
52;12/04/16 22:00:22;5,1;
53;12/04/16 22:01:14;5,2;
54;12/04/16 22:02:18;5,3;
55;12/04/16 22:02:59;5,4;
56;12/04/16 22:03:50;5,5;
57;12/04/16 22:04:23;5,6;
58;12/04/16 22:05:08;5,7;
59;12/04/16 22:05:47;5,8;
60;12/04/16 22:06:41;5,9;
61;12/04/16 22:07:28;6,0;
62;12/04/16 22:08:43;6,1;
63;12/04/16 22:10:18;6,2;
64;12/04/16 22:12:11;6,3;
65;12/04/16 22:13:35;6,4;
66;12/04/16 22:15:44;6,5;
67;12/04/16 22:17:15;6,6;
68;12/04/16 22:19:41;6,7;
69;12/04/16 22:21:56;6,8;
70;12/04/16 22:24:50;6,9;
71;12/04/16 22:26:48;7,0;
72;12/04/16 22:29:49;7,1;
73;12/04/16 22:31:22;7,2;
74;12/04/16 22:33:12;7,3;
75;12/04/16 22:34:43;7,4;
76;12/04/16 22:37:30;7,5;
77;12/04/16 22:40:04;7,6;
78;12/04/16 22:42:41;7,7;
79;12/04/16 22:45:33;7,8;
80;12/04/16 22:52:02;7,9;
81;12/04/16 22:55:25;8,0;
82;12/04/16 22:57:09;8,1;
83;12/04/16 22:58:31;8,2;
84;12/04/16 23:01:46;8,3;
85;12/04/16 23:04:44;8,4;
86;12/04/16 23:09:02;8,5;
87;12/04/16 23:11:56;8,6;
88;12/04/16 23:15:25;8,7;
89;12/04/16 23:19:11;8,8;
90;12/04/16 23:25:32;8,9;
91;12/04/16 23:28:50;9,0;
92;12/04/16 23:32:16;9,1;
93;12/04/16 23:34:01;9,2;
94;12/04/16 23:36:11;9,3;
95;12/04/16 23:38:02;9,4;
96;12/04/16 23:40:01;9,5;
97;12/04/16 23:41:19;9,6;
98;12/04/16 23:43:14;9,7;
99;12/04/16 23:45:11;9,8;
100;12/04/16 23:47:43;9,9;
101;12/04/16 23:51:09;10,0;
102;12/04/16 23:55:54;10,1;
103;13/04/16 00:00:11;10,2;
104;13/04/16 00:04:45;10,3;
105;13/04/16 00:08:29;10,4;
106;13/04/16 00:14:02;10,5;
107;13/04/16 00:19:04;10,6;
108;13/04/16 00:22:42;10,7;
109;13/04/16 00:24:58;10,8;
110;13/04/16 00:27:36;10,9;
111;13/04/16 00:29:36;11,0;
112;13/04/16 00:31:53;11,1;
113;13/04/16 00:33:29;11,2;
114;13/04/16 00:35:26;11,3;
115;13/04/16 00:37:27;11,4;
116;13/04/16 00:39:45;11,5;
117;13/04/16 00:41:33;11,6;
118;13/04/16 00:44:02;11,7;
119;13/04/16 00:46:45;11,8;
120;13/04/16 00:50:28;11,9;
121;13/04/16 00:53:53;12,0;
122;13/04/16 00:58:01;12,1;
123;13/04/16 01:01:17;12,2;
124;13/04/16 01:05:13;12,3;
125;13/04/16 01:08:33;12,4;
126;13/04/16 01:14:09;12,5;
127;13/04/16 01:18:56;12,6;
128;13/04/16 01:31:49;12,7;
129;13/04/16 01:42:14;12,8;
130;13/04/16 01:48:55;12,9;
131;13/04/16 01:58:35;13,0;
132;13/04/16 02:07:53;13,1;
133;13/04/16 02:13:45;13,2;
134;13/04/16 02:18:50;13,3;
135;13/04/16 02:22:09;13,4;
136;13/04/16 02:28:59;13,5;
137;13/04/16 02:33:25;13,6;
138;13/04/16 02:48:25;13,7;
139;13/04/16 02:58:40;13,8;
140;13/04/16 03:09:15;13,9;
141;13/04/16 03:13:23;14,0;
142;13/04/16 03:18:15;14,1;
143;13/04/16 03:21:28;14,2;
144;13/04/16 03:24:58;14,3;
145;13/04/16 03:27:21;14,4;
