"Título de trazado: JTU_01_PT_11"
"N.º","Fecha Tiempo, GMT-05:00","Ext. Line Event, mm (LGR S/N: 2412760, SEN S/N: 2412760)","Final de archivo (LGR S/N: 2412760)"
143,05/01/16 13:49:40,14.2,
144,05/01/16 13:49:55,14.3,
145,05/01/16 13:50:10,14.4,
146,05/01/16 13:50:30,14.5,
147,05/01/16 13:50:41,14.6,
148,05/01/16 13:50:51,14.7,
149,05/01/16 13:50:59,14.8,
150,05/01/16 13:51:07,14.9,
151,05/01/16 13:51:15,15.0,
152,05/01/16 13:51:24,15.1,
153,05/01/16 13:51:30,15.2,
154,05/01/16 13:51:38,15.3,
155,05/01/16 13:51:47,15.4,
156,05/01/16 13:51:55,15.5,
157,05/01/16 13:52:03,15.6,
158,05/01/16 13:52:10,15.7,
159,05/01/16 13:52:18,15.8,
160,05/01/16 13:52:27,15.9,
161,05/01/16 13:52:39,16.0,
162,05/01/16 13:52:53,16.1,
163,05/01/16 13:53:04,16.2,
164,05/01/16 13:53:22,16.3,
165,05/01/16 13:53:32,16.4,
166,05/01/16 13:53:42,16.5,
167,05/01/16 13:53:49,16.6,
168,05/01/16 13:53:56,16.7,
169,05/01/16 13:54:06,16.8,
170,05/01/16 13:54:16,16.9,
171,05/01/16 13:54:27,17.0,
172,05/01/16 13:54:38,17.1,
173,05/01/16 13:54:47,17.2,
174,05/01/16 13:54:56,17.3,
175,05/01/16 13:55:03,17.4,
176,05/01/16 13:55:12,17.5,
177,05/01/16 13:55:22,17.6,
178,05/01/16 13:55:29,17.7,
179,05/01/16 13:55:39,17.8,
180,05/01/16 13:55:47,17.9,
181,05/01/16 13:55:59,18.0,
182,05/01/16 13:56:11,18.1,
183,05/01/16 13:56:25,18.2,
184,05/01/16 13:56:38,18.3,
185,05/01/16 13:56:52,18.4,
186,05/01/16 13:57:00,18.5,
187,05/01/16 13:57:11,18.6,
188,05/01/16 13:57:22,18.7,
189,05/01/16 13:57:32,18.8,
190,05/01/16 13:57:43,18.9,
191,05/01/16 13:57:53,19.0,
192,05/01/16 13:57:59,19.1,
193,05/01/16 13:58:06,19.2,
194,05/01/16 13:58:13,19.3,
195,05/01/16 13:58:21,19.4,
196,05/01/16 13:58:29,19.5,
197,05/01/16 13:58:37,19.6,
198,05/01/16 13:58:43,19.7,
199,05/01/16 13:58:52,19.8,
200,05/01/16 13:59:03,19.9,
201,05/01/16 13:59:14,20.0,
202,05/01/16 13:59:25,20.1,
203,05/01/16 13:59:36,20.2,
204,05/01/16 13:59:47,20.3,
205,05/01/16 14:00:00,20.4,
206,05/01/16 14:00:14,20.5,
207,05/01/16 14:00:36,20.6,
208,05/01/16 14:00:58,20.7,
209,05/01/16 14:01:19,20.8,
210,05/01/16 14:01:35,20.9,
211,05/01/16 14:01:45,21.0,
212,05/01/16 14:01:54,21.1,
213,05/01/16 14:02:03,21.2,
214,05/01/16 14:02:11,21.3,
215,05/01/16 14:02:19,21.4,
216,05/01/16 14:02:28,21.5,
217,05/01/16 14:02:35,21.6,
218,05/01/16 14:02:44,21.7,
219,05/01/16 14:02:53,21.8,
220,05/01/16 14:03:02,21.9,
221,05/01/16 14:03:12,22.0,
222,05/01/16 14:03:19,22.1,
223,05/01/16 14:03:28,22.2,
224,05/01/16 14:03:36,22.3,
225,05/01/16 14:03:44,22.4,
226,05/01/16 14:03:54,22.5,
227,05/01/16 14:04:03,22.6,
228,05/01/16 14:04:11,22.7,
229,05/01/16 14:04:19,22.8,
230,05/01/16 14:04:28,22.9,
231,05/01/16 14:04:37,23.0,
232,05/01/16 14:04:46,23.1,
233,05/01/16 14:04:55,23.2,
234,05/01/16 14:05:03,23.3,
235,05/01/16 14:05:16,23.4,
236,05/01/16 14:05:29,23.5,
237,05/01/16 14:05:40,23.6,
238,05/01/16 14:05:51,23.7,
239,05/01/16 14:06:02,23.8,
240,05/01/16 14:06:15,23.9,
241,05/01/16 14:06:33,24.0,
242,05/01/16 14:06:58,24.1,
243,05/01/16 14:07:40,24.2,
244,05/01/16 14:08:27,24.3,
245,05/01/16 14:09:21,24.4,
246,05/01/16 14:10:03,24.5,
247,05/01/16 14:10:29,24.6,
248,05/01/16 14:10:39,24.7,
249,05/01/16 14:10:48,24.8,
250,05/01/16 14:10:58,24.9,
251,05/01/16 14:11:09,25.0,
252,05/01/16 14:11:17,25.1,
253,05/01/16 14:11:28,25.2,
254,05/01/16 14:11:38,25.3,
255,05/01/16 14:11:52,25.4,
256,05/01/16 14:12:05,25.5,
257,05/01/16 14:12:16,25.6,
258,05/01/16 14:12:25,25.7,
259,05/01/16 14:12:37,25.8,
260,05/01/16 14:12:48,25.9,
261,05/01/16 14:12:58,26.0,
262,05/01/16 14:13:06,26.1,
263,05/01/16 14:13:14,26.2,
264,05/01/16 14:13:22,26.3,
265,05/01/16 14:13:29,26.4,
266,05/01/16 14:13:36,26.5,
267,05/01/16 14:13:43,26.6,
268,05/01/16 14:13:50,26.7,
269,05/01/16 14:13:57,26.8,
270,05/01/16 14:14:02,26.9,
271,05/01/16 14:14:09,27.0,
272,05/01/16 14:14:14,27.1,
273,05/01/16 14:14:19,27.2,
274,05/01/16 14:14:24,27.3,
275,05/01/16 14:14:31,27.4,
276,05/01/16 14:14:37,27.5,
277,05/01/16 14:14:43,27.6,
278,05/01/16 14:14:49,27.7,
279,05/01/16 14:14:55,27.8,
280,05/01/16 14:15:01,27.9,
281,05/01/16 14:15:07,28.0,
282,05/01/16 14:15:14,28.1,
283,05/01/16 14:15:21,28.2,
284,05/01/16 14:15:26,28.3,
285,05/01/16 14:15:34,28.4,
286,05/01/16 14:15:43,28.5,
287,05/01/16 14:15:53,28.6,
288,05/01/16 14:16:00,28.7,
289,05/01/16 14:16:08,28.8,
290,05/01/16 14:16:14,28.9,
291,05/01/16 14:16:20,29.0,
292,05/01/16 14:16:27,29.1,
293,05/01/16 14:16:34,29.2,
294,05/01/16 14:16:42,29.3,
295,05/01/16 14:16:52,29.4,
296,05/01/16 14:17:01,29.5,
297,05/01/16 14:17:12,29.6,
298,05/01/16 14:17:20,29.7,
299,05/01/16 14:17:29,29.8,
300,05/01/16 14:17:37,29.9,
301,05/01/16 14:17:44,30.0,
302,05/01/16 14:17:53,30.1,
303,05/01/16 14:18:02,30.2,
304,05/01/16 14:18:11,30.3,
305,05/01/16 14:18:21,30.4,
306,05/01/16 14:18:30,30.5,
307,05/01/16 14:18:40,30.6,
308,05/01/16 14:18:49,30.7,
309,05/01/16 14:19:03,30.8,
310,05/01/16 14:19:16,30.9,
311,05/01/16 14:19:29,31.0,
312,05/01/16 14:19:42,31.1,
313,05/01/16 14:19:55,31.2,
314,05/01/16 14:20:05,31.3,
315,05/01/16 14:20:15,31.4,
316,05/01/16 14:20:24,31.5,
317,05/01/16 14:20:35,31.6,
318,05/01/16 14:20:42,31.7,
319,05/01/16 14:20:49,31.8,
320,05/01/16 14:20:57,31.9,
321,05/01/16 14:21:07,32.0,
322,05/01/16 14:21:16,32.1,
323,05/01/16 14:21:27,32.2,
324,05/01/16 14:21:38,32.3,
325,05/01/16 14:21:47,32.4,
326,05/01/16 14:21:56,32.5,
327,05/01/16 14:22:06,32.6,
328,05/01/16 14:22:20,32.7,
329,05/01/16 14:22:39,32.8,
330,05/01/16 14:22:57,32.9,
331,05/01/16 14:23:20,33.0,
332,05/01/16 14:23:48,33.1,
333,05/01/16 14:24:17,33.2,
334,05/01/16 14:24:40,33.3,
335,05/01/16 14:25:13,33.4,
336,05/01/16 14:25:44,33.5,
337,05/01/16 14:26:09,33.6,
338,05/01/16 14:26:33,33.7,
339,05/01/16 14:27:00,33.8,
340,05/01/16 14:27:24,33.9,
341,05/01/16 14:27:50,34.0,
342,05/01/16 14:28:15,34.1,
343,05/01/16 14:28:44,34.2,
344,05/01/16 14:29:11,34.3,
345,05/01/16 14:29:41,34.4,
346,05/01/16 14:30:14,34.5,
347,05/01/16 14:31:29,34.6,
348,05/01/16 14:32:57,34.7,
349,05/01/16 14:43:43,34.8,
350,05/01/16 15:00:30,34.9,
351,05/01/16 15:03:04,35.0,
352,05/01/16 15:04:26,35.1,
353,05/01/16 15:05:24,35.2,
354,05/01/16 15:06:05,35.3,
355,05/01/16 15:06:41,35.4,
356,05/01/16 15:07:10,35.5,
357,05/01/16 15:07:53,35.6,
358,05/01/16 15:08:29,35.7,
359,05/01/16 15:08:55,35.8,
360,05/01/16 15:09:18,35.9,
361,05/01/16 15:09:55,36.0,
362,05/01/16 15:10:38,36.1,
363,05/01/16 15:11:21,36.2,
364,05/01/16 15:11:54,36.3,
365,05/01/16 15:12:21,36.4,
366,05/01/16 15:12:45,36.5,
367,05/01/16 15:13:07,36.6,
368,05/01/16 15:13:31,36.7,
369,05/01/16 15:13:56,36.8,
370,05/01/16 15:14:25,36.9,
371,05/01/16 15:15:02,37.0,
372,05/01/16 15:15:40,37.1,
373,05/01/16 15:16:32,37.2,
374,05/01/16 15:17:34,37.3,
375,05/01/16 15:18:48,37.4,
376,05/01/16 15:19:21,37.5,
377,05/01/16 15:19:33,37.6,
378,05/01/16 15:19:43,37.7,
379,05/01/16 15:19:52,37.8,
380,05/01/16 15:20:02,37.9,
381,05/01/16 15:20:18,38.0,
382,05/01/16 15:20:33,38.1,
383,05/01/16 15:20:51,38.2,
384,05/01/16 15:21:04,38.3,
385,05/01/16 15:21:17,38.4,
386,05/01/16 15:21:32,38.5,
387,05/01/16 15:21:42,38.6,
388,05/01/16 15:21:51,38.7,
389,05/01/16 15:22:11,38.8,
390,05/01/16 15:22:28,38.9,
391,05/01/16 15:22:44,39.0,
392,05/01/16 15:22:58,39.1,
393,05/01/16 15:23:15,39.2,
394,05/01/16 15:23:34,39.3,
395,05/01/16 15:24:00,39.4,
396,05/01/16 15:24:22,39.5,
397,05/01/16 15:24:45,39.6,
398,05/01/16 15:25:08,39.7,
399,05/01/16 15:25:32,39.8,
400,05/01/16 15:26:01,39.9,
401,05/01/16 15:26:49,40.0,
402,05/01/16 15:27:30,40.1,
403,05/01/16 15:28:08,40.2,
404,05/01/16 15:28:35,40.3,
405,05/01/16 15:29:17,40.4,
406,05/01/16 15:30:34,40.5,
407,05/01/16 15:35:16,40.6,
408,05/01/16 15:40:36,40.7,
409,05/01/16 15:45:20,40.8,
410,05/01/16 15:52:55,40.9,
411,05/01/16 15:57:52,41.0,
412,05/01/16 16:03:10,41.1,
413,05/01/16 16:05:32,41.2,
414,05/01/16 16:09:21,41.3,
415,06/01/16 22:03:16,41.4,
416,06/01/16 22:11:22,41.5,
417,06/01/16 22:38:04,41.6,
418,06/01/16 22:56:46,41.7,
419,07/01/16 16:20:56,41.8,
420,07/01/16 16:24:38,41.9,
421,07/01/16 16:30:19,42.0,
422,07/01/16 16:38:20,42.1,
423,07/01/16 16:45:25,42.2,
424,07/01/16 16:53:55,42.3,
425,07/01/16 17:18:14,42.4,
426,08/01/16 14:08:01,42.5,
427,08/01/16 14:15:46,42.6,
428,08/01/16 14:18:24,42.7,
429,08/01/16 14:20:36,42.8,
430,08/01/16 14:22:49,42.9,
431,08/01/16 14:30:53,43.0,
432,08/01/16 14:36:18,43.1,
433,08/01/16 14:44:37,43.2,
434,08/01/16 14:47:00,43.3,
435,08/01/16 14:48:36,43.4,
436,08/01/16 14:50:56,43.5,
437,08/01/16 14:59:43,43.6,
438,08/01/16 15:59:33,43.7,
439,08/01/16 16:13:31,43.8,
440,08/01/16 16:15:42,43.9,
441,08/01/16 16:18:42,44.0,
442,08/01/16 16:22:30,44.1,
443,08/01/16 16:25:10,44.2,
444,08/01/16 16:27:15,44.3,
445,08/01/16 16:29:52,44.4,
446,08/01/16 16:31:27,44.5,
447,08/01/16 16:32:33,44.6,
448,08/01/16 16:33:17,44.7,
449,08/01/16 16:33:50,44.8,
