"Título de trazado: JTU_01_PT_22"
"N.º";"Fecha Tiempo, GMT-05:00";"Event, units (LGR S/N: 10390585, SEN S/N: 10390585)";"Final de archivo (LGR S/N: 10390585)"
1;12/03/15 12:26:44;0.0;
2;12/03/15 12:28:13;0.1;
3;12/03/15 12:28:32;0.2;
4;12/03/15 12:29:09;0.3;
5;12/03/15 20:48:20;0.4;
6;12/03/15 21:22:48;0.5;
7;13/03/15 00:18:27;0.6;
8;13/03/15 00:45:29;0.7;
9;13/03/15 00:53:09;0.8;
10;13/03/15 02:40:22;0.9;
11;13/03/15 07:16:28;1.0;
12;13/03/15 11:13:42;1.1;
13;13/03/15 11:31:39;1.2;
14;13/03/15 14:43:39;1.3;
15;13/03/15 14:46:41;1.4;
16;13/03/15 14:50:56;1.5;
17;13/03/15 14:56:08;1.6;
18;13/03/15 15:01:18;1.7;
19;13/03/15 15:17:05;1.8;
20;13/03/15 15:22:51;1.9;
21;13/03/15 15:50:19;2.0;
22;14/03/15 19:07:22;2.1;
23;14/03/15 19:15:32;2.2;
24;14/03/15 19:20:04;2.3;
25;14/03/15 19:27:35;2.4;
26;14/03/15 19:33:17;2.5;
27;15/03/15 09:49:12;2.6;
28;15/03/15 10:42:57;2.7;
29;15/03/15 10:54:21;2.8;
30;15/03/15 10:58:35;2.9;
31;15/03/15 11:14:53;3.0;
32;15/03/15 11:23:05;3.1;
33;15/03/15 14:09:04;3.2;
34;15/03/15 17:23:29;3.3;
35;16/03/15 21:02:05;3.4;
36;16/03/15 21:09:29;3.5;
37;16/03/15 21:33:20;3.6;
38;16/03/15 21:40:51;3.7;
39;16/03/15 21:46:02;3.8;
40;16/03/15 21:49:38;3.9;
41;17/03/15 00:25:49;4.0;
42;17/03/15 16:31:50;4.1;
43;17/03/15 16:35:27;4.2;
44;17/03/15 19:43:01;4.3;
45;17/03/15 19:47:13;4.4;
46;17/03/15 19:51:35;4.5;
47;17/03/15 20:17:11;4.6;
48;17/03/15 23:11:18;4.7;
49;17/03/15 23:15:51;4.8;
50;17/03/15 23:18:30;4.9;
51;18/03/15 00:28:34;5.0;
52;18/03/15 00:34:44;5.1;
53;18/03/15 01:00:22;5.2;
54;18/03/15 03:43:27;5.3;
55;18/03/15 06:49:59;5.4;
56;18/03/15 06:52:13;5.5;
57;18/03/15 06:54:59;5.6;
58;18/03/15 06:56:46;5.7;
59;18/03/15 06:59:27;5.8;
