"Título de trazado: JTU_01_PT_83"
"N.º","Fecha Tiempo, GMT-05:00","Event, mm (LGR S/N: 10390584, SEN S/N: 10390584)","Final de archivo (LGR S/N: 10390584)"
1,13/08/14 12:38:45,0.0,
2,13/08/14 12:49:36,0.1,
3,13/08/14 14:41:35,0.2,
4,13/08/14 15:03:55,0.3,
5,13/08/14 15:24:29,0.4,
6,13/08/14 17:31:09,0.5,
7,15/08/14 07:25:12,0.6,
8,15/08/14 13:18:20,0.7,
9,16/08/14 04:37:17,0.8,
10,16/08/14 05:05:13,0.9,
11,16/08/14 05:37:15,1.0,
12,16/08/14 08:35:28,1.1,
13,18/08/14 04:49:20,1.2,
14,18/08/14 05:32:01,1.3,
15,18/08/14 08:58:48,1.4,
16,18/08/14 20:40:21,1.5,
17,18/08/14 21:58:53,1.6,
18,19/08/14 09:07:56,1.7,
19,19/08/14 09:18:50,1.8,
20,19/08/14 09:18:51,1.9,
21,19/08/14 23:32:53,2.0,
22,20/08/14 08:31:14,2.1,
23,20/08/14 08:35:28,2.2,
24,21/08/14 07:43:36,2.3,
25,22/08/14 07:21:52,2.4,
26,23/08/14 07:24:00,2.5,
27,23/08/14 15:32:13,2.6,
28,23/08/14 15:40:55,2.7,
29,23/08/14 15:54:43,2.8,
30,23/08/14 16:07:48,2.9,
31,23/08/14 16:41:41,3.0,
32,23/08/14 16:43:46,3.1,
33,23/08/14 16:48:15,3.2,
34,23/08/14 17:00:58,3.3,
35,23/08/14 17:32:52,3.4,
36,24/08/14 06:07:25,3.5,
37,24/08/14 07:59:19,3.6,
38,25/08/14 12:43:19,3.7,
39,25/08/14 12:49:13,3.8,
40,25/08/14 12:54:38,3.9,
41,25/08/14 13:11:52,4.0,
42,25/08/14 13:14:21,4.1,
43,25/08/14 13:16:33,4.2,
44,25/08/14 14:21:42,4.3,
45,25/08/14 14:23:57,4.4,
46,25/08/14 14:56:03,4.5,
47,25/08/14 14:59:16,4.6,
48,25/08/14 15:04:25,4.7,
49,25/08/14 15:08:59,4.8,
50,25/08/14 15:11:36,4.9,
51,25/08/14 15:12:58,5.0,
52,25/08/14 15:14:46,5.1,
53,25/08/14 16:09:29,5.2,
54,25/08/14 18:37:16,5.3,
55,26/08/14 10:14:41,5.4,
56,26/08/14 15:29:51,5.5,
57,26/08/14 15:32:12,5.6,
58,26/08/14 15:34:05,5.7,
59,26/08/14 15:35:28,5.8,
60,26/08/14 15:37:11,5.9,
61,26/08/14 15:38:31,6.0,
62,26/08/14 15:40:48,6.1,
63,26/08/14 15:42:51,6.2,
64,26/08/14 16:20:28,6.3,
65,26/08/14 16:29:47,6.4,
66,26/08/14 16:36:42,6.5,
67,26/08/14 16:39:56,6.6,
68,26/08/14 16:44:22,6.7,
69,26/08/14 16:47:44,6.8,
70,26/08/14 16:49:49,6.9,
71,26/08/14 16:51:09,7.0,
72,26/08/14 16:52:44,7.1,
73,26/08/14 16:53:58,7.2,
74,26/08/14 16:59:35,7.3,
75,26/08/14 17:03:23,7.4,
76,26/08/14 17:06:04,7.5,
77,26/08/14 17:08:05,7.6,
78,26/08/14 17:09:41,7.7,
79,26/08/14 17:11:50,7.8,
80,26/08/14 17:14:26,7.9,
81,26/08/14 17:18:09,8.0,
82,26/08/14 17:23:30,8.1,
83,26/08/14 17:40:59,8.2,
84,26/08/14 20:02:58,8.3,
85,26/08/14 20:14:57,8.4,
86,26/08/14 20:48:30,8.5,
87,26/08/14 21:15:45,8.6,
88,27/08/14 03:29:13,8.7,
89,27/08/14 04:42:03,8.8,
90,27/08/14 04:56:54,8.9,
91,27/08/14 05:01:25,9.0,
92,27/08/14 05:09:42,9.1,
93,27/08/14 05:26:10,9.2,
94,27/08/14 05:31:39,9.3,
95,27/08/14 05:36:08,9.4,
96,27/08/14 05:53:33,9.5,
97,27/08/14 06:14:31,9.6,
98,27/08/14 07:23:55,9.7,
