"Título de trazado: JTU_01_PT_22"
"N.º";"Fecha Tiempo, GMT-05:00";"Evento, mm (LGR S/N: 10725305, SEN S/N: 10725305)";"Final de archivo (LGR S/N: 10725305)"
1;13/12/17 10:32:26;0.0;
2;16/12/17 06:52:28;0.1;
3;17/12/17 06:38:01;0.2;
4;18/12/17 06:44:48;0.3;
5;19/12/17 06:48:02;0.4;
6;19/12/17 08:10:28;0.5;
7;20/12/17 17:25:43;0.6;
8;25/12/17 02:07:03;0.7;
9;25/12/17 13:19:34;0.8;
10;25/12/17 13:22:04;0.9;
11;25/12/17 13:27:28;1.0;
12;25/12/17 13:31:25;1.1;
13;25/12/17 13:32:13;1.2;
14;25/12/17 13:33:33;1.3;
15;25/12/17 13:34:48;1.4;
16;25/12/17 13:36:27;1.5;
17;25/12/17 13:38:43;1.6;
18;25/12/17 13:40:19;1.7;
19;25/12/17 13:40:44;1.8;
20;25/12/17 13:41:09;1.9;
21;25/12/17 13:41:58;2.0;
22;25/12/17 13:42:41;2.1;
23;25/12/17 13:43:21;2.2;
24;25/12/17 13:43:53;2.3;
25;25/12/17 13:44:13;2.4;
26;25/12/17 13:44:44;2.5;
27;25/12/17 13:45:17;2.6;
28;25/12/17 13:45:58;2.7;
29;25/12/17 13:46:51;2.8;
30;25/12/17 13:48:38;2.9;
31;25/12/17 13:51:57;3.0;
32;25/12/17 13:53:17;3.1;
33;25/12/17 13:55:19;3.2;
34;25/12/17 13:56:40;3.3;
35;25/12/17 13:57:53;3.4;
36;25/12/17 13:59:29;3.5;
37;25/12/17 14:02:35;3.6;
38;25/12/17 14:03:04;3.7;
39;25/12/17 14:03:18;3.8;
40;25/12/17 14:03:35;3.9;
41;25/12/17 14:03:54;4.0;
42;25/12/17 14:04:13;4.1;
43;25/12/17 14:04:29;4.2;
44;25/12/17 14:04:53;4.3;
45;25/12/17 14:05:31;4.4;
46;25/12/17 14:05:57;4.5;
47;25/12/17 14:06:16;4.6;
48;25/12/17 14:06:46;4.7;
49;25/12/17 14:07:19;4.8;
50;25/12/17 14:07:54;4.9;
51;25/12/17 14:08:36;5.0;
52;25/12/17 14:09:53;5.1;
53;25/12/17 14:10:51;5.2;
54;25/12/17 14:11:26;5.3;
55;25/12/17 14:12:35;5.4;
56;25/12/17 14:15:57;5.5;
57;25/12/17 14:22:16;5.6;
58;25/12/17 14:29:44;5.7;
59;25/12/17 14:33:38;5.8;
60;25/12/17 14:38:57;5.9;
61;25/12/17 14:43:45;6.0;
62;25/12/17 14:47:55;6.1;
63;25/12/17 14:49:42;6.2;
64;25/12/17 14:52:49;6.3;
65;25/12/17 14:56:35;6.4;
66;25/12/17 14:59:30;6.5;
67;25/12/17 15:00:33;6.6;
68;25/12/17 15:01:34;6.7;
69;25/12/17 15:02:29;6.8;
70;25/12/17 15:03:28;6.9;
71;25/12/17 15:04:24;7.0;
72;25/12/17 15:05:53;7.1;
73;25/12/17 15:07:17;7.2;
74;25/12/17 15:10:40;7.3;
75;25/12/17 15:15:31;7.4;
76;25/12/17 15:19:31;7.5;
77;25/12/17 15:22:07;7.6;
78;25/12/17 15:27:16;7.7;
79;25/12/17 15:30:34;7.8;
80;25/12/17 15:33:14;7.9;
81;25/12/17 15:39:57;8.0;
82;25/12/17 16:01:36;8.1;
83;25/12/17 16:37:08;8.2;
84;25/12/17 16:58:53;8.3;
85;25/12/17 17:58:59;8.4;
86;26/12/17 01:03:28;8.5;
87;26/12/17 16:38:55;8.6;
88;26/12/17 16:56:38;8.7;
89;26/12/17 17:04:13;8.8;
90;26/12/17 17:31:28;8.9;
91;26/12/17 18:50:27;9.0;
92;26/12/17 21:31:17;9.1;
93;26/12/17 21:35:08;9.2;
94;26/12/17 21:43:10;9.3;
95;26/12/17 21:54:22;9.4;
96;26/12/17 22:03:01;9.5;
97;26/12/17 22:07:41;9.6;
98;26/12/17 22:12:12;9.7;
99;26/12/17 22:17:11;9.8;
100;26/12/17 22:24:01;9.9;
101;26/12/17 22:42:32;10.0;
102;26/12/17 23:31:31;10.1;
103;26/12/17 23:55:29;10.2;
104;27/12/17 00:17:44;10.3;
105;27/12/17 00:23:15;10.4;
106;27/12/17 00:43:37;10.5;
107;27/12/17 01:48:28;10.6;
108;27/12/17 01:57:54;10.7;
109;27/12/17 02:06:51;10.8;
110;27/12/17 02:12:54;10.9;
111;27/12/17 02:17:29;11.0;
112;27/12/17 02:20:41;11.1;
113;27/12/17 02:23:57;11.2;
114;27/12/17 02:28:26;11.3;
115;27/12/17 02:32:59;11.4;
116;27/12/17 02:37:30;11.5;
117;27/12/17 02:40:36;11.6;
118;27/12/17 02:42:36;11.7;
119;27/12/17 02:44:28;11.8;
120;27/12/17 02:48:07;11.9;
121;27/12/17 02:52:12;12.0;
122;27/12/17 03:09:15;12.1;
123;27/12/17 03:35:22;12.2;
124;27/12/17 03:43:38;12.3;
125;27/12/17 03:50:02;12.4;
126;27/12/17 03:55:47;12.5;
127;27/12/17 03:58:03;12.6;
128;27/12/17 04:00:45;12.7;
129;27/12/17 04:03:52;12.8;
130;27/12/17 04:07:51;12.9;
131;27/12/17 04:11:06;13.0;
132;27/12/17 04:16:04;13.1;
133;27/12/17 04:24:34;13.2;
134;27/12/17 04:36:00;13.3;
135;27/12/17 04:43:46;13.4;
136;27/12/17 05:04:57;13.5;
137;27/12/17 05:51:01;13.6;
138;27/12/17 06:00:21;13.7;
139;27/12/17 06:03:26;13.8;
140;27/12/17 06:04:30;13.9;
141;27/12/17 06:05:38;14.0;
142;27/12/17 06:07:05;14.1;
143;27/12/17 06:09:41;14.2;
144;27/12/17 06:14:35;14.3;
145;27/12/17 06:19:38;14.4;
146;27/12/17 06:23:49;14.5;
147;27/12/17 06:26:07;14.6;
148;27/12/17 06:28:56;14.7;
