"Título de trazado: JTU_01_PT_22"
"N.º";"Fecha Tiempo, GMT-05:00";"Event, units (LGR S/N: 10390585, SEN S/N: 10390585)";"Final de archivo (LGR S/N: 10390585)"
164;28/05/15 09:55:35;16.3;
165;28/05/15 09:56:35;16.4;
166;28/05/15 09:57:48;16.5;
167;28/05/15 09:58:52;16.6;
168;28/05/15 10:00:08;16.7;
169;28/05/15 10:01:12;16.8;
170;28/05/15 10:02:28;16.9;
171;28/05/15 10:03:27;17.0;
172;28/05/15 10:04:23;17.1;
173;28/05/15 10:05:19;17.2;
174;28/05/15 10:06:21;17.3;
175;28/05/15 10:07:08;17.4;
176;28/05/15 10:07:49;17.5;
177;28/05/15 10:08:45;17.6;
178;28/05/15 10:09:51;17.7;
179;28/05/15 10:10:37;17.8;
180;28/05/15 10:11:32;17.9;
181;28/05/15 10:12:13;18.0;
182;28/05/15 10:13:06;18.1;
183;28/05/15 10:13:59;18.2;
184;28/05/15 10:14:53;18.3;
185;28/05/15 10:15:39;18.4;
186;28/05/15 10:16:33;18.5;
187;28/05/15 10:17:12;18.6;
188;28/05/15 10:17:58;18.7;
189;28/05/15 10:18:44;18.8;
190;28/05/15 10:19:35;18.9;
191;28/05/15 10:20:56;19.0;
192;28/05/15 10:21:58;19.1;
193;28/05/15 10:22:47;19.2;
194;28/05/15 10:23:46;19.3;
195;28/05/15 10:24:32;19.4;
196;28/05/15 10:25:56;19.5;
197;28/05/15 10:26:58;19.6;
198;28/05/15 10:28:02;19.7;
199;28/05/15 10:28:53;19.8;
200;28/05/15 10:30:03;19.9;
201;28/05/15 10:31:01;20.0;
202;28/05/15 10:32:04;20.1;
203;28/05/15 10:32:54;20.2;
204;28/05/15 10:33:52;20.3;
205;28/05/15 10:34:38;20.4;
206;28/05/15 10:35:27;20.5;
207;28/05/15 10:36:14;20.6;
208;28/05/15 10:37:11;20.7;
209;28/05/15 10:38:04;20.8;
210;28/05/15 10:39:06;20.9;
211;28/05/15 10:40:00;21.0;
212;28/05/15 10:40:59;21.1;
213;28/05/15 10:41:53;21.2;
214;28/05/15 10:42:55;21.3;
215;28/05/15 10:43:49;21.4;
216;28/05/15 10:44:49;21.5;
217;28/05/15 10:45:44;21.6;
218;28/05/15 10:46:43;21.7;
219;28/05/15 10:47:27;21.8;
220;28/05/15 10:48:16;21.9;
221;28/05/15 10:49:02;22.0;
222;28/05/15 10:49:59;22.1;
223;28/05/15 10:50:50;22.2;
224;28/05/15 10:51:52;22.3;
225;28/05/15 10:52:40;22.4;
226;28/05/15 10:53:22;22.5;
227;28/05/15 10:53:59;22.6;
228;28/05/15 10:54:42;22.7;
229;28/05/15 10:55:38;22.8;
230;28/05/15 10:56:26;22.9;
231;28/05/15 10:57:22;23.0;
232;28/05/15 10:58:35;23.1;
233;28/05/15 11:00:02;23.2;
234;28/05/15 11:02:40;23.3;
235;28/05/15 17:14:52;23.4;
236;28/05/15 17:30:32;23.5;
237;28/05/15 18:32:50;23.6;
238;29/05/15 03:26:39;23.7;
239;29/05/15 12:35:03;23.8;
240;29/05/15 12:41:52;23.9;
241;29/05/15 12:48:46;24.0;
242;29/05/15 12:53:39;24.1;
243;29/05/15 12:56:00;24.2;
244;29/05/15 12:59:01;24.3;
245;29/05/15 12:59:55;24.4;
246;29/05/15 13:00:43;24.5;
247;29/05/15 13:01:38;24.6;
248;29/05/15 13:02:36;24.7;
249;29/05/15 13:03:34;24.8;
250;29/05/15 13:09:53;24.9;
251;29/05/15 13:16:26;25.0;
252;29/05/15 13:33:53;25.1;
253;29/05/15 15:02:13;25.2;
254;29/05/15 15:03:37;25.3;
255;29/05/15 15:04:13;25.4;
256;29/05/15 15:13:23;25.5;
257;30/05/15 10:04:38;25.6;
258;30/05/15 14:03:47;25.7;
259;30/05/15 14:38:30;25.8;
260;30/05/15 14:57:38;25.9;
261;30/05/15 15:27:19;26.0;
262;30/05/15 15:28:43;26.1;
263;30/05/15 15:30:03;26.2;
264;30/05/15 15:31:44;26.3;
265;30/05/15 15:33:23;26.4;
266;30/05/15 15:36:00;26.5;
267;30/05/15 15:39:50;26.6;
268;30/05/15 15:44:34;26.7;
269;30/05/15 15:47:13;26.8;
270;30/05/15 15:51:08;26.9;
271;30/05/15 16:00:38;27.0;
272;31/05/15 09:22:42;27.1;
273;31/05/15 09:27:22;27.2;
274;31/05/15 09:43:30;27.3;
275;31/05/15 10:13:36;27.4;
276;31/05/15 10:20:22;27.5;
277;31/05/15 10:33:03;27.6;
278;31/05/15 10:48:08;27.7;
279;31/05/15 14:26:47;27.8;
280;01/06/15 08:12:59;27.9;
281;01/06/15 12:13:41;28.0;
282;01/06/15 13:57:30;28.1;
283;01/06/15 14:13:21;28.2;
284;02/06/15 03:39:13;28.3;
285;02/06/15 18:55:37;28.4;
286;02/06/15 19:01:41;28.5;
287;02/06/15 19:37:48;28.6;
288;02/06/15 19:49:19;28.7;
289;02/06/15 19:52:56;28.8;
290;02/06/15 19:56:40;28.9;
291;02/06/15 19:59:02;29.0;
292;02/06/15 20:04:22;29.1;
293;02/06/15 20:11:24;29.2;
294;02/06/15 20:32:33;29.3;
295;02/06/15 22:43:45;29.4;
296;02/06/15 22:46:00;29.5;
297;02/06/15 22:47:03;29.6;
298;02/06/15 22:48:27;29.7;
299;02/06/15 22:50:27;29.8;
300;02/06/15 22:54:38;29.9;
301;02/06/15 23:14:05;30.0;
302;02/06/15 23:34:41;30.1;
303;02/06/15 23:46:44;30.2;
304;03/06/15 00:07:27;30.3;
305;03/06/15 00:15:09;30.4;
306;03/06/15 00:27:00;30.5;
307;03/06/15 00:51:07;30.6;
308;03/06/15 01:15:41;30.7;
309;03/06/15 01:19:02;30.8;
310;03/06/15 01:30:24;30.9;
311;03/06/15 01:34:14;31.0;
312;03/06/15 01:36:15;31.1;
313;03/06/15 01:39:55;31.2;
314;03/06/15 01:42:47;31.3;
315;03/06/15 01:47:55;31.4;
316;03/06/15 01:52:15;31.5;
317;03/06/15 01:55:25;31.6;
318;03/06/15 01:57:51;31.7;
319;03/06/15 01:59:39;31.8;
320;03/06/15 02:02:25;31.9;
321;03/06/15 02:06:24;32.0;
322;03/06/15 02:08:15;32.1;
323;03/06/15 02:10:21;32.2;
324;03/06/15 02:13:39;32.3;
325;03/06/15 02:18:12;32.4;
326;03/06/15 02:53:03;32.5;
327;03/06/15 03:28:14;32.6;
328;03/06/15 03:47:34;32.7;
329;03/06/15 04:05:19;32.8;
330;03/06/15 06:47:10;32.9;
331;03/06/15 13:35:32;33.0;
332;03/06/15 16:23:02;33.1;
333;03/06/15 16:25:49;33.2;
334;03/06/15 16:33:45;33.3;
335;03/06/15 16:35:36;33.4;
336;03/06/15 16:38:09;33.5;
337;03/06/15 16:40:18;33.6;
338;03/06/15 16:41:50;33.7;
339;03/06/15 16:43:08;33.8;
340;03/06/15 16:44:38;33.9;
341;03/06/15 16:46:41;34.0;
342;03/06/15 16:48:38;34.1;
343;03/06/15 16:50:18;34.2;
344;03/06/15 16:52:45;34.3;
345;03/06/15 16:55:12;34.4;
346;03/06/15 16:58:57;34.5;
347;03/06/15 17:02:39;34.6;
348;03/06/15 17:05:47;34.7;
349;03/06/15 17:09:28;34.8;
350;03/06/15 17:15:49;34.9;
351;03/06/15 17:19:34;35.0;
352;03/06/15 17:22:40;35.1;
353;03/06/15 17:25:43;35.2;
354;03/06/15 17:28:12;35.3;
355;03/06/15 17:32:04;35.4;
356;03/06/15 17:35:55;35.5;
357;03/06/15 17:46:30;35.6;
358;03/06/15 18:18:01;35.7;
359;03/06/15 18:46:21;35.8;
360;03/06/15 20:01:27;35.9;
361;04/06/15 02:23:46;36.0;
362;04/06/15 02:29:28;36.1;
363;04/06/15 02:32:57;36.2;
364;04/06/15 02:38:54;36.3;
365;04/06/15 02:43:14;36.4;
366;04/06/15 02:54:36;36.5;
367;04/06/15 03:14:49;36.6;
368;04/06/15 04:38:07;36.7;
369;04/06/15 06:23:17;36.8;
370;04/06/15 07:31:56;36.9;
371;04/06/15 07:48:27;37.0;
372;04/06/15 07:59:53;37.1;
373;04/06/15 08:02:50;37.2;
374;04/06/15 08:07:34;37.3;
375;04/06/15 08:21:43;37.4;
376;04/06/15 08:28:10;37.5;
377;04/06/15 08:33:36;37.6;
378;04/06/15 08:37:36;37.7;
379;04/06/15 08:43:08;37.8;
380;04/06/15 08:50:29;37.9;
381;04/06/15 08:56:24;38.0;
382;04/06/15 09:04:01;38.1;
383;04/06/15 09:08:38;38.2;
384;04/06/15 09:17:07;38.3;
385;04/06/15 09:34:46;38.4;
386;04/06/15 09:47:00;38.5;
387;04/06/15 10:16:33;38.6;
388;04/06/15 10:42:24;38.7;
389;04/06/15 10:57:43;38.8;
