"Título de trazado: JTU_01_PT_22"
"N.º";"Fecha Tiempo, GMT-05:00";"Event, mm (LGR S/N: 10390585, SEN S/N: 10390585)";"Final de archivo (LGR S/N: 10390585)"
164;26/08/14 16:46:02;16.3;
165;26/08/14 16:47:12;16.4;
166;26/08/14 16:48:25;16.5;
167;26/08/14 16:50:15;16.6;
168;26/08/14 16:52:12;16.7;
169;26/08/14 16:54:07;16.8;
170;26/08/14 16:56:24;16.9;
171;26/08/14 17:00:25;17.0;
172;26/08/14 17:02:45;17.1;
173;26/08/14 17:05:25;17.2;
174;26/08/14 17:07:36;17.3;
175;26/08/14 17:10:49;17.4;
176;26/08/14 17:13:02;17.5;
177;26/08/14 17:15:16;17.6;
178;26/08/14 17:16:36;17.7;
179;26/08/14 17:18:11;17.8;
180;26/08/14 17:19:36;17.9;
181;26/08/14 17:21:14;18.0;
182;26/08/14 17:22:58;18.1;
183;26/08/14 17:25:32;18.2;
184;26/08/14 17:28:26;18.3;
185;26/08/14 17:33:51;18.4;
186;26/08/14 17:51:59;18.5;
187;26/08/14 17:59:32;18.6;
188;26/08/14 18:11:32;18.7;
189;26/08/14 18:24:38;18.8;
190;27/08/14 04:32:39;18.9;
191;27/08/14 06:20:58;19.0;
192;27/08/14 15:02:06;19.1;
193;27/08/14 15:03:29;19.2;
194;27/08/14 15:04:48;19.3;
195;27/08/14 15:08:41;19.4;
196;27/08/14 15:10:00;19.5;
197;27/08/14 15:14:37;19.6;
198;27/08/14 15:20:09;19.7;
199;27/08/14 15:25:55;19.8;
200;27/08/14 15:29:10;19.9;
201;27/08/14 15:31:28;20.0;
202;27/08/14 15:33:58;20.1;
203;27/08/14 15:37:39;20.2;
204;27/08/14 15:40:32;20.3;
205;27/08/14 15:45:42;20.4;
206;27/08/14 15:56:46;20.5;
207;27/08/14 16:04:41;20.6;
208;27/08/14 16:24:35;20.7;
209;27/08/14 16:36:54;20.8;
210;27/08/14 16:38:10;20.9;
211;27/08/14 16:41:00;21.0;
212;27/08/14 16:57:56;21.1;
213;27/08/14 19:41:17;21.2;
214;28/08/14 13:24:42;21.3;
215;28/08/14 13:33:21;21.4;
216;28/08/14 13:35:51;21.5;
217;28/08/14 13:39:16;21.6;
218;28/08/14 15:38:36;21.7;
219;28/08/14 16:06:50;21.8;
220;28/08/14 16:15:54;21.9;
221;28/08/14 16:18:34;22.0;
222;28/08/14 16:20:58;22.1;
223;28/08/14 16:25:03;22.2;
224;28/08/14 16:30:34;22.3;
225;28/08/14 16:33:38;22.4;
226;28/08/14 16:37:08;22.5;
227;28/08/14 16:39:40;22.6;
228;28/08/14 16:43:50;22.7;
229;28/08/14 21:36:55;22.8;
230;28/08/14 21:45:35;22.9;
231;28/08/14 22:00:07;23.0;
232;28/08/14 22:08:50;23.1;
233;29/08/14 02:31:18;23.2;
234;02/09/14 20:12:50;23.3;
235;02/09/14 20:53:42;23.4;
236;02/09/14 20:58:21;23.5;
237;02/09/14 21:03:08;23.6;
238;02/09/14 21:07:49;23.7;
239;02/09/14 21:14:42;23.8;
240;02/09/14 21:18:08;23.9;
241;02/09/14 21:21:00;24.0;
242;02/09/14 21:22:26;24.1;
243;02/09/14 21:29:14;24.2;
244;02/09/14 21:37:15;24.3;
245;02/09/14 22:18:05;24.4;
246;07/09/14 06:12:32;24.5;
247;08/09/14 03:29:18;24.6;
248;08/09/14 05:05:20;24.7;
249;08/09/14 06:42:45;24.8;
250;08/09/14 07:46:04;24.9;
251;09/09/14 05:03:24;25.0;
252;09/09/14 06:09:54;25.1;
253;09/09/14 10:39:34;25.2;
254;09/09/14 10:42:00;25.3;
255;09/09/14 10:42:19;25.3;Registrado
