"Título de trazado: JTU_01_PP_11"
"N.º";"Fecha Tiempo, GMT-05:00";"Lluvia, mm (LGR S/N: 10390583, SEN S/N: 10390583)";"Parado (LGR S/N: 10390583)"
123;15/09/14 07:29:02 AM;12.2;
124;15/09/14 07:30:24 AM;12.3;
125;15/09/14 07:31:53 AM;12.4;
126;15/09/14 07:33:06 AM;12.5;
127;15/09/14 07:34:32 AM;12.6;
128;15/09/14 07:35:47 AM;12.7;
129;15/09/14 07:36:59 AM;12.8;
130;15/09/14 07:37:49 AM;12.9;
131;15/09/14 07:38:48 AM;13.0;
132;15/09/14 07:39:39 AM;13.1;
133;15/09/14 07:40:42 AM;13.2;
134;15/09/14 07:41:26 AM;13.3;
135;15/09/14 07:42:22 AM;13.4;
136;15/09/14 07:43:41 AM;13.5;
137;15/09/14 07:45:23 AM;13.6;
138;15/09/14 07:46:21 AM;13.7;
139;15/09/14 07:47:24 AM;13.8;
140;15/09/14 07:48:23 AM;13.9;
141;15/09/14 07:49:53 AM;14.0;
142;15/09/14 09:11:51 AM;14.1;
143;15/09/14 09:34:57 AM;14.2;
144;15/09/14 10:13:07 AM;14.3;
145;15/09/14 10:13:24 AM;14.4;
146;15/09/14 10:13:51 AM;14.5;
147;15/09/14 10:14:23 AM;14.6;
148;15/09/14 10:14:50 AM;14.7;
149;15/09/14 10:15:20 AM;14.8;
150;15/09/14 10:15:48 AM;14.9;
151;15/09/14 10:16:20 AM;15.0;
152;15/09/14 10:16:48 AM;15.1;
153;15/09/14 10:17:19 AM;15.2;
154;15/09/14 10:17:47 AM;15.3;
155;15/09/14 10:18:18 AM;15.4;
156;15/09/14 10:18:46 AM;15.5;
157;15/09/14 10:19:18 AM;15.6;
158;15/09/14 10:19:46 AM;15.7;
159;15/09/14 10:20:17 AM;15.8;
160;15/09/14 10:20:43 AM;15.9;
161;15/09/14 10:21:15 AM;16.0;
162;15/09/14 10:21:43 AM;16.1;
163;15/09/14 10:22:16 AM;16.2;
164;15/09/14 10:22:43 AM;16.3;
165;15/09/14 10:23:16 AM;16.4;
166;15/09/14 10:23:43 AM;16.5;
167;15/09/14 10:24:17 AM;16.6;
168;15/09/14 10:24:44 AM;16.7;
169;15/09/14 10:25:16 AM;16.8;
170;15/09/14 10:25:43 AM;16.9;
171;15/09/14 10:26:16 AM;17.0;
172;15/09/14 10:26:43 AM;17.1;
173;15/09/14 10:27:16 AM;17.2;
174;15/09/14 10:27:42 AM;17.3;
175;15/09/14 10:28:14 AM;17.4;
176;15/09/14 10:28:42 AM;17.5;
177;15/09/14 10:29:15 AM;17.6;
178;15/09/14 10:29:42 AM;17.7;
179;15/09/14 10:30:18 AM;17.8;
180;15/09/14 10:30:50 AM;17.9;
181;15/09/14 10:31:31 AM;18.0;
182;15/09/14 10:32:04 AM;18.1;
183;15/09/14 10:32:46 AM;18.2;
184;15/09/14 10:33:20 AM;18.3;
185;15/09/14 10:34:02 AM;18.4;
186;15/09/14 10:34:33 AM;18.5;
187;15/09/14 10:35:14 AM;18.6;
188;15/09/14 10:35:48 AM;18.7;
189;15/09/14 10:36:30 AM;18.8;
190;15/09/14 10:37:03 AM;18.9;
191;15/09/14 10:37:46 AM;19.0;
192;15/09/14 10:38:20 AM;19.1;
193;15/09/14 10:39:07 AM;19.2;
194;15/09/14 10:39:42 AM;19.3;
195;15/09/14 10:40:25 AM;19.4;
196;15/09/14 10:41:00 AM;19.5;
197;15/09/14 10:41:44 AM;19.6;
198;15/09/14 10:42:17 AM;19.7;
199;15/09/14 10:42:54 AM;19.8;
200;15/09/14 10:43:31 AM;19.9;
201;15/09/14 10:44:19 AM;20.0;
202;15/09/14 10:44:42 AM;20.1;
203;15/09/14 10:45:11 AM;20.2;
204;15/09/14 10:45:38 AM;20.3;
205;15/09/14 10:46:31 AM;20.4;
206;15/09/14 10:46:56 AM;20.5;
207;15/09/14 10:47:48 AM;20.6;
208;15/09/14 10:48:19 AM;20.7;
209;15/09/14 10:49:13 AM;20.8;
210;15/09/14 10:49:52 AM;20.9;
211;15/09/14 10:50:41 AM;21.0;
212;15/09/14 10:51:22 AM;21.1;
213;15/09/14 10:52:12 AM;21.2;
214;15/09/14 10:52:52 AM;21.3;
215;15/09/14 10:53:45 AM;21.4;
216;15/09/14 10:54:26 AM;21.5;
217;15/09/14 10:55:29 AM;21.6;
218;15/09/14 10:55:59 AM;21.7;
219;15/09/14 10:56:40 AM;21.8;
220;15/09/14 10:57:19 AM;21.9;
221;15/09/14 10:58:16 AM;22.0;
222;15/09/14 10:59:06 AM;22.1;
223;15/09/14 11:00:14 AM;22.2;
224;15/09/14 11:01:11 AM;22.3;
225;15/09/14 11:02:15 AM;22.4;
226;15/09/14 11:03:19 AM;22.5;
227;15/09/14 11:04:17 AM;22.6;
228;15/09/14 11:05:06 AM;22.7;
229;15/09/14 11:05:52 AM;22.8;
230;15/09/14 11:06:43 AM;22.9;
231;15/09/14 11:07:53 AM;23.0;
232;15/09/14 11:09:01 AM;23.1;
233;15/09/14 11:10:34 AM;23.2;
234;15/09/14 11:11:42 AM;23.3;
235;15/09/14 11:13:16 AM;23.4;
236;15/09/14 11:15:56 AM;23.5;
237;15/09/14 01:31:18 PM;23.6;
238;15/09/14 07:56:22 PM;23.7;
239;15/09/14 11:11:03 PM;23.8;
240;15/09/14 11:43:14 PM;23.9;
241;15/09/14 11:44:35 PM;24.0;
242;16/09/14 01:36:58 AM;24.1;
243;16/09/14 02:46:07 AM;24.2;
244;16/09/14 03:06:57 AM;24.3;
245;16/09/14 03:11:58 AM;24.4;
246;16/09/14 03:15:51 AM;24.5;
247;16/09/14 03:19:08 AM;24.6;
248;16/09/14 03:20:58 AM;24.7;
249;16/09/14 03:24:05 AM;24.8;
250;16/09/14 03:31:55 AM;24.9;
251;16/09/14 03:34:52 AM;25.0;
252;16/09/14 03:37:46 AM;25.1;
253;16/09/14 03:46:43 AM;25.2;
254;16/09/14 03:52:28 AM;25.3;
255;16/09/14 04:02:29 AM;25.4;
256;16/09/14 04:12:06 AM;25.5;
257;16/09/14 04:14:16 AM;25.6;
258;16/09/14 04:17:35 AM;25.7;
259;16/09/14 04:21:43 AM;25.8;
260;16/09/14 04:25:05 AM;25.9;
261;16/09/14 04:29:26 AM;26.0;
262;16/09/14 04:33:43 AM;26.1;
263;16/09/14 04:37:36 AM;26.2;
264;16/09/14 04:39:53 AM;26.3;
265;16/09/14 04:42:45 AM;26.4;
266;16/09/14 04:45:54 AM;26.5;
267;16/09/14 04:51:11 AM;26.6;
268;16/09/14 04:53:41 AM;26.7;
269;16/09/14 04:57:51 AM;26.8;
270;16/09/14 05:00:59 AM;26.9;
271;16/09/14 05:03:29 AM;27.0;
272;16/09/14 05:08:15 AM;27.1;
273;16/09/14 05:13:49 AM;27.2;
274;16/09/14 05:17:01 AM;27.3;
275;16/09/14 05:23:25 AM;27.4;
276;16/09/14 05:28:17 AM;27.5;
277;16/09/14 05:36:58 AM;27.6;
278;16/09/14 05:58:20 AM;27.7;
279;16/09/14 06:08:43 AM;27.8;
280;16/09/14 06:20:11 AM;27.9;
281;16/09/14 06:26:52 AM;28.0;
282;16/09/14 06:50:44 AM;28.1;
283;16/09/14 06:55:46 AM;28.2;
284;16/09/14 07:02:42 AM;28.3;
285;16/09/14 07:20:12 AM;28.4;
286;16/09/14 07:46:47 AM;28.5;
287;16/09/14 08:51:04 AM;28.6;
288;16/09/14 09:26:16 AM;28.7;
289;16/09/14 10:37:47 AM;28.8;
290;16/09/14 10:46:39 AM;28.9;
291;16/09/14 10:52:38 AM;29.0;
292;16/09/14 11:03:11 AM;29.1;
293;16/09/14 11:16:53 AM;29.2;
294;16/09/14 11:19:29 AM;29.3;
295;16/09/14 11:26:45 AM;29.4;
296;16/09/14 11:29:20 AM;29.5;
297;16/09/14 11:31:38 AM;29.6;
298;16/09/14 11:34:03 AM;29.7;
299;16/09/14 11:39:17 AM;29.8;
300;16/09/14 11:45:05 AM;29.9;
301;16/09/14 11:52:35 AM;30.0;
302;16/09/14 12:08:19 PM;30.1;
303;16/09/14 12:41:29 PM;30.2;
304;16/09/14 01:32:45 PM;30.3;
305;16/09/14 02:31:04 PM;30.4;
306;17/09/14 07:02:20 AM;30.5;
307;19/09/14 07:38:12 AM;30.6;
308;19/09/14 08:32:00 PM;30.7;
309;20/09/14 12:57:29 PM;30.8;
310;20/09/14 12:59:02 PM;30.9;
311;20/09/14 01:03:48 PM;31.0;
312;20/09/14 01:15:54 PM;31.1;
313;20/09/14 01:29:38 PM;31.2;
314;21/09/14 12:09:24 AM;31.3;
315;21/09/14 12:14:50 AM;31.4;
316;21/09/14 12:18:31 AM;31.5;
317;21/09/14 12:21:52 AM;31.6;
318;21/09/14 12:24:09 AM;31.7;
319;21/09/14 12:26:43 AM;31.8;
320;21/09/14 12:29:18 AM;31.9;
321;21/09/14 12:32:35 AM;32.0;
322;21/09/14 12:36:30 AM;32.1;
323;21/09/14 12:50:08 AM;32.2;
324;21/09/14 12:57:55 AM;32.3;
325;21/09/14 01:21:51 AM;32.4;
326;21/09/14 01:41:27 AM;32.5;
327;21/09/14 04:13:29 AM;32.6;
328;21/09/14 04:25:40 AM;32.7;
329;21/09/14 04:47:41 AM;32.8;
330;21/09/14 04:54:57 AM;32.9;
331;21/09/14 05:00:23 AM;33.0;
332;21/09/14 05:03:40 AM;33.1;
333;21/09/14 05:08:22 AM;33.2;
334;21/09/14 05:16:49 AM;33.3;
335;21/09/14 05:29:03 AM;33.4;
336;21/09/14 05:36:20 AM;33.5;
337;21/09/14 07:11:53 AM;33.6;
338;21/09/14 04:52:20 PM;33.7;
339;21/09/14 04:53:14 PM;33.8;
340;21/09/14 04:53:49 PM;33.9;
341;21/09/14 04:54:28 PM;34.0;
342;21/09/14 04:54:54 PM;34.1;
343;21/09/14 04:55:23 PM;34.2;
344;21/09/14 04:55:48 PM;34.3;
345;21/09/14 04:56:14 PM;34.4;
346;21/09/14 04:56:47 PM;34.5;
347;21/09/14 04:57:21 PM;34.6;
348;21/09/14 04:57:47 PM;34.7;
349;21/09/14 04:58:17 PM;34.8;
350;21/09/14 04:58:44 PM;34.9;
351;21/09/14 04:59:13 PM;35.0;
352;21/09/14 04:59:44 PM;35.1;
353;21/09/14 05:00:24 PM;35.2;
354;21/09/14 05:01:00 PM;35.3;
355;21/09/14 05:01:58 PM;35.4;
356;21/09/14 05:02:47 PM;35.5;
357;21/09/14 05:04:13 PM;35.6;
358;21/09/14 05:06:30 PM;35.7;
359;21/09/14 05:10:03 PM;35.8;
360;21/09/14 05:14:25 PM;35.9;
361;21/09/14 06:28:56 PM;36.0;
362;21/09/14 06:33:57 PM;36.1;
363;21/09/14 11:43:21 PM;36.2;
364;22/09/14 06:53:32 AM;36.3;
365;22/09/14 08:01:50 AM;36.4;
366;22/09/14 08:26:14 AM;36.5;
367;22/09/14 08:51:53 AM;36.6;
368;22/09/14 11:30:53 AM;36.7;
369;22/09/14 11:36:07 AM;36.8;
370;22/09/14 11:49:14 AM;36.9;
371;22/09/14 11:51:58 AM;37.0;
372;22/09/14 11:54:34 AM;37.1;
373;22/09/14 11:59:14 AM;37.2;
374;22/09/14 12:01:51 PM;37.3;
375;22/09/14 12:04:38 PM;37.4;
376;22/09/14 12:06:19 PM;37.5;
377;22/09/14 12:09:16 PM;37.6;
378;22/09/14 12:11:54 PM;37.7;
379;22/09/14 12:13:28 PM;37.8;
380;22/09/14 12:14:52 PM;37.9;
381;22/09/14 12:17:54 PM;38.0;
382;22/09/14 12:20:11 PM;38.1;
383;22/09/14 12:22:09 PM;38.2;
384;22/09/14 12:26:42 PM;38.3;
385;22/09/14 12:32:45 PM;38.4;
386;22/09/14 12:35:52 PM;38.5;
387;22/09/14 12:37:13 PM;38.6;
388;22/09/14 12:37:53 PM;38.7;
389;22/09/14 12:38:42 PM;38.8;
390;22/09/14 12:39:18 PM;38.9;
391;22/09/14 12:40:54 PM;39.0;
392;22/09/14 12:42:26 PM;39.1;
393;22/09/14 12:44:03 PM;39.2;
394;22/09/14 12:45:01 PM;39.3;
395;22/09/14 12:46:50 PM;39.4;
396;22/09/14 12:48:01 PM;39.5;
397;22/09/14 12:49:14 PM;39.6;
