"Título de trazado: JTU_01_PT_22"
"N.º";"Fecha Tiempo, GMT-05:00";"Event, mm (LGR S/N: 10390585, SEN S/N: 10390585)";"Final de archivo (LGR S/N: 10390585)"
1;12/05/14 11:11:36;0.0;
2;12/05/14 13:23:00;0.1;
3;12/05/14 13:24:41;0.2;
4;12/05/14 13:27:35;0.3;
5;12/05/14 13:28:45;0.4;
6;12/05/14 13:32:23;0.5;
7;12/05/14 13:35:34;0.6;
8;12/05/14 13:38:00;0.7;
9;12/05/14 13:38:44;0.8;
10;12/05/14 13:39:49;0.9;
11;12/05/14 13:41:04;1.0;
12;12/05/14 13:42:42;1.1;
13;12/05/14 13:44:20;1.2;
14;12/05/14 13:47:48;1.3;
15;12/05/14 13:53:31;1.4;
16;12/05/14 13:57:50;1.5;
17;12/05/14 14:02:28;1.6;
18;12/05/14 14:25:46;1.7;
19;12/05/14 14:29:10;1.8;
20;12/05/14 14:30:13;1.9;
21;12/05/14 14:30:55;2.0;
22;12/05/14 14:31:36;2.1;
23;12/05/14 14:32:09;2.2;
24;12/05/14 14:32:57;2.3;
25;12/05/14 14:33:35;2.4;
26;12/05/14 14:34:18;2.5;
27;12/05/14 14:35:04;2.6;
28;12/05/14 14:35:49;2.7;
29;12/05/14 14:36:26;2.8;
30;12/05/14 14:36:55;2.9;
31;12/05/14 14:37:18;3.0;
32;12/05/14 14:37:42;3.1;
33;12/05/14 14:38:06;3.2;
34;12/05/14 14:38:34;3.3;
35;12/05/14 14:38:56;3.4;
36;12/05/14 14:39:20;3.5;
37;12/05/14 14:39:45;3.6;
38;12/05/14 14:40:19;3.7;
39;12/05/14 14:40:45;3.8;
40;12/05/14 14:42:27;3.9;
41;12/05/14 14:43:35;4.0;
42;12/05/14 14:45:12;4.1;
43;12/05/14 14:46:57;4.2;
44;12/05/14 14:49:09;4.3;
45;12/05/14 14:51:01;4.4;
46;12/05/14 14:52:42;4.5;
47;12/05/14 15:08:30;4.6;
48;12/05/14 16:02:25;4.7;
49;12/05/14 16:09:00;4.8;
50;12/05/14 16:15:44;4.9;
51;12/05/14 16:20:08;5.0;
52;12/05/14 16:28:02;5.1;
53;12/05/14 16:36:05;5.2;
54;12/05/14 16:40:58;5.3;
55;12/05/14 16:43:25;5.4;
56;12/05/14 16:46:04;5.5;
57;12/05/14 16:47:54;5.6;
58;12/05/14 16:50:28;5.7;
59;12/05/14 16:53:35;5.8;
60;12/05/14 16:57:50;5.9;
61;12/05/14 17:00:48;6.0;
62;12/05/14 17:03:42;6.1;
63;12/05/14 17:32:41;6.2;
64;12/05/14 19:27:28;6.3;
65;12/05/14 19:32:05;6.4;
66;12/05/14 19:47:16;6.5;
67;12/05/14 20:02:10;6.6;
68;12/05/14 20:04:54;6.7;
69;12/05/14 20:18:05;6.8;
70;12/05/14 20:54:17;6.9;
71;13/05/14 03:30:39;7.0;
72;15/05/14 05:03:44;7.1;
73;15/05/14 11:51:52;7.2;
74;15/05/14 12:40:58;7.3;
75;15/05/14 14:19:40;7.4;
76;15/05/14 14:23:43;7.5;
77;15/05/14 14:27:28;7.6;
78;15/05/14 14:57:42;7.7;
79;15/05/14 16:18:13;7.8;
80;17/05/14 06:45:19;7.9;
81;18/05/14 01:10:02;8.0;
82;18/05/14 01:58:54;8.1;
83;18/05/14 02:20:39;8.2;
84;18/05/14 02:50:10;8.3;
85;18/05/14 05:52:00;8.4;
86;21/05/14 13:15:02;8.5;
87;21/05/14 13:42:18;8.6;
88;21/05/14 13:43:46;8.7;
89;21/05/14 13:47:54;8.8;
90;22/05/14 12:50:08;8.9;
91;22/05/14 12:54:37;9.0;
92;22/05/14 12:59:28;9.1;
93;22/05/14 13:01:54;9.2;
94;22/05/14 13:03:57;9.3;
95;22/05/14 15:24:12;9.4;
96;22/05/14 15:25:15;9.5;
97;22/05/14 15:25:42;9.6;
98;22/05/14 15:26:07;9.7;
99;22/05/14 15:26:33;9.8;
100;22/05/14 15:27:37;9.9;
101;22/05/14 15:29:05;10.0;
102;22/05/14 15:30:13;10.1;
103;22/05/14 15:30:46;10.2;
104;22/05/14 15:31:11;10.3;
105;22/05/14 15:31:36;10.4;
106;22/05/14 15:32:04;10.5;
107;22/05/14 15:32:23;10.6;
108;22/05/14 15:32:45;10.7;
109;22/05/14 15:33:07;10.8;
110;22/05/14 15:33:35;10.9;
111;22/05/14 15:33:58;11.0;
112;22/05/14 15:34:22;11.1;
113;22/05/14 15:34:45;11.2;
114;22/05/14 15:35:16;11.3;
115;22/05/14 15:35:49;11.4;
116;22/05/14 15:36:59;11.5;
117;22/05/14 15:39:22;11.6;
118;22/05/14 15:44:56;11.7;
119;22/05/14 15:48:19;11.8;
120;22/05/14 15:55:37;11.9;
121;22/05/14 16:07:33;12.0;
122;22/05/14 16:17:41;12.1;
123;22/05/14 16:28:33;12.2;
124;22/05/14 16:48:41;12.3;
125;23/05/14 14:54:12;12.4;
126;23/05/14 15:09:04;12.5;
127;23/05/14 16:23:48;12.6;
128;23/05/14 16:27:09;12.7;
129;23/05/14 16:30:42;12.8;
130;23/05/14 16:36:08;12.9;
131;23/05/14 16:43:58;13.0;
132;23/05/14 16:49:55;13.1;
133;23/05/14 16:52:21;13.2;
134;23/05/14 16:55:48;13.3;
135;23/05/14 16:59:39;13.4;
136;23/05/14 17:02:57;13.5;
137;23/05/14 17:04:55;13.6;
138;23/05/14 17:06:11;13.7;
139;23/05/14 17:07:39;13.8;
140;23/05/14 17:10:31;13.9;
141;23/05/14 17:13:32;14.0;
142;23/05/14 17:16:21;14.1;
143;23/05/14 17:19:16;14.2;
144;23/05/14 17:23:34;14.3;
145;23/05/14 17:26:51;14.4;
146;23/05/14 17:32:50;14.5;
147;24/05/14 10:07:46;14.6;
148;26/05/14 21:44:51;14.7;
149;26/05/14 21:51:53;14.8;
150;26/05/14 22:09:08;14.9;
151;26/05/14 22:13:12;15.0;
152;27/05/14 00:40:45;15.1;
153;28/05/14 08:21:13;15.2;
154;28/05/14 11:53:07;15.3;
155;28/05/14 12:32:03;15.4;
156;28/05/14 13:28:39;15.5;
157;28/05/14 14:02:34;15.6;
158;28/05/14 14:52:27;15.7;
159;28/05/14 16:19:34;15.8;
160;28/05/14 23:19:46;15.9;
161;28/05/14 23:40:26;16.0;
162;29/05/14 01:42:22;16.1;
163;29/05/14 01:49:10;16.2;
164;29/05/14 01:52:52;16.3;
165;29/05/14 01:57:57;16.4;
166;29/05/14 02:13:13;16.5;
167;29/05/14 02:26:38;16.6;
168;29/05/14 02:38:07;16.7;
169;29/05/14 02:58:06;16.8;
170;29/05/14 03:16:11;16.9;
171;29/05/14 03:24:56;17.0;
172;29/05/14 03:33:44;17.1;
173;29/05/14 03:41:43;17.2;
174;29/05/14 06:35:28;17.3;
175;29/05/14 06:54:21;17.4;
176;29/05/14 07:07:53;17.5;
177;29/05/14 07:30:19;17.6;
178;29/05/14 07:47:16;17.7;
179;29/05/14 08:19:30;17.8;
180;29/05/14 08:24:05;17.9;
181;29/05/14 10:41:47;18.0;
182;29/05/14 10:46:06;18.1;
183;29/05/14 10:54:28;18.2;
184;29/05/14 10:57:50;18.3;
185;29/05/14 11:00:59;18.4;
186;29/05/14 11:22:35;18.5;
187;29/05/14 11:28:19;18.6;
188;29/05/14 11:40:32;18.7;
189;29/05/14 12:03:18;18.8;
190;29/05/14 12:21:43;18.9;
191;29/05/14 12:33:40;19.0;
192;29/05/14 13:15:12;19.1;
193;29/05/14 13:17:04;19.2;
194;29/05/14 13:18:50;19.3;
195;29/05/14 13:20:38;19.4;
196;29/05/14 13:26:19;19.5;
197;29/05/14 13:30:13;19.6;
198;29/05/14 13:32:39;19.7;
199;29/05/14 13:34:27;19.8;
200;29/05/14 13:36:34;19.9;
201;29/05/14 13:39:10;20.0;
202;29/05/14 13:47:30;20.1;
203;29/05/14 15:14:39;20.2;
204;29/05/14 15:18:08;20.3;
205;29/05/14 15:19:58;20.4;
206;29/05/14 15:21:56;20.5;
207;29/05/14 15:26:23;20.6;
208;29/05/14 15:35:47;20.7;
209;29/05/14 16:43:21;20.8;
210;29/05/14 17:18:14;20.9;
211;29/05/14 17:19:22;21.0;
212;29/05/14 17:20:18;21.1;
213;29/05/14 17:21:08;21.2;
