"Título de trazado: JTU_01_PT_11"
"N.º";"Fecha Tiempo, GMT-05:00";"PRECIPITACION, mm (LGR S/N: 2412761, SEN S/N: 2412761)";"Final de archivo (LGR S/N: 2412761)"
163;25/12/17 14:01:45;16,2;
164;25/12/17 14:01:59;16,3;
165;25/12/17 14:02:16;16,4;
166;25/12/17 14:02:39;16,5;
167;25/12/17 14:02:56;16,6;
168;25/12/17 14:03:17;16,7;
169;25/12/17 14:03:37;16,8;
170;25/12/17 14:04:11;16,9;
171;25/12/17 14:05:09;17,0;
172;25/12/17 14:06:02;17,1;
173;25/12/17 14:06:43;17,2;
174;25/12/17 14:07:24;17,3;
175;25/12/17 14:07:48;17,4;
176;25/12/17 14:08:18;17,5;
177;25/12/17 14:08:47;17,6;
178;25/12/17 14:09:22;17,7;
179;25/12/17 14:09:59;17,8;
180;25/12/17 14:10:26;17,9;
181;25/12/17 14:10:42;18,0;
182;25/12/17 14:11:02;18,1;
183;25/12/17 14:11:23;18,2;
184;25/12/17 14:11:43;18,3;
185;25/12/17 14:12:06;18,4;
186;25/12/17 14:12:40;18,5;
187;25/12/17 14:13:03;18,6;
188;25/12/17 14:13:35;18,7;
189;25/12/17 14:14:06;18,8;
190;25/12/17 14:14:42;18,9;
191;25/12/17 14:15:15;19,0;
192;25/12/17 14:16:01;19,1;
193;25/12/17 14:16:49;19,2;
194;25/12/17 14:17:49;19,3;
195;25/12/17 14:18:32;19,4;
196;25/12/17 14:19:20;19,5;
197;25/12/17 14:20:14;19,6;
198;25/12/17 14:22:01;19,7;
199;25/12/17 14:23:33;19,8;
200;25/12/17 14:25:21;19,9;
201;25/12/17 14:26:30;20,0;
202;25/12/17 14:26:58;20,1;
203;25/12/17 14:27:14;20,2;
204;25/12/17 14:27:38;20,3;
205;25/12/17 14:27:57;20,4;
206;25/12/17 14:28:21;20,5;
207;25/12/17 14:28:47;20,6;
208;25/12/17 14:29:16;20,7;
209;25/12/17 14:29:46;20,8;
210;25/12/17 14:30:22;20,9;
211;25/12/17 14:31:10;21,0;
212;25/12/17 14:32:07;21,1;
213;25/12/17 14:33:12;21,2;
214;25/12/17 14:33:44;21,3;
215;25/12/17 14:34:11;21,4;
216;25/12/17 14:34:51;21,5;
217;25/12/17 14:35:26;21,6;
218;25/12/17 14:37:20;21,7;
219;25/12/17 14:39:26;21,8;
220;25/12/17 14:40:32;21,9;
221;25/12/17 14:42:10;22,0;
222;25/12/17 14:44:04;22,1;
223;25/12/17 14:44:40;22,2;
224;25/12/17 14:45:00;22,3;
225;25/12/17 14:45:24;22,4;
226;25/12/17 14:46:05;22,5;
227;25/12/17 14:46:31;22,6;
228;25/12/17 14:46:58;22,7;
229;25/12/17 14:47:21;22,8;
230;25/12/17 14:47:37;22,9;
231;25/12/17 14:47:53;23,0;
232;25/12/17 14:48:12;23,1;
233;25/12/17 14:48:33;23,2;
234;25/12/17 14:49:04;23,3;
235;25/12/17 14:49:30;23,4;
236;25/12/17 14:50:10;23,5;
237;25/12/17 14:50:45;23,6;
238;25/12/17 14:51:17;23,7;
239;25/12/17 14:51:44;23,8;
240;25/12/17 14:52:12;23,9;
241;25/12/17 14:52:41;24,0;
242;25/12/17 14:53:14;24,1;
243;25/12/17 14:53:44;24,2;
244;25/12/17 14:54:16;24,3;
245;25/12/17 14:54:48;24,4;
246;25/12/17 14:55:23;24,5;
247;25/12/17 14:55:58;24,6;
248;25/12/17 14:56:38;24,7;
249;25/12/17 14:57:20;24,8;
250;25/12/17 14:58:11;24,9;
251;25/12/17 14:59:08;25,0;
252;25/12/17 15:00:02;25,1;
253;25/12/17 15:01:04;25,2;
254;25/12/17 15:02:20;25,3;
255;25/12/17 15:04:00;25,4;
256;25/12/17 15:06:11;25,5;
257;25/12/17 15:08:42;25,6;
258;25/12/17 15:11:40;25,7;
259;25/12/17 15:16:08;25,8;
260;25/12/17 15:21:50;25,9;
261;25/12/17 15:30:21;26,0;
262;25/12/17 15:48:52;26,1;
263;25/12/17 16:22:06;26,2;
264;26/12/17 13:43:11;26,3;
265;26/12/17 13:45:05;26,4;
266;26/12/17 13:48:48;26,5;
267;26/12/17 13:52:19;26,6;
268;26/12/17 13:56:26;26,7;
269;26/12/17 13:59:36;26,8;
270;26/12/17 14:02:16;26,9;
271;26/12/17 14:05:44;27,0;
272;26/12/17 14:07:35;27,1;
273;26/12/17 14:09:34;27,2;
274;26/12/17 14:13:46;27,3;
275;26/12/17 14:21:22;27,4;
276;26/12/17 14:24:50;27,5;
277;26/12/17 14:32:00;27,6;
278;26/12/17 14:39:46;27,7;
279;26/12/17 14:48:58;27,8;
280;26/12/17 16:48:09;27,9;
281;26/12/17 16:52:44;28,0;
282;26/12/17 16:58:16;28,1;
283;26/12/17 17:03:17;28,2;
284;26/12/17 17:05:43;28,3;
285;26/12/17 17:10:53;28,4;
286;26/12/17 17:17:50;28,5;
287;26/12/17 17:29:12;28,6;
288;26/12/17 18:02:00;28,7;
289;26/12/17 19:06:33;28,8;
290;26/12/17 21:35:21;28,9;
291;26/12/17 21:38:13;29,0;
292;26/12/17 21:42:23;29,1;
293;26/12/17 21:46:44;29,2;
294;26/12/17 21:59:53;29,3;
295;26/12/17 22:13:01;29,4;
296;26/12/17 22:30:40;29,5;
297;27/12/17 00:00:22;29,6;
298;27/12/17 00:23:41;29,7;
299;27/12/17 00:34:36;29,8;
300;27/12/17 01:12:57;29,9;
301;27/12/17 01:59:05;30,0;
302;27/12/17 02:05:03;30,1;
303;27/12/17 02:09:05;30,2;
304;27/12/17 02:13:26;30,3;
305;27/12/17 02:18:26;30,4;
306;27/12/17 02:21:27;30,5;
307;27/12/17 02:24:00;30,6;
308;27/12/17 02:27:06;30,7;
309;27/12/17 02:30:46;30,8;
310;27/12/17 02:35:12;30,9;
311;27/12/17 02:38:24;31,0;
312;27/12/17 02:40:38;31,1;
313;27/12/17 02:41:58;31,2;
314;27/12/17 02:44:01;31,3;
315;27/12/17 02:46:10;31,4;
